etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,1,2,83,0.666,1,2000.0,1040.0,959.9999999999998,0.0,0.0,959.9999999999998,0.0,0.0,21200.000000000004,30.0
FW,1,2,84,0.33299999999999996,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,3,85,0.33333359999999995,1,2000.0,300.0,1700.0,0.0,0.0,1736.0000000000005,0.0,36.000000000000455,3000.0,10.0
FW,1,3,86,0.6666672000000001,1,2000.0,1213.4999999999998,786.5,0.0,0.0,786.5,0.0,0.0,26404.999999999996,30.0
FW,1,3,87,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
FW,1,3,88,0.6666666,1,2000.0,300.0,1700.0,0.0,0.0,1405.0000000000002,409.0,114.00000000000023,3000.0,10.0
FW,1,4,31,0.1666667,1,2000.0,922.9999999999995,1077.0000000000005,0.0,0.0,1041.0,36.000000000000455,0.0,17689.999999999985,30.0
FW,1,4,34,0.1666667,1,2000.0,602.9999999999995,1397.0000000000005,0.0,0.0,1361.0,36.000000000000455,0.0,8089.999999999987,30.0
FW,1,4,37,0.1666667,1,2000.0,1158.9999999999995,841.0000000000005,0.0,0.0,805.0,36.000000000000455,0.0,24769.999999999985,30.0
FW,1,4,58,0.1666667,1,2000.0,1121.9999999999998,878.0000000000005,0.0,0.0,842.0,36.000000000000455,0.0,23659.99999999999,30.0
FW,1,4,61,0.1666667,1,2000.0,794.9999999999995,1205.0000000000005,0.0,0.0,1169.0,36.000000000000455,0.0,13849.999999999987,30.0
FW,1,4,64,0.1666667,1,2000.0,1344.9999999999995,655.0000000000005,0.0,0.0,619.0,36.000000000000455,0.0,30349.99999999999,30.0
FW,1,4,89,0.0833333,1,2000.0,1718.0,282.0,0.0,0.0,282.0,0.0,0.0,41540.0,30.0
FW,1,4,90,0.1666666,1,2000.0,1061.9999999999998,938.0,0.0,0.0,938.0,0.0,0.0,21859.999999999996,30.0
FW,1,4,91,0.2499999,1,2000.0,1410.0,590.0,0.0,0.0,590.0,0.0,0.0,32300.000000000007,30.0
FW,1,4,92,0.2499999,1,2000.0,1580.3333333333335,419.66666666666663,0.0,0.0,419.66666666666663,0.0,0.0,37410.0,30.0
FW,1,4,93,0.1666666,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
FW,1,4,94,0.0833333,1,2000.0,890.0,1110.0,0.0,0.0,1110.0,0.0,0.0,16700.0,30.0
FW,1,4,4,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,10.0
FW,1,4,7,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1691.0,1090.0,1081.0,3000.0,10.0
FW,1,4,10,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,10.0
FW,1,4,13,0.1666667,1,2000.0,757.9999999999998,1242.0000000000002,0.0,0.0,1128.0,114.00000000000023,0.0,12739.999999999995,30.0
FW,1,4,16,0.1666667,1,2000.0,438.9999999999998,1561.0000000000002,0.0,0.0,1447.0,114.00000000000023,0.0,4389.999999999998,10.0
FW,1,4,19,0.1666667,1,2000.0,997.9999999999998,1002.0000000000002,0.0,0.0,888.0,114.00000000000023,0.0,19939.999999999993,30.0
FW,1,4,22,0.1666667,1,2000.0,928.9999999999998,1071.0000000000002,0.0,0.0,957.0,114.00000000000023,0.0,17869.999999999993,30.0
FW,1,4,25,0.1666667,1,2000.0,605.9999999999998,1394.0000000000002,0.0,0.0,1280.0,114.00000000000023,0.0,8179.999999999993,30.0
FW,1,4,28,0.1666667,1,2000.0,1160.0,840.0000000000002,0.0,0.0,726.0,114.00000000000023,0.0,24799.999999999996,30.0
FW,2,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,2,2,83,0.666,1,2000.0,2000.0,0.0,0.0,0.0,959.9999999999998,0.0,959.9999999999998,50000.0,30.0
FW,2,2,84,0.33299999999999996,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999999,5000.0,17.78
FW,2,3,85,0.33333359999999995,1,2000.0,300.0,1700.0,0.0,0.0,1736.0000000000005,959.9999999999998,996.0000000000001,3000.0,10.0
FW,2,3,86,0.6666672000000001,1,2000.0,1265.2500000000002,734.7499999999998,0.0,0.0,786.5,959.9999999999998,1011.75,27957.500000000007,30.0
FW,2,3,87,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,608.9999999999999,1290.0,3000.0,10.0
FW,2,3,88,0.6666666,1,2000.0,500.0,1500.0,0.0,0.0,1405.0000000000002,608.9999999999999,513.9999999999998,5000.0,26.67
FW,2,4,31,0.1666667,1,2000.0,300.0,1700.0,0.0,0.0,1041.0,996.0000000000001,337.0,3000.0,10.0
FW,2,4,34,0.1666667,1,2000.0,300.0,1700.0,0.0,0.0,1361.0,996.0000000000001,657.0,3000.0,10.0
FW,2,4,37,0.1666667,1,2000.0,300.0,1700.0,0.0,0.0,805.0,996.0000000000001,101.0,3000.0,10.0
FW,2,4,58,0.1666667,1,2000.0,300.0,1700.0,0.0,0.0,842.0,996.0000000000001,138.0,3000.0,10.0
FW,2,4,61,0.1666667,1,2000.0,300.0,1700.0,0.0,0.0,1169.0,996.0000000000001,465.0,3000.0,10.0
FW,2,4,64,0.1666667,1,2000.0,384.9999999999998,1615.0000000000002,0.0,0.0,619.0,996.0000000000001,0.0,3849.999999999994,10.0
FW,2,4,89,0.0833333,1,2000.0,706.25,1293.75,0.0,0.0,282.0,1011.75,0.0,11187.5,30.0
FW,2,4,90,0.1666666,1,2000.0,300.0,1700.0,0.0,0.0,938.0,1011.75,249.75,3000.0,10.0
FW,2,4,91,0.2499999,1,2000.0,398.25,1601.75,0.0,0.0,590.0,1011.75,0.0,3982.5,10.0
FW,2,4,92,0.2499999,1,2000.0,568.5833333333335,1431.4166666666665,0.0,0.0,419.66666666666663,1011.75,0.0,7057.500000000004,30.0
FW,2,4,93,0.1666666,1,2000.0,300.0,1700.0,0.0,0.0,781.0,1011.75,92.75,3000.0,10.0
FW,2,4,94,0.0833333,1,2000.0,300.0,1700.0,0.0,0.0,1110.0,1011.75,421.75,3000.0,10.0
FW,2,4,4,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1290.0,968.0,3000.0,10.0
FW,2,4,7,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1691.0,1290.0,1281.0,3000.0,10.0
FW,2,4,10,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1290.0,719.0,3000.0,10.0
FW,2,4,13,0.1666667,1,2000.0,358.0000000000002,1641.9999999999998,0.0,0.0,1128.0,513.9999999999998,0.0,3580.0000000000023,10.0
FW,2,4,16,0.1666667,1,2000.0,300.0,1700.0,0.0,0.0,1447.0,513.9999999999998,260.9999999999998,3000.0,10.0
FW,2,4,19,0.1666667,1,2000.0,598.0000000000002,1401.9999999999998,0.0,0.0,888.0,513.9999999999998,0.0,7940.000000000007,30.0
FW,2,4,22,0.1666667,1,2000.0,529.0000000000002,1470.9999999999998,0.0,0.0,957.0,513.9999999999998,0.0,5870.000000000007,30.0
FW,2,4,25,0.1666667,1,2000.0,300.0,1700.0,0.0,0.0,1280.0,513.9999999999998,93.99999999999977,3000.0,10.0
FW,2,4,28,0.1666667,1,2000.0,760.0000000000002,1239.9999999999998,0.0,0.0,726.0,513.9999999999998,0.0,12800.000000000007,30.0
FW,3,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,3,2,83,0.666,1,2000.0,1428.000246811558,571.9997531884421,0.0,0.0,959.9999999999998,0.0,388.00024681155764,32840.00740434673,30.0
FW,3,2,84,0.33299999999999996,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999999,5000.0,11.11
FW,3,3,85,0.33333359999999995,1,2000.0,441.17622377667726,1558.8237762233227,0.0,0.0,1736.0000000000005,388.00024681155764,565.1764705882352,4411.762237766772,10.0
FW,3,3,86,0.6666672000000001,1,2000.0,825.4997531884421,1174.5002468115579,0.0,0.0,786.5,388.00024681155764,-1.2126600874279394e-13,14764.992595653266,30.0
FW,3,3,87,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,608.9999999999999,1290.0,3000.0,10.0
