etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
BK,1,4,31,0.1666667,1,6,6,1077.0000000000005,36.000000000000455,1041.0,1077.0000000000005,0.0,0.0
BK,1,4,34,0.1666667,1,6,6,1397.0000000000005,36.000000000000455,1361.0,1397.0000000000005,0.0,0.0
BK,1,4,37,0.1666667,1,6,6,841.0000000000005,36.000000000000455,805.0,841.0000000000005,0.0,0.0
BK,1,4,58,0.1666667,1,6,6,878.0000000000005,36.000000000000455,842.0,878.0000000000005,0.0,0.0
BK,1,4,61,0.1666667,1,6,6,1205.0000000000005,36.000000000000455,1169.0,1205.0000000000005,0.0,0.0
BK,1,4,64,0.1666667,1,6,6,655.0000000000005,36.000000000000455,619.0,655.0000000000005,0.0,0.0
BK,1,4,89,0.0833333,1,6,6,282.0,0.0,282.0,282.0,0.0,0.0
BK,1,4,90,0.1666666,1,6,6,938.0,0.0,938.0,938.0,0.0,0.0
BK,1,4,91,0.2499999,1,6,6,590.0,0.0,590.0,590.0,0.0,0.0
BK,1,4,92,0.2499999,1,6,6,419.66666666666663,0.0,419.66666666666663,419.66666666666663,0.0,0.0
BK,1,4,93,0.1666666,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,94,0.0833333,1,6,6,1110.0,0.0,1110.0,1110.0,0.0,0.0
BK,1,4,4,0.3333333,1,6,6,1700.0,1090.0,1378.0,1700.0,0.0,768.0
BK,1,4,7,0.3333333,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
BK,1,4,10,0.3333333,1,6,6,1700.0,1090.0,1129.0,1700.0,0.0,519.0
BK,1,4,13,0.1666667,1,6,6,1242.0000000000002,114.00000000000023,1128.0,1242.0000000000002,0.0,0.0
BK,1,4,16,0.1666667,1,6,6,1561.0000000000002,114.00000000000023,1447.0,1561.0000000000002,0.0,0.0
BK,1,4,19,0.1666667,1,6,6,1002.0000000000002,114.00000000000023,888.0,1002.0000000000002,0.0,0.0
