etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,5,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,5,2,83,0.33299999999999996,1,6,6,1500.0,0.0,2109.0,1500.0,1.1368683772161603e-13,608.9999999999999
FW,5,2,84,0.666,1,6,6,857.3333441333242,0.0,959.9999999999998,857.3333441333242,0.0,102.66665586667557
FW,5,3,85,0.6666666,1,6,6,1500.0,608.9999999999999,1405.0000000000002,1500.0,2.2737367544323206e-13,513.9999999999998
FW,5,3,86,0.3333333,1,6,6,1700.0,608.9999999999999,2381.0,1700.0,0.0,1290.0
FW,5,3,87,0.5000004,1,6,6,1500.0,102.66665586667557,1536.3333333333337,1500.0,-5.684341886080802e-14,138.99998920000922
FW,5,3,88,0.5000004,1,6,6,157.99998920000954,102.66665586667557,669.6666666666667,157.99998920000954,0.0,614.3333333333328
FW,5,4,13,0.1666667,1,6,6,1641.9999999999998,513.9999999999998,1128.0,1641.9999999999998,0.0,0.0
FW,5,4,16,0.1666667,1,6,6,1700.0,513.9999999999998,1447.0,1700.0,0.0,260.9999999999998
FW,5,4,19,0.1666667,1,6,6,1401.9999999999998,513.9999999999998,888.0,1401.9999999999998,0.0,0.0
FW,5,4,22,0.1666667,1,6,6,1470.9999999999998,513.9999999999998,957.0,1470.9999999999998,0.0,0.0
FW,5,4,25,0.1666667,1,6,6,1700.0,513.9999999999998,1280.0,1700.0,0.0,93.99999999999977
FW,5,4,28,0.1666667,1,6,6,1239.9999999999998,513.9999999999998,726.0,1239.9999999999998,0.0,0.0
FW,5,4,4,0.3333333,1,6,6,1700.0,1290.0,1378.0,1700.0,0.0,968.0
FW,5,4,7,0.3333333,1,6,6,1700.0,1290.0,1691.0,1700.0,0.0,1281.0
FW,5,4,10,0.3333333,1,6,6,1700.0,1290.0,1129.0,1700.0,0.0,719.0
FW,5,4,89,0.2222222,1,6,6,1214.4999892000092,138.99998920000922,1075.5,1214.4999892000092,0.0,0.0
FW,5,4,90,0.2222222,1,6,6,931.9999892000092,138.99998920000922,793.0,931.9999892000092,0.0,0.0
FW,5,4,91,0.2222222,1,6,6,730.4999892000092,138.99998920000922,591.5,730.4999892000092,0.0,0.0
FW,5,4,92,0.1111111,1,6,6,1499.9999892000092,138.99998920000922,1361.0,1499.9999892000092,0.0,0.0
FW,5,4,93,0.1111111,1,6,6,980.9999892000092,138.99998920000922,842.0,980.9999892000092,0.0,0.0
FW,5,4,94,0.1111111,1,6,6,1307.9999892000092,138.99998920000922,1169.0,1307.9999892000092,0.0,0.0
FW,5,4,95,0.2222222,1,6,6,1050.8333333333328,614.3333333333328,436.5,1050.8333333333328,0.0,0.0
FW,5,4,96,0.3333333,1,6,6,1499.9999999999995,614.3333333333328,885.6666666666669,1499.9999999999995,0.0,0.0
FW,5,4,97,0.1111111,1,6,6,1243.3333333333328,614.3333333333328,629.0,1243.3333333333328,0.0,0.0
FW,5,4,98,0.1111111,1,6,6,896.3333333333328,614.3333333333328,282.0,896.3333333333328,0.0,0.0
FW,5,4,99,0.1111111,1,6,6,1000.3333333333328,614.3333333333328,386.0,1000.3333333333328,0.0,0.0
FW,5,4,100,0.1111111,1,6,6,1191.3333333333328,614.3333333333328,577.0,1191.3333333333328,0.0,0.0
