etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,83,0.4439999999999999,1,6,6,1700.0,0.0,1885.2500000000005,1700.0,0.0,185.25000000000045
FW,1,2,84,0.5549999999999999,1,6,6,909.2000000000003,0.0,909.2000000000003,909.2000000000003,0.0,0.0
FW,1,3,85,0.4999998,1,6,6,1590.2500000000002,185.25000000000045,1404.9999999999998,1590.2500000000002,0.0,0.0
FW,1,3,86,0.4999998,1,6,6,1700.0,185.25000000000045,2132.5,1700.0,0.0,617.7500000000005
FW,1,3,87,0.4000001999999999,1,6,6,1362.5000000000002,0.0,1362.5000000000002,1362.5000000000002,0.0,0.0
FW,1,3,88,0.6,1,6,6,669.6666666666667,0.0,669.6666666666667,669.6666666666667,0.0,0.0
FW,1,4,13,0.1666667,1,6,6,1128.0,0.0,1128.0,1128.0,0.0,0.0
FW,1,4,16,0.1666667,1,6,6,1447.0,0.0,1447.0,1447.0,0.0,0.0
FW,1,4,19,0.1666667,1,6,6,888.0,0.0,888.0,888.0,0.0,0.0
FW,1,4,22,0.1666667,1,6,6,957.0,0.0,957.0,957.0,0.0,0.0
FW,1,4,25,0.1666667,1,6,6,1280.0,0.0,1280.0,1280.0,0.0,0.0
FW,1,4,28,0.1666667,1,6,6,726.0,0.0,726.0,726.0,0.0,0.0
FW,1,4,4,0.1666667,1,6,6,1700.0,617.7500000000005,1378.0,1700.0,0.0,295.75000000000045
FW,1,4,7,0.1666667,1,6,6,1700.0,617.7500000000005,1691.0,1700.0,0.0,608.7500000000005
FW,1,4,10,0.1666667,1,6,6,1700.0,617.7500000000005,1129.0,1700.0,0.0,46.750000000000455
FW,1,4,31,0.1666667,1,6,6,1658.7500000000007,617.7500000000005,1041.0,1658.7500000000007,-2.2737367544323206e-13,0.0
FW,1,4,34,0.1666667,1,6,6,1700.0,617.7500000000005,1361.0,1700.0,0.0,278.75000000000045
FW,1,4,37,0.1666667,1,6,6,1422.7500000000005,617.7500000000005,805.0,1422.7500000000005,0.0,0.0
FW,1,4,40,0.1666667,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,1,4,43,0.1666667,1,6,6,1110.0,0.0,1110.0,1110.0,0.0,0.0
FW,1,4,46,0.1666667,1,6,6,564.0,0.0,564.0,564.0,0.0,0.0
FW,1,4,58,0.1666667,1,6,6,842.0,0.0,842.0,842.0,0.0,0.0
FW,1,4,61,0.1666667,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
FW,1,4,64,0.1666667,1,6,6,619.0,0.0,619.0,619.0,0.0,0.0
FW,1,4,52,0.1111112,1,6,6,963.0,0.0,963.0,963.0,0.0,0.0
FW,1,4,55,0.2222222,1,6,6,429.0,0.0,429.0,429.0,0.0,0.0
