NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
86,4,1,4,0.1666667
86,7,2,4,0.1666667
86,10,3,4,0.1666667
86,13,4,4,0.1666667
86,16,5,4,0.1666667
86,19,6,4,0.1666667
1,83,1,2,0.48099999999999987
1,84,2,2,0.5179999999999999
83,85,1,3,0.5384617
83,86,2,3,0.4615386
84,87,1,3,0.5000002
84,88,2,3,0.5000002
85,89,1,4,0.1428571
85,90,2,4,0.1428571
85,91,3,4,0.1428571
85,92,4,4,0.1428571
85,93,5,4,0.1428571
85,94,6,4,0.2857142
87,95,1,4,0.2857142
87,96,2,4,0.1428571
87,97,3,4,0.1428571
87,98,4,4,0.1428571
87,99,5,4,0.1428571
87,100,6,4,0.1428571
88,101,1,4,0.2857142
88,102,2,4,0.1428571
88,103,3,4,0.1428571
88,104,4,4,0.1428571
88,105,5,4,0.1428571
88,106,6,4,0.1428571
