etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
BK,1,4,7,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1691.0,1090.0,1081.0,3000.0,10.0
BK,1,4,10,0.6666667,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,10.0
BK,1,4,19,0.3333333,1,2000.0,1112.0,888.0,0.0,0.0,888.0,0.0,0.0,23360.0,30.0
BK,1,4,25,0.3333333,1,2000.0,720.0,1280.0,0.0,0.0,1280.0,0.0,0.0,11599.999999999998,30.0
BK,1,4,28,0.3333333,1,2000.0,1274.0,726.0,0.0,0.0,726.0,0.0,0.0,28220.0,30.0
BK,1,4,37,1.0,1,2000.0,1011.0,989.0,0.0,0.0,805.0,184.0,0.0,20330.0,30.0
BK,1,4,46,0.3333333,1,2000.0,1436.0,564.0,0.0,0.0,564.0,0.0,0.0,33080.0,30.0
BK,1,4,52,0.3333333,1,2000.0,1037.0,963.0,0.0,0.0,963.0,0.0,0.0,21110.0,30.0
BK,1,4,55,0.3333333,1,2000.0,1571.0,429.0,0.0,0.0,429.0,0.0,0.0,37130.0,30.0
BK,1,4,64,1.0,1,2000.0,1381.0,619.0,0.0,0.0,619.0,0.0,0.0,31429.999999999993,30.0
BK,1,4,73,0.5,1,2000.0,1614.0,386.0,0.0,0.0,386.0,0.0,0.0,38420.00000000001,30.0
BK,1,4,79,0.5,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
BK,1,3,9,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
BK,1,3,27,0.6666667,1,2000.0,1136.0,864.0,0.0,0.0,1157.0,409.0,702.0,24080.0,30.0
BK,1,3,36,0.3333333,1,2000.0,977.6666666666665,1022.3333333333334,0.0,0.0,1884.0,0.0,861.6666666666666,19330.0,30.0
BK,1,3,54,0.6666667,1,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,30.0
BK,1,3,63,0.3333333,1,2000.0,1459.6666666666665,540.3333333333335,0.0,0.0,1588.0,0.0,1047.6666666666665,33789.99999999999,30.0
BK,1,3,78,0.6666667,1,2000.0,2000.0,0.0,0.0,0.0,468.0,0.0,468.0,50000.0,30.0
BK,1,2,26,0.333,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999999,5000.0,20.0
BK,1,2,53,0.333,1,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,30.0
BK,1,2,77,0.333,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
BK,2,4,7,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1691.0,1290.0,1281.0,3000.0,10.0
BK,2,4,10,0.6666667,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1290.0,719.0,3000.0,10.0
BK,2,4,19,0.3333333,1,2000.0,410.0,1590.0,0.0,0.0,888.0,702.0,0.0,4100.0,10.0
BK,2,4,25,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1280.0,702.0,282.0,3000.0,10.0
BK,2,4,28,0.3333333,1,2000.0,572.0,1428.0,0.0,0.0,726.0,702.0,0.0,7160.0,30.0
BK,2,4,37,1.0,1,2000.0,300.0,1700.0,0.0,0.0,805.0,1398.0000000000002,503.0,3000.0,10.0
BK,2,4,46,0.3333333,1,2000.0,421.33333333333303,1578.666666666667,0.0,0.0,564.0,1014.6666666666667,0.0,4213.333333333327,10.0
BK,2,4,52,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,963.0,1014.6666666666667,277.66666666666674,3000.0,10.0
BK,2,4,55,0.3333333,1,2000.0,556.3333333333333,1443.6666666666667,0.0,0.0,429.0,1014.6666666666667,0.0,6689.999999999998,30.0
BK,2,4,64,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,619.0,1047.6666666666665,0.0,3333.333333333329,10.0
BK,2,4,73,0.5,1,2000.0,530.833333333333,1469.166666666667,0.0,0.0,386.0,1083.166666666667,0.0,5924.999999999989,30.0
BK,2,4,79,0.5,1,2000.0,300.0,1700.0,0.0,0.0,781.0,1083.166666666667,164.16666666666697,3000.0,10.0
BK,2,3,9,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,608.9999999999999,1290.0,3000.0,10.0
BK,2,3,27,0.6666667,1,2000.0,650.8000000000002,1349.1999999999998,0.0,0.0,1157.0,608.9999999999999,416.8000000000002,9524.000000000004,30.0
BK,2,3,36,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1884.0,1214.0,1398.0,3000.0,10.0
BK,2,3,54,0.6666667,1,2000.0,818.6000000000001,1181.3999999999999,0.0,0.0,704.0,1214.0,736.6000000000004,14558.000000000004,30.0
BK,2,3,63,0.3333333,1,2000.0,587.0,1413.0,0.0,0.0,1588.0,706.0,881.0,7610.0,30.0
