etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
BK,1,4,7,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,7,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,7,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,7,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,10,0.6666667,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,10,0.6666667,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,10,0.6666667,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,10,0.6666667,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,19,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,19,0.3333333,1,ANGRA2,2,204.0,20.0,4080.0
BK,1,4,19,0.3333333,1,ANGRA2,3,204.0,30.0,6120.0
BK,1,4,19,0.3333333,1,ANGRA2,4,204.0,40.0,8160.0
BK,1,4,25,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,25,0.3333333,1,ANGRA2,2,73.3,20.0,1466.0
BK,1,4,25,0.3333333,1,ANGRA2,3,73.3,30.0,2199.0
BK,1,4,25,0.3333333,1,ANGRA2,4,73.3,40.0,2932.0
BK,1,4,28,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,28,0.3333333,1,ANGRA2,2,258.0,20.0,5160.0
BK,1,4,28,0.3333333,1,ANGRA2,3,258.0,30.0,7740.0
BK,1,4,28,0.3333333,1,ANGRA2,4,258.0,40.0,10320.0
BK,1,4,37,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,37,1.0,1,ANGRA2,2,170.3,20.0,3406.0
BK,1,4,37,1.0,1,ANGRA2,3,170.3,30.0,5109.0
BK,1,4,37,1.0,1,ANGRA2,4,170.3,40.0,6812.0
BK,1,4,46,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,46,0.3333333,1,ANGRA2,2,312.0,20.0,6240.0
BK,1,4,46,0.3333333,1,ANGRA2,3,312.0,30.0,9360.0
BK,1,4,46,0.3333333,1,ANGRA2,4,312.0,40.0,12480.0
BK,1,4,52,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,52,0.3333333,1,ANGRA2,2,179.0,20.0,3580.0
BK,1,4,52,0.3333333,1,ANGRA2,3,179.0,30.0,5370.0
BK,1,4,52,0.3333333,1,ANGRA2,4,179.0,40.0,7160.0
BK,1,4,55,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,55,0.3333333,1,ANGRA2,2,357.0,20.0,7140.0
BK,1,4,55,0.3333333,1,ANGRA2,3,357.0,30.0,10710.0
BK,1,4,55,0.3333333,1,ANGRA2,4,357.0,40.0,14280.0
BK,1,4,64,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,64,1.0,1,ANGRA2,2,293.7,20.0,5874.0
BK,1,4,64,1.0,1,ANGRA2,3,293.7,30.0,8811.0
BK,1,4,64,1.0,1,ANGRA2,4,293.7,40.0,11748.0
BK,1,4,73,0.5,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,73,0.5,1,ANGRA2,2,371.3,20.0,7426.0
BK,1,4,73,0.5,1,ANGRA2,3,371.3,30.0,11139.0
BK,1,4,73,0.5,1,ANGRA2,4,371.3,40.0,14852.0
BK,1,4,79,0.5,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,79,0.5,1,ANGRA2,2,239.7,20.0,4794.0
BK,1,4,79,0.5,1,ANGRA2,3,239.7,30.0,7191.0
BK,1,4,79,0.5,1,ANGRA2,4,239.7,40.0,9588.0
BK,1,3,9,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,3,9,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
BK,1,3,9,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
BK,1,3,9,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
BK,1,3,27,0.6666667,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,27,0.6666667,1,ANGRA2,2,212.0,20.0,4240.0
BK,1,3,27,0.6666667,1,ANGRA2,3,212.0,30.0,6360.0
BK,1,3,27,0.6666667,1,ANGRA2,4,212.0,40.0,8480.0
BK,1,3,36,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,36,0.3333333,1,ANGRA2,2,159.2,20.0,3184.0
BK,1,3,36,0.3333333,1,ANGRA2,3,159.2,30.0,4776.0
BK,1,3,36,0.3333333,1,ANGRA2,4,159.2,40.0,6368.0
BK,1,3,54,0.6666667,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,54,0.6666667,1,ANGRA2,2,265.3,20.0,5306.0
BK,1,3,54,0.6666667,1,ANGRA2,3,265.3,30.0,7959.0
BK,1,3,54,0.6666667,1,ANGRA2,4,265.3,40.0,10612.0
BK,1,3,63,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,63,0.3333333,1,ANGRA2,2,319.9,20.0,6398.0
BK,1,3,63,0.3333333,1,ANGRA2,3,319.9,30.0,9597.0
BK,1,3,63,0.3333333,1,ANGRA2,4,319.9,40.0,12796.0
BK,1,3,78,0.6666667,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,78,0.6666667,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,3,78,0.6666667,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,3,78,0.6666667,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,2,26,0.333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,26,0.333,1,ANGRA2,2,0.0,20.0,0.0
BK,1,2,26,0.333,1,ANGRA2,3,0.0,30.0,0.0
BK,1,2,26,0.333,1,ANGRA2,4,0.0,40.0,0.0
BK,1,2,53,0.333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,53,0.333,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,2,53,0.333,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,2,53,0.333,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,2,77,0.333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,77,0.333,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,2,77,0.333,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,2,77,0.333,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
BK,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
