etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
BK,1,4,7,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1691.0,1090.0,1081.0,3000.0,0.0
BK,1,4,10,0.6666667,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,0.0
BK,1,4,25,0.5,2000.0,720.0,1280.0,0.0,0.0,1280.0,0.0,0.0,11599.999999999998,0.0
BK,1,4,28,0.5,2000.0,1274.0,726.0,0.0,0.0,726.0,0.0,0.0,28220.0,0.0
BK,1,4,19,0.4,2000.0,928.0,1072.0,0.0,0.0,888.0,184.0,0.0,17840.0,0.0
BK,1,4,37,0.6,2000.0,1011.0,989.0,0.0,0.0,805.0,184.0,0.0,20330.0,0.0
BK,1,4,52,0.5,2000.0,1037.0,963.0,0.0,0.0,963.0,0.0,0.0,21110.0,0.0
BK,1,4,55,0.5,2000.0,1571.0,429.0,0.0,0.0,429.0,0.0,0.0,37130.0,0.0
BK,1,4,46,0.4,2000.0,1436.0,564.0,0.0,0.0,564.0,0.0,0.0,33080.0,0.0
BK,1,4,64,0.6,2000.0,1381.0,619.0,0.0,0.0,619.0,0.0,0.0,31429.999999999993,0.0
BK,1,4,73,0.5,2000.0,1614.0,386.0,0.0,0.0,386.0,0.0,0.0,38420.00000000001,0.0
BK,1,4,79,0.5,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,0.0
BK,1,3,9,0.4285714,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,3000.0
BK,1,3,27,0.5714286,2000.0,1097.6666666666663,902.3333333333334,0.0,0.0,1157.0,409.0,663.6666666666666,22930.0,0.0
BK,1,3,36,0.5555556,2000.0,944.4666666666667,1055.5333333333333,0.0,0.0,1884.0,0.0,828.4666666666667,18334.0,0.0
BK,1,3,54,0.4444444,2000.0,2000.0,0.0,0.0,0.0,704.0,0.0,704.0,50000.0,8000.0
BK,1,3,63,0.4545455,2000.0,1481.6666666666665,518.3333333333335,0.0,0.0,1588.0,0.0,1069.6666666666665,34450.0,0.0
BK,1,3,78,0.5454545,2000.0,2000.0,0.0,0.0,0.0,468.0,0.0,468.0,50000.0,18455.000000000007
BK,1,2,26,0.259,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,609.0,5000.0,12245.714598000002
BK,1,2,53,0.333,2000.0,1984.7777190133336,15.222280986666647,0.0,0.0,1214.0,0.0,1198.7777190133334,49543.331570400005,0.0
BK,1,2,77,0.407,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,31818.180272499994
BK,1,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,54264.568864732704
BK,2,4,7,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1691.0,1290.0,1281.0,3000.0,0.0
BK,2,4,10,0.6666667,2000.0,300.0,1700.0,0.0,0.0,1129.0,1290.0,719.0,3000.0,0.0
BK,2,4,25,0.5,2000.0,300.0,1700.0,0.0,0.0,1280.0,663.6666666666666,243.66666666666652,3000.0,0.0
BK,2,4,28,0.5,2000.0,610.3333333333335,1389.6666666666665,0.0,0.0,726.0,663.6666666666666,0.0,8310.000000000004,0.0
BK,2,4,19,0.4,2000.0,300.0,1700.0,0.0,0.0,888.0,1382.7777190133334,570.7777190133334,3000.0,0.0
BK,2,4,37,0.6,2000.0,300.0,1700.0,0.0,0.0,805.0,1382.7777190133334,487.77771901333335,3000.0,0.0
BK,2,4,52,0.5,2000.0,300.0,1700.0,0.0,0.0,963.0,970.6666666666666,233.66666666666652,3000.0,0.0
BK,2,4,55,0.5,2000.0,600.3333333333335,1399.6666666666665,0.0,0.0,429.0,970.6666666666666,0.0,8010.0000000000055,0.0
BK,2,4,46,0.4,2000.0,366.33333333333326,1633.6666666666667,0.0,0.0,564.0,1069.6666666666665,0.0,3663.333333333329,0.0
BK,2,4,64,0.6,2000.0,311.3333333333335,1688.6666666666665,0.0,0.0,619.0,1069.6666666666665,0.0,3113.333333333335,0.0
BK,2,4,73,0.5,2000.0,530.833333333333,1469.166666666667,0.0,0.0,386.0,1083.166666666667,0.0,5924.999999999989,0.0
BK,2,4,79,0.5,2000.0,300.0,1700.0,0.0,0.0,781.0,1083.166666666667,164.16666666666697,3000.0,0.0
BK,2,3,9,0.4285714,2000.0,300.0,1700.0,0.0,0.0,2381.0,609.0,1290.0,3000.0,3000.0
BK,2,3,27,0.5714286,2000.0,520.6666666666665,1479.3333333333335,0.0,0.0,1157.0,609.0,286.6666666666666,5619.999999999996,11310.000000000004
BK,2,3,36,0.5555556,2000.0,300.0,1700.0,0.0,0.0,1884.0,1198.7777190133334,1382.7777190133334,3000.0,3000.0
BK,2,3,54,0.4444444,2000.0,700.8889476533332,1299.1110523466668,0.0,0.0,704.0,1198.7777190133334,603.6666666666664,11026.668429599995,11010.000000000007
BK,2,3,63,0.4545455,2000.0,609.0,1391.0,0.0,0.0,1588.0,706.0,903.0,8269.999999999998,4999.999999999997
BK,2,3,78,0.5454545,2000.0,1611.666666666667,388.3333333333328,0.0,0.0,468.0,706.0,785.6666666666672,38350.000000000015,8924.999999999993
BK,2,2,26,0.259,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,609.0,5000.0,12245.714598000002
BK,2,2,53,0.333,2000.0,1197.1333333333332,802.8666666666668,0.0,0.0,1214.0,0.0,411.1333333333331,25913.999999999996,23629.331570400005
BK,2,2,77,0.407,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,31818.180272499994
BK,2,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,54264.568864732704
BK,3,4,7,0.3333333,2000.0,300.0,1700.0,0.0,0.0,1691.0,1290.0,1281.0,3000.0,0.0
BK,3,4,10,0.6666667,2000.0,300.0,1700.0,0.0,0.0,1129.0,1290.0,719.0,3000.0,0.0
BK,3,4,25,0.5,2000.0,433.3333333333335,1566.6666666666665,0.0,0.0,1280.0,286.6666666666666,0.0,4333.333333333335,0.0
BK,3,4,28,0.5,2000.0,987.3333333333335,1012.6666666666665,0.0,0.0,726.0,286.6666666666666,0.0,19620.000000000007,0.0
BK,3,4,19,0.4,2000.0,383.5333333333333,1616.4666666666667,0.0,0.0,888.0,728.4666666666667,0.0,3835.333333333333,0.0
BK,3,4,37,0.6,2000.0,466.5333333333333,1533.4666666666667,0.0,0.0,805.0,728.4666666666667,0.0,4665.333333333333,0.0
BK,3,4,52,0.5,2000.0,433.3333333333335,1566.6666666666665,0.0,0.0,963.0,603.6666666666664,0.0,4333.333333333335,0.0
BK,3,4,55,0.5,2000.0,967.3333333333335,1032.6666666666665,0.0,0.0,429.0,603.6666666666664,0.0,19020.000000000004,0.0
BK,3,4,46,0.4,2000.0,533.0,1467.0,0.0,0.0,564.0,903.0,0.0,5990.0,0.0
BK,3,4,64,0.6,2000.0,478.0,1522.0,0.0,0.0,619.0,903.0,0.0,4780.0,0.0
BK,3,4,73,0.5,2000.0,828.3333333333328,1171.6666666666672,0.0,0.0,386.0,785.6666666666672,0.0,14849.999999999985,0.0
BK,3,4,79,0.5,2000.0,433.3333333333328,1566.6666666666672,0.0,0.0,781.0,785.6666666666672,0.0,4333.3333333333285,0.0
BK,3,3,9,0.4285714,2000.0,300.0,1700.0,0.0,0.0,2381.0,609.0,1290.0,3000.0,3000.0
BK,3,3,27,0.5714286,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1157.0,609.0,265.99999999999994,4999.9999999999945,12390.000000000002
BK,3,3,36,0.5555556,2000.0,500.0,1500.0,0.0,0.0,1884.0,411.1333333333331,795.1333333333332,5000.0,3666.66666666667
BK,3,3,54,0.4444444,2000.0,1421.8666666666668,578.1333333333332,0.0,0.0,704.0,411.1333333333331,537.0,32656.0,13010.0
BK,3,3,63,0.4545455,2000.0,586.9999999999998,1413.0000000000002,0.0,0.0,1588.0,706.0,880.9999999999997,7609.9999999999945,5660.000000000008
BK,3,3,78,0.5454545,2000.0,1545.0000000000005,454.9999999999994,0.0,0.0,468.0,706.0,719.0000000000005,36350.00000000002,10924.99999999999
