iter,est,no,usina,Indep,Coef
1,4,7,6,3000.0,0.0
1,4,10,6,3000.0,0.0
1,4,25,6,11599.999999999998,-30.0
1,4,28,6,28220.0,-30.0
1,4,19,6,23360.0,-30.0
1,4,37,6,25850.0,-30.0
1,4,52,6,21110.0,-30.0
1,4,55,6,37130.0,-30.0
1,4,46,6,33080.0,-30.0
1,4,64,6,31429.999999999993,-30.0
1,4,73,6,38420.00000000001,-30.0
1,4,79,6,26570.000000000004,-30.0
1,3,9,6,6000.0,0.0
1,3,27,6,35200.0,-30.0
1,3,36,6,18334.0,-30.0
1,3,54,6,58000.0,-30.0
1,3,63,6,34450.0,-30.0
1,3,78,6,68455.0,-30.0
1,2,26,6,17245.714598000002,-17.142858
1,2,53,6,49543.331570400005,-30.0
1,2,77,6,81818.1802725,-30.0
1,1,1,6,104264.5688647327,-30.0
2,4,7,6,3000.0,0.0
2,4,10,6,3000.0,0.0
2,4,25,6,3000.0,0.0
2,4,28,6,28220.000000000004,-30.0
2,4,19,6,3000.0,0.0
2,4,37,6,3000.0,0.0
2,4,52,6,3000.0,0.0
2,4,55,6,37130.00000000001,-30.0
2,4,46,6,14359.99999999999,-9.999999999999998
2,4,64,6,13809.999999999996,-9.999999999999998
2,4,73,6,38420.0,-30.0
2,4,79,6,3000.0,0.0
2,3,9,6,6000.0,0.0
2,3,27,6,35200.0,-30.0
2,3,36,6,6000.0,0.0
2,3,54,6,58000.0,-30.0
2,3,63,6,34450.0,-30.0
2,3,78,6,68455.0,-30.0
2,2,26,6,17245.714598000002,-17.142858
2,2,53,6,49543.3315704,-30.0
2,2,77,6,81818.1802725,-30.0
2,1,1,6,104264.5688647327,-30.0
3,4,7,6,3000.0,0.0
3,4,10,6,3000.0,0.0
3,4,25,6,7200.0,-9.999999999999998
3,4,28,6,28220.000000000004,-30.0
3,4,19,6,11120.0,-9.999999999999998
3,4,37,6,11950.0,-9.999999999999998
3,4,52,6,10369.999999999998,-9.999999999999998
3,4,55,6,37130.0,-30.0
3,4,46,6,33080.0,-30.0
3,4,64,6,13809.999999999998,-9.999999999999998
3,4,73,6,38420.0,-30.0
3,4,79,6,12190.0,-9.999999999999998
3,3,9,6,6000.0,0.0
3,3,27,6,29570.0,-20.000000000000004
3,3,36,6,12778.0,-9.999999999999996
3,3,54,6,57999.99999999999,-30.0
3,3,63,6,34450.0,-30.0
3,3,78,6,68455.00000000001,-30.0
3,2,26,6,17508.571753999997,-11.428571999999999
3,2,53,6,49543.3315704,-30.0
3,2,77,6,81818.1802725,-30.0
3,1,1,6,104332.6488681367,-30.0
4,4,7,6,3000.0,0.0
4,4,10,6,3000.0,0.0
4,4,25,6,7199.999999999994,-9.999999999999998
4,4,28,6,28220.0,-30.0
4,4,19,6,11120.0,-9.999999999999998
4,4,37,6,25850.000000000007,-30.0
4,4,52,6,21110.0,-30.0
4,4,55,6,37130.0,-30.0
4,4,46,6,33080.0,-30.0
4,4,64,6,31430.000000000004,-30.0
4,4,73,6,38420.0,-30.0
4,4,79,6,26570.0,-30.0
4,3,9,6,6000.0,0.0
4,3,27,6,29570.0,-20.000000000000004
4,3,36,6,16510.000000000007,-22.0
4,3,54,6,58000.0,-30.0
4,3,63,6,34450.0,-30.0
4,3,78,6,68455.00000000001,-30.0
4,2,26,6,17508.571753999997,-11.428571999999999
4,2,53,6,49543.3315704,-30.0
4,2,77,6,81818.1802725,-30.0
4,1,1,6,104332.6488681367,-30.0
