etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,26,0.259,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,53,0.333,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,77,0.407,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,3,9,0.4285714,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,3,27,0.5714286,1,6,6,1566.0,409.0,1157.0,1566.0,0.0,0.0
FW,1,3,36,0.5555556,1,6,6,1700.0,0.0,1884.0,1700.0,0.0,184.0
FW,1,3,54,0.4444444,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
FW,1,3,63,0.4545455,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,78,0.5454545,1,6,6,468.0,0.0,468.0,468.0,0.0,0.0
FW,1,4,7,0.3333333,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
FW,1,4,10,0.6666667,1,6,6,1700.0,1090.0,1129.0,1700.0,0.0,519.0
FW,1,4,25,0.5,1,6,6,1280.0,0.0,1280.0,1280.0,0.0,0.0
FW,1,4,28,0.5,1,6,6,726.0,0.0,726.0,726.0,0.0,0.0
FW,1,4,19,0.4,1,6,6,1072.0,184.0,888.0,1072.0,0.0,0.0
FW,1,4,37,0.6,1,6,6,989.0,184.0,805.0,989.0,0.0,0.0
FW,1,4,52,0.5,1,6,6,963.0,0.0,963.0,963.0,0.0,0.0
FW,1,4,55,0.5,1,6,6,429.0,0.0,429.0,429.0,0.0,0.0
FW,1,4,46,0.4,1,6,6,564.0,0.0,564.0,564.0,0.0,0.0
FW,1,4,64,0.6,1,6,6,619.0,0.0,619.0,619.0,0.0,0.0
FW,1,4,73,0.5,1,6,6,386.0,0.0,386.0,386.0,0.0,0.0
FW,1,4,79,0.5,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,2,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,2,2,26,0.259,1,6,6,1500.0,0.0,2109.0,1500.0,0.0,609.0
FW,2,2,53,0.333,1,6,6,15.222280986666647,0.0,1214.0,15.222280986666647,0.0,1198.7777190133334
FW,2,2,77,0.407,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,2,3,9,0.4285714,1,6,6,1700.0,609.0,2381.0,1700.0,0.0,1290.0
FW,2,3,27,0.5714286,1,6,6,1102.3333333333335,609.0,1157.0,1102.3333333333335,0.0,663.6666666666666
FW,2,3,36,0.5555556,1,6,6,1700.0,1198.7777190133334,1884.0,1700.0,0.0,1382.7777190133334
FW,2,3,54,0.4444444,1,6,6,932.1110523466667,1198.7777190133334,704.0,932.1110523466667,0.0,970.6666666666666
FW,2,3,63,0.4545455,1,6,6,1224.3333333333335,706.0,1588.0,1224.3333333333335,0.0,1069.6666666666665
FW,2,3,78,0.5454545,1,6,6,90.83333333333303,706.0,468.0,90.83333333333303,0.0,1083.166666666667
FW,2,4,7,0.3333333,1,6,6,1700.0,1290.0,1691.0,1700.0,0.0,1281.0
FW,2,4,10,0.6666667,1,6,6,1700.0,1290.0,1129.0,1700.0,0.0,719.0
FW,2,4,25,0.5,1,6,6,1700.0,663.6666666666666,1280.0,1700.0,0.0,243.66666666666652
FW,2,4,28,0.5,1,6,6,1389.6666666666665,663.6666666666666,726.0,1389.6666666666665,0.0,0.0
FW,2,4,19,0.4,1,6,6,1700.0,1382.7777190133334,888.0,1700.0,0.0,570.7777190133334
FW,2,4,37,0.6,1,6,6,1700.0,1382.7777190133334,805.0,1700.0,0.0,487.77771901333335
FW,2,4,52,0.5,1,6,6,1700.0,970.6666666666666,963.0,1700.0,0.0,233.66666666666652
FW,2,4,55,0.5,1,6,6,1399.6666666666665,970.6666666666666,429.0,1399.6666666666665,0.0,0.0
FW,2,4,46,0.4,1,6,6,1633.6666666666667,1069.6666666666665,564.0,1633.6666666666667,-2.2737367544323206e-13,0.0
FW,2,4,64,0.6,1,6,6,1688.6666666666665,1069.6666666666665,619.0,1688.6666666666665,0.0,0.0
FW,2,4,73,0.5,1,6,6,1469.166666666667,1083.166666666667,386.0,1469.166666666667,0.0,0.0
FW,2,4,79,0.5,1,6,6,1700.0,1083.166666666667,781.0,1700.0,0.0,164.16666666666697
FW,3,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,3,2,26,0.259,1,6,6,1500.0,0.0,2109.0,1500.0,0.0,609.0
FW,3,2,53,0.333,1,6,6,802.8666666666668,0.0,1214.0,802.8666666666668,0.0,411.1333333333331
FW,3,2,77,0.407,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,3,3,9,0.4285714,1,6,6,1700.0,609.0,2381.0,1700.0,0.0,1290.0
