NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1,83,1,2,0.33299999999999996
1,84,2,2,0.33299999999999996
1,85,3,2,0.33299999999999996
83,86,1,3,0.3333333
83,87,2,3,0.6666666
84,88,1,3,0.6666666
84,89,2,3,0.3333333
85,90,1,3,0.6666666
85,91,2,3,0.3333333
86,92,1,4,0.3333333
86,93,2,4,0.6666666
87,94,1,4,0.5000001000000001
87,95,2,4,0.5000001000000001
88,96,1,4,0.6666668
88,97,2,4,0.3333334
89,98,1,4,0.6666666
89,99,2,4,0.3333333
90,100,1,4,0.6666668
90,101,2,4,0.3333334
91,102,1,4,0.6666666
91,103,2,4,0.3333333
