iter,est,no,usina,Indep,Coef
1,4,92,6,3000.0,0.0
1,4,93,6,3000.0,0.0
1,4,94,6,24290.0,-30.0
1,4,95,6,11450.0,-30.0
1,4,96,6,37332.5,-30.0
1,4,97,6,24590.000000000004,-30.0
1,4,98,6,28085.0,-30.0
1,4,99,6,14929.999999999998,-30.0
1,4,100,6,31977.5,-30.0
1,4,101,6,18905.0,-30.0
1,4,102,6,22310.0,-30.0
1,4,103,6,6390.0,-9.999999999999998
1,3,86,6,5999.9997,0.0
1,3,87,6,25719.999999999996,-30.0
1,3,88,6,63510.002702,-30.000006
1,3,89,6,26060.0,-30.0
1,3,90,6,50005.00000099999,-30.000006
1,3,91,6,13043.332528999994,-23.333331
1,2,83,6,11966.665870000004,-19.999998000000005
1,2,84,6,79846.66265933344,-30.000000999999603
1,2,85,6,51264.44040855558,-30.0
1,1,1,6,97644.89705631704,-30.0
2,4,92,6,3000.0,0.0
2,4,93,6,3000.0,0.0
2,4,94,6,24290.000000000004,-30.0
2,4,95,6,3000.0,0.0
2,4,96,6,15777.499999999998,-9.999999999999998
2,4,97,6,3000.0,0.0
2,4,98,6,12694.999999999998,-9.999999999999998
2,4,99,6,3000.0,0.0
2,4,100,6,13992.499999999993,-9.999999999999998
2,4,101,6,3000.0,0.0
2,4,102,6,22310.0,-30.0
2,4,103,6,3000.0,0.0
2,3,86,6,5999.9997,0.0
2,3,87,6,20070.003014,-15.000003000000003
2,3,88,6,63510.001071285704,-30.0
2,3,89,6,15617.14231757143,-10.0
2,3,90,6,50005.00107757142,-30.0
2,3,91,6,13193.332513999994,-19.999998000000005
2,2,83,6,14289.99976233326,-10.000000999999806
2,2,84,6,79846.66284319063,-30.0
2,2,85,6,51314.44111626979,-30.0
2,1,1,6,98435.21753935728,-30.0
3,4,92,6,3000.0,0.0
3,4,93,6,3000.0,0.0
3,4,94,6,24290.0,-30.0
3,4,95,6,3000.0,0.0
3,4,96,6,37332.5,-30.0
3,4,97,6,3000.0,0.0
3,4,98,6,28084.999999999996,-30.0
3,4,99,6,3000.0,0.0
3,4,100,6,31977.499999999996,-30.0
3,4,101,6,3000.0,0.0
3,4,102,6,22310.0,-30.0
3,4,103,6,3000.0,0.0
3,3,86,6,5999.9997,0.0
3,3,87,6,20070.003013999994,-15.000003000000003
3,3,88,6,63510.002298999985,-30.0
3,3,89,6,22963.331536999987,-19.999998000000012
3,3,90,6,50005.00234299999,-30.0
3,3,91,6,13193.332513999994,-19.999998000000005
3,2,83,6,14289.99976233326,-10.000000999999802
3,2,84,6,79846.66305566678,-30.0
3,2,85,6,51314.441959888754,-30.0
3,1,1,6,98435.21789103697,-30.0
4,4,92,6,3000.0,0.0
4,4,93,6,3000.0,0.0
4,4,94,6,24290.0,-30.0
4,4,95,6,3000.0,0.0
4,4,96,6,37332.5,-30.0
4,4,97,6,11530.0,-9.999999999999998
4,4,98,6,28085.0,-30.0
4,4,99,6,8309.999999999993,-9.999999999999998
4,4,100,6,31977.5,-30.0
4,4,101,6,9635.0,-9.999999999999998
4,4,102,6,22310.0,-30.0
4,4,103,6,3000.0,0.0
4,3,86,6,5999.9997,0.0
4,3,87,6,20070.003013999994,-15.000003000000003
4,3,88,6,63510.002699,-30.0
4,3,89,6,24439.998055999997,-23.33333100000001
4,3,90,6,50005.002743,-30.0
4,3,91,6,13193.332513999994,-19.999998000000005
4,2,83,6,14289.99976233326,-10.000000999999802
4,2,84,6,79846.66312233347,-30.0
4,2,85,6,51314.442226555395,-30.0
4,1,1,6,98435.21800203697,-30.0
