etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,1,2,83,0.33299999999999996,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,2,84,0.33299999999999996,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,85,0.33299999999999996,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,3,86,0.4444444,1,2000.0,300.0,1700.0,0.0,0.0,2075.0,409.0,784.0,3000.0,10.0
FW,1,3,87,0.5555555,1,2000.0,300.0,1700.0,0.0,0.0,1454.6000000000001,409.0,163.60000000000014,3000.0,10.0
FW,1,3,88,0.5555555,1,2000.0,1384.4,615.6,0.0,0.0,615.6,0.0,0.0,31532.0,30.0
FW,1,3,89,0.4444444,1,2000.0,599.75,1400.25,0.0,0.0,1400.25,0.0,0.0,7992.5,30.0
FW,1,3,90,0.5555555,1,2000.0,1036.2,963.8,0.0,0.0,963.8,0.0,0.0,21086.0,30.0
FW,1,3,91,0.4444444,1,2000.0,411.0,1589.0,0.0,0.0,1589.0,0.0,0.0,4110.0,10.0
FW,1,4,92,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1534.5,784.0,618.5,3000.0,10.0
FW,1,4,93,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1043.0,784.0,127.0,3000.0,10.0
FW,1,4,94,0.4,1,2000.0,1029.4,970.6000000000001,0.0,0.0,807.0,163.60000000000014,0.0,20882.0,30.0
FW,1,4,95,0.6000000000000001,1,2000.0,551.3999999999999,1448.6000000000001,0.0,0.0,1285.0,163.60000000000014,0.0,6541.9999999999945,30.0
FW,1,4,96,0.4,1,2000.0,1153.0000000000002,847.0,0.0,0.0,847.0,0.0,0.0,24590.000000000004,30.0
FW,1,4,97,0.6000000000000001,1,2000.0,1629.3333333333335,370.66666666666663,0.0,0.0,370.66666666666663,0.0,0.0,38880.0,30.0
FW,1,4,98,0.5,1,2000.0,1402.0,598.0,0.0,0.0,598.0,0.0,0.0,32059.999999999993,30.0
FW,1,4,99,0.5,1,2000.0,994.5,1005.5,0.0,0.0,1005.5,0.0,0.0,19835.0,30.0
FW,1,4,100,0.4,1,2000.0,1503.5,496.5,0.0,0.0,496.5,0.0,0.0,35105.0,30.0
FW,1,4,101,0.6000000000000001,1,2000.0,1048.6666666666667,951.3333333333333,0.0,0.0,951.3333333333333,0.0,0.0,21460.0,30.0
FW,1,4,102,0.5,1,2000.0,1283.0,717.0,0.0,0.0,717.0,0.0,0.0,28490.0,30.0
FW,1,4,103,0.5,1,2000.0,799.0,1201.0,0.0,0.0,1201.0,0.0,0.0,13970.000000000002,30.0
FW,2,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,2,2,83,0.33299999999999996,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,609.0,5000.0,16.67
FW,2,2,84,0.33299999999999996,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,2,2,85,0.33299999999999996,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,2,3,86,0.4444444,1,2000.0,300.0,1700.0,0.0,0.0,2075.0,609.0,984.0,3000.0,10.0
FW,2,3,87,0.5555555,1,2000.0,509.2666666666662,1490.7333333333338,0.0,0.0,1454.6000000000001,609.0,572.8666666666666,5277.999999999985,30.0
FW,2,3,88,0.5555555,1,2000.0,2000.0,0.0,0.0,0.0,615.6,0.0,615.6,50000.0,30.0
FW,2,3,89,0.4444444,1,2000.0,1464.6666666666665,535.3333333333335,0.0,0.0,1400.25,0.0,864.9166666666665,33940.0,30.0
FW,2,3,90,0.5555555,1,2000.0,1933.4666666666662,66.53333333333353,0.0,0.0,963.8,0.0,897.2666666666665,48004.0,30.0
FW,2,3,91,0.4444444,1,2000.0,1118.6666666666663,881.3333333333334,0.0,0.0,1589.0,0.0,707.6666666666666,23560.0,30.0
FW,2,4,92,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1534.5,984.0,818.5,3000.0,10.0
FW,2,4,93,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1043.0,984.0,327.0,3000.0,10.0
FW,2,4,94,0.4,1,2000.0,620.1333333333334,1379.8666666666666,0.0,0.0,807.0,572.8666666666666,0.0,8604.000000000004,30.0
FW,2,4,95,0.6000000000000001,1,2000.0,300.0,1700.0,0.0,0.0,1285.0,572.8666666666666,157.86666666666656,3000.0,10.0
FW,2,4,96,0.4,1,2000.0,537.4000000000001,1462.6,0.0,0.0,847.0,615.6,0.0,6122.000000000003,30.0
FW,2,4,97,0.6000000000000001,1,2000.0,1013.7333333333336,986.2666666666667,0.0,0.0,370.66666666666663,615.6,0.0,20412.000000000004,30.0
FW,2,4,98,0.5,1,2000.0,537.0833333333335,1462.9166666666665,0.0,0.0,598.0,864.9166666666665,0.0,6112.500000000004,30.0
FW,2,4,99,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1005.5,864.9166666666665,170.41666666666652,3000.0,10.0
FW,2,4,100,0.4,1,2000.0,606.2333333333336,1393.7666666666664,0.0,0.0,496.5,897.2666666666665,0.0,8187.000000000009,30.0
FW,2,4,101,0.6000000000000001,1,2000.0,300.0,1700.0,0.0,0.0,951.3333333333333,897.2666666666665,148.5999999999999,3000.0,10.0
FW,2,4,102,0.5,1,2000.0,575.3333333333335,1424.6666666666665,0.0,0.0,717.0,707.6666666666666,0.0,7260.000000000004,30.0
FW,2,4,103,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1201.0,707.6666666666666,208.66666666666652,3000.0,10.0
FW,3,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,3,2,83,0.33299999999999996,1,2000.0,300.0000000000002,1699.9999999999998,0.0,0.0,2109.0,0.0,409.0000000000002,3000.000000000006,10.0
FW,3,2,84,0.33299999999999996,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,3,2,85,0.33299999999999996,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,3,3,86,0.4444444,1,2000.0,300.0,1700.0,0.0,0.0,2075.0,409.0000000000002,784.0,3000.0,10.0
