etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
BK,1,4,10,1.0,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,10,1.0,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,10,1.0,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,10,1.0,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,28,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,28,1.0,1,ANGRA2,2,258.0,20.0,5160.0
BK,1,4,28,1.0,1,ANGRA2,3,258.0,30.0,7740.0
BK,1,4,28,1.0,1,ANGRA2,4,258.0,40.0,10320.0
BK,1,4,19,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,19,1.0,1,ANGRA2,2,204.0,20.0,4080.0
BK,1,4,19,1.0,1,ANGRA2,3,204.0,30.0,6120.0
BK,1,4,19,1.0,1,ANGRA2,4,204.0,40.0,8160.0
BK,1,4,52,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,52,1.0,1,ANGRA2,2,179.0,20.0,3580.0
BK,1,4,52,1.0,1,ANGRA2,3,179.0,30.0,5370.0
BK,1,4,52,1.0,1,ANGRA2,4,179.0,40.0,7160.0
BK,1,4,37,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,37,1.0,1,ANGRA2,2,170.3,20.0,3406.0
BK,1,4,37,1.0,1,ANGRA2,3,170.3,30.0,5109.0
BK,1,4,37,1.0,1,ANGRA2,4,170.3,40.0,6812.0
BK,1,4,64,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,64,1.0,1,ANGRA2,2,293.7,20.0,5874.0
BK,1,4,64,1.0,1,ANGRA2,3,293.7,30.0,8811.0
BK,1,4,64,1.0,1,ANGRA2,4,293.7,40.0,11748.0
BK,1,4,46,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,46,1.0,1,ANGRA2,2,312.0,20.0,6240.0
BK,1,4,46,1.0,1,ANGRA2,3,312.0,30.0,9360.0
BK,1,4,46,1.0,1,ANGRA2,4,312.0,40.0,12480.0
BK,1,4,73,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,73,1.0,1,ANGRA2,2,371.3,20.0,7426.0
BK,1,4,73,1.0,1,ANGRA2,3,371.3,30.0,11139.0
BK,1,4,73,1.0,1,ANGRA2,4,371.3,40.0,14852.0
BK,1,3,9,0.5,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,3,9,0.5,1,ANGRA2,2,0.0,20.0,0.0
BK,1,3,9,0.5,1,ANGRA2,3,0.0,30.0,0.0
BK,1,3,9,0.5,1,ANGRA2,4,0.0,40.0,0.0
BK,1,3,27,0.5,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,27,0.5,1,ANGRA2,2,291.6,20.0,5832.0
BK,1,3,27,0.5,1,ANGRA2,3,291.6,30.0,8748.0
BK,1,3,27,0.5,1,ANGRA2,4,291.6,40.0,11664.0
BK,1,3,18,0.5,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,18,0.5,1,ANGRA2,2,208.6,20.0,4172.0
BK,1,3,18,0.5,1,ANGRA2,3,208.6,30.0,6258.0
BK,1,3,18,0.5,1,ANGRA2,4,208.6,40.0,8344.0
BK,1,3,51,0.5,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,51,0.5,1,ANGRA2,2,499.9,20.0,9998.0
BK,1,3,51,0.5,1,ANGRA2,3,499.9,30.0,14997.0
BK,1,3,51,0.5,1,ANGRA2,4,499.9,40.0,19996.0
BK,1,3,36,0.5,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,36,0.5,1,ANGRA2,2,159.2,20.0,3184.0
BK,1,3,36,0.5,1,ANGRA2,3,159.2,30.0,4776.0
BK,1,3,36,0.5,1,ANGRA2,4,159.2,40.0,6368.0
BK,1,3,63,0.5,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,63,0.5,1,ANGRA2,2,319.9,20.0,6398.0
BK,1,3,63,0.5,1,ANGRA2,3,319.9,30.0,9597.0
BK,1,3,63,0.5,1,ANGRA2,4,319.9,40.0,12796.0
BK,1,3,45,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,45,0.3333333,1,ANGRA2,2,488.6,20.0,9772.0
BK,1,3,45,0.3333333,1,ANGRA2,3,488.6,30.0,14658.0
BK,1,3,45,0.3333333,1,ANGRA2,4,488.6,40.0,19544.0
BK,1,3,72,0.6666667,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,72,0.6666667,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,3,72,0.6666667,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,3,72,0.6666667,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,2,26,0.222,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,26,0.222,1,ANGRA2,2,0.0,20.0,0.0
BK,1,2,26,0.222,1,ANGRA2,3,0.0,30.0,0.0
BK,1,2,26,0.222,1,ANGRA2,4,0.0,40.0,0.0
BK,1,2,50,0.222,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,50,0.222,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,2,50,0.222,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,2,50,0.222,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,2,62,0.222,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,62,0.222,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,2,62,0.222,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,2,62,0.222,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,2,71,0.333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,2,71,0.333,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,2,71,0.333,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,2,71,0.333,1,ANGRA2,4,500.0,40.0,20000.0
BK,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
BK,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
BK,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
BK,2,4,10,1.0,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,10,1.0,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,10,1.0,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,10,1.0,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,28,1.0,1,ANGRA1,1,333.3,10.0,3333.0
BK,2,4,28,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
BK,2,4,28,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
BK,2,4,28,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
BK,2,4,19,1.0,1,ANGRA1,1,300.0,10.0,3000.0
BK,2,4,19,1.0,1,ANGRA2,2,0.0,20.0,0.0
BK,2,4,19,1.0,1,ANGRA2,3,0.0,30.0,0.0
BK,2,4,19,1.0,1,ANGRA2,4,0.0,40.0,0.0
BK,2,4,52,1.0,1,ANGRA1,1,333.3,10.0,3333.0
