etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
BK,1,4,93,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1256.6,653.1999999999998,209.79999999999973,3000.0,10.0
BK,1,4,94,0.9999998999999999,1,2000.0,1012.3333333333335,987.6666666666667,0.0,0.0,987.6666666666667,0.0,0.0,20370.0,30.0
BK,1,4,95,1.0000002,1,2000.0,1436.1666666666665,563.8333333333335,0.0,0.0,563.8333333333335,0.0,0.0,33085.0,30.0
BK,1,4,96,0.9999998999999999,1,2000.0,1123.3333333333335,876.6666666666667,0.0,0.0,876.6666666666667,0.0,0.0,23700.0,30.0
BK,1,4,97,0.9999998999999999,1,2000.0,746.9999999999995,1253.0000000000005,0.0,0.0,1069.0,184.00000000000045,0.0,12409.999999999987,30.0
BK,1,4,98,1.0000002,1,2000.0,1254.0,746.0000000000001,0.0,0.0,746.0000000000001,0.0,0.0,27619.999999999996,30.0
BK,1,4,4,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,10.0
BK,1,3,87,0.625,1,2000.0,300.0,1700.0,0.0,0.0,1944.1999999999998,409.0,653.1999999999998,3000.0,10.0
BK,1,3,88,0.375,1,2000.0,1112.9999999999998,887.0,0.0,0.0,1157.0,409.0,679.0,23389.999999999996,30.0
BK,1,3,89,0.6666666,1,2000.0,2000.0,0.0,0.0,0.0,652.5000000000001,0.0,652.5000000000001,50000.0,30.0
BK,1,3,90,0.3333333,1,2000.0,1202.0,798.0,0.0,0.0,1588.0,0.0,790.0,26060.0,30.0
BK,1,3,91,0.3333333,1,2000.0,713.6666666666663,1286.3333333333337,0.0,0.0,1884.0000000000005,0.0,597.6666666666667,11409.99999999999,30.0
BK,1,3,92,0.6666666,1,2000.0,2000.0,0.0,0.0,0.0,920.5000000000002,0.0,920.5000000000002,50000.0,30.0
BK,1,3,3,1.0,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
BK,1,2,83,0.296,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,609.0,5000.0,11.25
BK,1,2,84,0.33299999999999996,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,1,2,85,0.33299999999999996,1,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,30.0
BK,1,2,86,0.037,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
BK,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
BK,2,4,93,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1256.6,853.1999999999998,409.7999999999997,3000.0,10.0
BK,2,4,94,0.9999998999999999,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,987.6666666666667,679.0,0.0,3333.3333333333326,10.0
BK,2,4,95,1.0000002,1,2000.0,333.33333333333303,1666.666666666667,0.0,0.0,563.8333333333335,1102.8333333333335,0.0,3333.3333333333303,10.0
BK,2,4,96,0.9999998999999999,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,876.6666666666667,790.0,0.0,3333.3333333333326,10.0
BK,2,4,97,0.9999998999999999,1,2000.0,300.0,1700.0,0.0,0.0,1069.0,1398.000000000001,767.0000000000009,3000.0,10.0
BK,2,4,98,1.0000002,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,746.0000000000001,920.6666666666665,0.0,3333.333333333329,10.0
BK,2,4,4,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,10.0
BK,2,3,87,0.625,1,2000.0,300.0,1700.0,0.0,0.0,1944.1999999999998,609.0,853.1999999999998,3000.0,10.0
BK,2,3,88,0.375,1,2000.0,746.3333333333333,1253.6666666666667,0.0,0.0,1157.0,609.0,512.3333333333334,12389.999999999998,30.0
