etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,3,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,3,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,3,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,3,2,83,0.259,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,83,0.259,1,ANGRA2,2,0.0,20.0,0.0
FW,3,2,83,0.259,1,ANGRA2,3,0.0,30.0,0.0
FW,3,2,83,0.259,1,ANGRA2,4,0.0,40.0,0.0
FW,3,2,84,0.259,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,84,0.259,1,ANGRA2,2,143.7,20.0,2874.0
FW,3,2,84,0.259,1,ANGRA2,3,143.7,30.0,4311.0
FW,3,2,84,0.259,1,ANGRA2,4,143.7,40.0,5748.0
FW,3,2,85,0.25899999999999995,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,85,0.25899999999999995,1,ANGRA2,2,264.7,20.0,5294.0
FW,3,2,85,0.25899999999999995,1,ANGRA2,3,264.7,30.0,7941.0
FW,3,2,85,0.25899999999999995,1,ANGRA2,4,264.7,40.0,10588.0
FW,3,2,86,0.222,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,86,0.222,1,ANGRA2,2,0.0,20.0,0.0
FW,3,2,86,0.222,1,ANGRA2,3,0.0,30.0,0.0
FW,3,2,86,0.222,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,87,0.5714284999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,87,0.5714284999999999,1,ANGRA2,2,498.0,20.0,9960.0
FW,3,3,87,0.5714284999999999,1,ANGRA2,3,498.0,30.0,14940.0
FW,3,3,87,0.5714284999999999,1,ANGRA2,4,498.0,40.0,19920.0
FW,3,3,88,0.4285713,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,3,88,0.4285713,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,88,0.4285713,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,88,0.4285713,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,89,0.5714284999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,89,0.5714284999999999,1,ANGRA2,2,500.0,20.0,10000.0
FW,3,3,89,0.5714284999999999,1,ANGRA2,3,500.0,30.0,15000.0
FW,3,3,89,0.5714284999999999,1,ANGRA2,4,500.0,40.0,20000.0
FW,3,3,90,0.4285713,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,90,0.4285713,1,ANGRA2,2,15.7,20.0,314.0
FW,3,3,90,0.4285713,1,ANGRA2,3,15.7,30.0,471.0
FW,3,3,90,0.4285713,1,ANGRA2,4,15.7,40.0,628.0
FW,3,3,91,0.5714284999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,91,0.5714284999999999,1,ANGRA2,2,500.0,20.0,10000.0
FW,3,3,91,0.5714284999999999,1,ANGRA2,3,500.0,30.0,15000.0
FW,3,3,91,0.5714284999999999,1,ANGRA2,4,500.0,40.0,20000.0
FW,3,3,92,0.4285713,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,92,0.4285713,1,ANGRA2,2,178.4,20.0,3568.0
FW,3,3,92,0.4285713,1,ANGRA2,3,178.4,30.0,5352.0
FW,3,3,92,0.4285713,1,ANGRA2,4,178.4,40.0,7136.0
FW,3,3,93,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,93,0.5000001000000001,1,ANGRA2,2,82.1,20.0,1642.0
FW,3,3,93,0.5000001000000001,1,ANGRA2,3,82.1,30.0,2463.0
FW,3,3,93,0.5000001000000001,1,ANGRA2,4,82.1,40.0,3284.0
FW,3,3,94,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,3,94,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,94,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,94,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
