NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
9,4,1,4,0.3333333
9,7,2,4,0.3333333
26,9,3,3,0.3333333
9,10,3,4,0.3333333
18,13,4,4,0.3333333
18,16,5,4,0.3333333
26,18,6,3,0.3333333
18,19,6,4,0.3333333
27,22,7,4,0.3333333
27,25,8,4,0.3333333
1,26,9,2,0.333
26,27,9,3,0.3333333
27,28,9,4,0.3333333
36,31,10,4,0.3333333
36,34,11,4,0.3333333
53,36,12,3,0.3333333
36,37,12,4,0.3333333
45,40,13,4,0.3333333
45,43,14,4,0.3333333
53,45,15,3,0.3333333
45,46,15,4,0.3333333
54,52,17,4,0.3333333
1,53,18,2,0.333
53,54,18,3,0.3333333
54,55,18,4,0.6666667
63,58,19,4,0.3333333
63,61,20,4,0.3333333
1,62,21,2,0.111
62,63,21,3,1.0
63,64,21,4,0.3333333
81,70,23,4,0.1666667
81,73,24,4,0.3333333
81,79,26,4,0.1666667
1,80,27,2,0.222
80,81,27,3,1.0
81,82,27,4,0.3333333
