NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
86,3,1,3,1.0
3,4,1,4,1.0
88,7,2,4,0.5
88,10,3,4,0.5
91,31,10,4,0.3333333
91,34,11,4,0.3333333
91,37,12,4,0.3333333
90,58,19,4,0.3333333
90,61,20,4,0.3333333
90,64,21,4,0.3333333
1,83,1,2,0.296
1,84,2,2,0.33299999999999996
1,85,3,2,0.33299999999999996
1,86,4,2,0.037
83,87,1,3,0.75
83,88,2,3,0.25
84,89,1,3,0.6666666
84,90,2,3,0.3333333
85,91,1,3,0.3333333
85,92,2,3,0.6666666
87,93,1,4,0.3333334
87,94,2,4,0.5000001000000001
87,95,3,4,0.1666667
89,96,1,4,0.3333334
89,97,2,4,0.5000001000000001
89,98,3,4,0.1666667
92,99,1,4,0.3333334
92,100,2,4,0.5000001000000001
92,101,3,4,0.1666667
