etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,5,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,5,2,83,0.296,1,2000.0,454.00020654992477,1545.9997934500752,0.0,0.0,2109.0,0.0,563.0002065499249,4540.002065499244,10.0
FW,5,2,84,0.33299999999999996,1,2000.0,1409.25000150101,590.7499984989898,0.0,0.0,706.0,0.0,115.25000150101012,32277.500045030305,30.0
FW,5,2,85,0.33299999999999996,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,5,2,86,0.037,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,5,3,87,0.625,1,2000.0,300.0,1700.0,0.0,0.0,1944.1999999999998,563.0002065499249,807.2002065499245,3000.0,10.0
FW,5,3,88,0.375,1,2000.0,500.0,1500.0,0.0,0.0,1157.0,563.0002065499249,220.0002065499247,5000.0,23.33
FW,5,3,89,0.3333333,1,2000.0,627.74999849899,1372.25000150101,0.0,0.0,1588.0,115.25000150101012,331.00000000000017,8832.499954969697,30.0
FW,5,3,90,0.6666666,1,2000.0,1885.24999849899,114.75000150100999,0.0,0.0,652.5000000000001,115.25000150101012,653.0000000000002,46557.499954969695,30.0
FW,5,3,91,0.3333333,1,2000.0,500.0,1500.0,0.0,0.0,1884.0000000000005,0.0,384.0000000000003,5000.0,20.0
FW,5,3,92,0.6666666,1,2000.0,1543.0,457.0,0.0,0.0,920.5000000000002,0.0,463.5000000000002,36289.99999999999,30.0
FW,5,3,3,1.0,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
FW,5,4,93,0.4,1,2000.0,300.0,1700.0,0.0,0.0,1128.5,807.2002065499245,235.7002065499246,3000.0,10.0
FW,5,4,94,0.4,1,2000.0,300.0,1700.0,0.0,0.0,1569.0,807.2002065499245,676.2002065499246,3000.0,10.0
FW,5,4,95,0.2,1,2000.0,304.7997934500754,1695.2002065499246,0.0,0.0,888.0,807.2002065499245,0.0,3047.997934500754,10.0
FW,5,4,22,0.3333333,1,2000.0,822.9997934500752,1177.0002065499248,0.0,0.0,957.0,220.0002065499247,0.0,14689.993803502259,30.0
FW,5,4,25,0.3333333,1,2000.0,499.99979345007523,1500.0002065499248,0.0,0.0,1280.0,220.0002065499247,0.0,4999.997934500752,10.0
FW,5,4,28,0.3333333,1,2000.0,1053.9997934500755,946.0002065499248,0.0,0.0,726.0,220.0002065499247,0.0,21619.99380350226,30.0
FW,5,4,58,0.3333333,1,2000.0,826.9999999999998,1173.0000000000002,0.0,0.0,842.0,331.00000000000017,0.0,14809.999999999995,30.0
FW,5,4,61,0.3333333,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1169.0,331.00000000000017,0.0,4999.9999999999945,30.0
FW,5,4,64,0.3333333,1,2000.0,1049.9999999999998,950.0000000000002,0.0,0.0,619.0,331.00000000000017,0.0,21499.999999999993,30.0
FW,5,4,96,0.3333334,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,847.0,653.0000000000002,0.0,4999.9999999999945,30.0
FW,5,4,97,0.5000001000000001,1,2000.0,976.3333333333331,1023.6666666666669,0.0,0.0,370.66666666666663,653.0000000000002,0.0,19289.999999999996,30.0
FW,5,4,98,0.1666667,1,2000.0,769.9999999999998,1230.0000000000002,0.0,0.0,577.0,653.0000000000002,0.0,13099.999999999995,30.0
FW,5,4,31,0.3333333,1,2000.0,574.9999999999998,1425.0000000000002,0.0,0.0,1041.0,384.0000000000003,0.0,7249.9999999999945,30.0
FW,5,4,34,0.3333333,1,2000.0,300.0,1700.0,0.0,0.0,1361.0,384.0000000000003,45.00000000000023,3000.0,10.0
FW,5,4,37,0.3333333,1,2000.0,810.9999999999998,1189.0000000000002,0.0,0.0,805.0,384.0000000000003,0.0,14329.99999999999,30.0
FW,5,4,99,0.5000001000000001,1,2000.0,878.4999999999998,1121.5000000000002,0.0,0.0,658.0,463.5000000000002,0.0,16354.99999999999,30.0
FW,5,4,100,0.3333334,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,1036.5,463.5000000000002,0.0,4999.9999999999945,30.0
FW,5,4,101,0.1666667,1,2000.0,1107.5,892.5000000000002,0.0,0.0,429.0,463.5000000000002,0.0,23224.999999999996,30.0
FW,5,4,4,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,10.0
