iter,est,noUso,usina,Indep,Coef
1,1,1,6,48498.04332160704,-23.680000332999867
2,1,1,6,48529.93763131922,-23.309999999999995
3,1,1,6,48547.54989075828,-22.939999999999998
4,1,1,6,48548.7339708737,-22.939999999999998
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,83,6,17832.249999999993,-12.500000000000002
2,2,83,6,17122.499673975,-11.25
3,2,83,6,15714.998990999999,-8.749999125000002
4,2,83,6,16424.748991,-9.999999125000002
5,2,83,6,0.0,0.0
6,2,83,6,0.0,0.0
7,2,83,6,0.0,0.0
8,2,83,6,0.0,0.0
9,2,83,6,0.0,0.0
10,2,83,6,0.0,0.0
1,2,84,6,51026.66336533315,-30.0000009999996
2,2,84,6,48727.77376222213,-24.444441555555603
3,2,84,6,50486.66276933321,-27.777774222222302
4,2,84,6,51026.66290433319,-29.999997
5,2,84,6,0.0,0.0
6,2,84,6,0.0,0.0
7,2,84,6,0.0,0.0
8,2,84,6,0.0,0.0
9,2,84,6,0.0,0.0
10,2,84,6,0.0,0.0
1,2,85,6,37684.44040855558,-27.7777782222219
2,2,85,6,37734.441336222146,-26.666663333333403
3,2,85,6,37734.441959888754,-26.666663333333403
4,2,85,6,37734.44222655539,-26.666663333333403
5,2,85,6,0.0,0.0
6,2,85,6,0.0,0.0
7,2,85,6,0.0,0.0
8,2,85,6,0.0,0.0
9,2,85,6,0.0,0.0
10,2,85,6,0.0,0.0
1,2,86,6,6000.0,0.0
2,2,86,6,6000.0,0.0
3,2,86,6,6000.0,0.0
4,2,86,6,6000.0,0.0
5,2,86,6,0.0,0.0
6,2,86,6,0.0,0.0
7,2,86,6,0.0,0.0
8,2,86,6,0.0,0.0
9,2,86,6,0.0,0.0
10,2,86,6,0.0,0.0
1,3,87,6,4624.0,-1.9999999999999998
2,3,87,6,3000.0,0.0
3,3,87,6,3000.0,0.0
4,3,87,6,4624.0,-1.9999999999999998
5,3,87,6,0.0,0.0
6,3,87,6,0.0,0.0
7,3,87,6,0.0,0.0
8,3,87,6,0.0,0.0
9,3,87,6,0.0,0.0
10,3,87,6,0.0,0.0
1,3,88,6,20369.997962999998,-29.999997
2,3,88,6,13883.331944999996,-13.333332
3,3,88,6,18903.331443,-23.333331
4,3,88,6,18903.331443,-23.333331
5,3,88,6,0.0,0.0
6,3,88,6,0.0,0.0
7,3,88,6,0.0,0.0
8,3,88,6,0.0,0.0
9,3,88,6,0.0,0.0
10,3,88,6,0.0,0.0
1,3,89,6,23699.997629999998,-29.999997
2,3,89,6,15336.665132999997,-13.333332
3,3,89,6,21493.331184,-23.333331
4,3,89,6,23699.997629999998,-29.999997
5,3,89,6,0.0,0.0
6,3,89,6,0.0,0.0
7,3,89,6,0.0,0.0
8,3,89,6,0.0,0.0
9,3,89,6,0.0,0.0
10,3,89,6,0.0,0.0
1,3,90,6,33085.00661700001,-30.000006000000003
2,3,90,6,22811.671229000003,-16.66667
3,3,90,6,28731.672413000004,-23.333338
4,3,90,6,33085.006617,-30.000006000000003
5,3,90,6,0.0,0.0
6,3,90,6,0.0,0.0
7,3,90,6,0.0,0.0
8,3,90,6,0.0,0.0
9,3,90,6,0.0,0.0
10,3,90,6,0.0,0.0
1,3,91,6,17003.331633,-23.333331
2,3,91,6,15873.331746000002,-19.999998
3,3,91,6,15873.331746000002,-19.999998
4,3,91,6,15873.331746000002,-19.999998
5,3,91,6,0.0,0.0
6,3,91,6,0.0,0.0
7,3,91,6,0.0,0.0
8,3,91,6,0.0,0.0
9,3,91,6,0.0,0.0
10,3,91,6,0.0,0.0
1,3,92,6,27620.005524,-30.000006000000003
2,3,92,6,13898.336113000001,-10.000001999999999
3,3,92,6,22318.337797000004,-20.000004
4,3,92,6,24530.004906,-23.333338
5,3,92,6,0.0,0.0
6,3,92,6,0.0,0.0
7,3,92,6,0.0,0.0
8,3,92,6,0.0,0.0
9,3,92,6,0.0,0.0
10,3,92,6,0.0,0.0
1,3,3,6,3000.0,0.0
2,3,3,6,3000.0,0.0
3,3,3,6,3000.0,0.0
4,3,3,6,3000.0,0.0
5,3,3,6,0.0,0.0
6,3,3,6,0.0,0.0
7,3,3,6,0.0,0.0
8,3,3,6,0.0,0.0
9,3,3,6,0.0,0.0
10,3,3,6,0.0,0.0
