NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
88,4,1,4,0.3333333
88,7,2,4,0.3333333
88,10,3,4,0.3333333
94,13,4,4,0.3333333
94,16,5,4,0.3333333
94,19,6,4,0.3333333
93,22,7,4,0.3333333
93,25,8,4,0.3333333
93,28,9,4,0.3333333
90,31,10,4,0.3333333
90,34,11,4,0.3333333
90,37,12,4,0.3333333
89,40,13,4,0.25
89,43,14,4,0.25
87,46,15,4,0.25
87,52,17,4,0.25
87,55,18,4,0.5000001
92,58,19,4,0.3333333
92,61,20,4,0.3333333
92,64,21,4,0.3333333
91,70,23,4,0.25
91,73,24,4,0.5000001
91,79,26,4,0.25
89,82,27,4,0.5000001
1,83,1,2,0.259
1,84,2,2,0.259
1,85,3,2,0.25899999999999995
1,86,4,2,0.222
83,87,1,3,0.5714284999999999
83,88,2,3,0.4285713
84,89,1,3,0.5714284999999999
84,90,2,3,0.4285713
85,91,1,3,0.5714284999999999
85,92,2,3,0.4285713
86,93,1,3,0.5000001000000001
86,94,2,3,0.5000001000000001
