NO,PROBABILIDADE
1,1.0
4,0.3333333
7,0.3333333
10,0.3333333
13,0.3333333
16,0.3333333
19,0.3333333
22,0.3333333
25,0.3333333
28,0.3333333
31,0.3333333
34,0.3333333
37,0.3333333
40,0.25
43,0.25
46,0.25
52,0.25
55,0.5000001
58,0.3333333
61,0.3333333
64,0.3333333
70,0.25
73,0.5000001
79,0.25
82,0.5000001
83,0.259
84,0.259
85,0.25899999999999995
86,0.222
87,0.5714284999999999
88,0.4285713
89,0.5714284999999999
90,0.4285713
91,0.5714284999999999
92,0.4285713
93,0.5000001000000001
94,0.5000001000000001
