NOME_UHE,NO,VAZAO
6,1,0.0
6,4,1378.0
6,7,1691.0
6,10,1129.0
6,13,1128.0
6,16,1447.0
6,19,888.0
6,22,957.0
6,25,1280.0
6,28,726.0
6,31,1041.0
6,34,1361.0
6,37,805.0
6,40,781.0
6,43,1110.0
6,46,564.0
6,52,963.0
6,55,429.0
6,58,842.0
6,61,1169.0
6,64,619.0
6,70,913.0
6,73,386.0
6,79,781.0
6,82,282.0
6,83,1597.5714285714284
6,84,1068.857142857143
6,85,706.0000000000001
6,86,2109.0
6,87,812.2499810562476
6,88,2381.0
6,89,802.4999414624926
6,90,1884.0
6,91,744.7500161437521
6,92,1587.9999999999998
6,93,1157.0
6,94,1653.0
