iter,est,no,usina,Indep,Coef
1,4,46,6,33080.0,-30.0
1,4,52,6,21110.0,-30.0
1,4,55,6,37130.0,-30.0
1,4,4,6,3000.0,0.0
1,4,7,6,3000.0,0.0
1,4,10,6,3000.0,0.0
1,4,40,6,26570.000000000004,-30.0
1,4,43,6,16700.0,-30.0
1,4,82,6,41540.0,-30.0
1,4,31,6,18770.0,-30.0
1,4,34,6,6390.0,-9.999999999999998
1,4,37,6,25850.0,-30.0
1,4,70,6,22610.000000000004,-30.0
1,4,73,6,38420.00000000001,-30.0
1,4,79,6,26570.000000000004,-30.0
1,4,58,6,24739.999999999996,-30.0
1,4,61,6,14929.999999999998,-30.0
1,4,64,6,31429.999999999993,-30.0
1,4,22,6,21290.0,-30.0
1,4,25,6,11599.999999999998,-30.0
1,4,28,6,28220.0,-30.0
1,4,13,6,16159.999999999998,-30.0
1,4,16,6,3000.0,0.0
1,4,19,6,23360.0,-30.0
1,3,87,6,57745.00184456263,-30.000003
1,3,88,6,5999.9997,0.0
1,3,89,6,57512.50350262539,-30.000003
1,3,90,6,13043.332529000001,-23.333331
1,3,91,6,59162.501123437396,-30.000003
1,3,92,6,26060.0,-30.0
1,3,93,6,35660.0,-30.0
1,3,94,6,16113.332222000001,-19.999998000000005
1,2,83,6,38895.914438556116,-17.142856714285497
1,2,84,6,56388.567300321505,-30.0
1,2,85,6,73795.70735121414,-30.0
1,2,86,6,15661.668852333349,-25.000003999999805
1,1,1,6,97268.65945955177,-30.0
2,4,46,6,33080.0,-30.0
2,4,52,6,3000.0,0.0
2,4,55,6,37130.0,-30.0
2,4,4,6,3000.0,0.0
2,4,7,6,3000.0,0.0
2,4,10,6,3000.0,0.0
2,4,40,6,12189.999999999998,-9.999999999999998
2,4,43,6,3000.0,0.0
2,4,82,6,41540.0,-30.0
2,4,31,6,18770.0,-30.0
2,4,34,6,3000.0,0.0
2,4,37,6,25850.0,-30.0
2,4,70,6,10870.0,-9.999999999999998
2,4,73,6,38420.0,-30.0
2,4,79,6,12190.0,-9.999999999999998
2,4,58,6,11579.999999999996,-9.999999999999998
2,4,61,6,3000.0,0.0
2,4,64,6,31429.999999999993,-30.0
2,4,22,6,10429.99999999999,-9.999999999999998
2,4,25,6,3000.0,0.0
2,4,28,6,28220.0,-30.0
2,4,13,6,3000.0,0.0
2,4,16,6,3000.0,0.0
2,4,19,6,11120.0,-9.999999999999998
2,3,87,6,57745.00247031258,-30.0
2,3,88,6,5999.9997,0.0
2,3,89,6,57512.50422532522,-30.0
2,3,90,6,13193.332513999996,-19.999998000000005
2,3,91,6,59162.50139868744,-30.0
2,3,92,6,26059.9991354,-30.0
2,3,93,6,35659.999130599994,-30.0
2,3,94,6,8863.332746999997,-3.333332999999995
2,2,83,6,38895.91496339276,-17.142854999999997
2,2,84,6,56452.85340186421,-30.0
2,2,85,6,73795.70735121414,-30.0
2,2,86,6,17111.668462633213,-16.6666698333333
2,1,1,6,97607.20960927059,-30.0
3,4,46,6,33080.0,-30.0
3,4,52,6,10370.0,-9.999999999999998
3,4,55,6,37130.0,-30.0
3,4,4,6,3000.0,0.0
3,4,7,6,3000.0,0.0
3,4,10,6,3000.0,0.0
3,4,40,6,26570.0,-30.0
3,4,43,6,8900.0,-9.999999999999998
3,4,82,6,41540.0,-30.0
3,4,31,6,18770.0,-30.0
3,4,34,6,3000.0,0.0
3,4,37,6,25850.0,-30.0
3,4,70,6,10870.0,-9.999999999999998
3,4,73,6,38420.0,-30.0
3,4,79,6,26570.000000000004,-30.0
3,4,58,6,24740.0,-30.0
3,4,61,6,8310.0,-9.999999999999998
3,4,64,6,31430.0,-30.0
3,4,22,6,21290.0,-30.0
3,4,25,6,7199.999999999998,-9.999999999999998
3,4,28,6,28220.0,-30.0
3,4,13,6,8719.999999999993,-9.999999999999998
3,4,16,6,3000.0,0.0
3,4,19,6,23360.0,-30.0
3,3,87,6,57745.00267031257,-30.0
3,3,88,6,5999.9997,0.0
3,3,89,6,57512.504740125216,-30.0
3,3,90,6,13193.332513999996,-19.999998000000005
3,3,91,6,59162.50159668744,-30.0
3,3,92,6,26059.998623,-30.0
3,3,93,6,31906.663975999996,-23.333331000000005
3,3,94,6,13167.77740666666,-10.0
3,2,83,6,38895.91507767845,-17.142854999999997
3,2,84,6,56452.8536960356,-30.0
3,2,85,6,73795.70735121414,-30.0
3,2,86,6,17387.22387927761,-16.666668833333105
3,1,1,6,97668.38301755603,-30.0
4,4,46,6,33080.0,-30.0
4,4,52,6,21110.0,-30.0
4,4,55,6,37130.0,-30.0
4,4,4,6,3000.0,0.0
4,4,7,6,3000.0,0.0
4,4,10,6,3000.0,0.0
4,4,40,6,26570.0,-30.0
4,4,43,6,16700.0,-30.0
4,4,82,6,41540.0,-30.0
4,4,31,6,18770.0,-30.0
4,4,34,6,3000.0,0.0
4,4,37,6,25850.0,-30.0
4,4,70,6,22609.999999999996,-30.0
4,4,73,6,38420.0,-30.0
4,4,79,6,26569.999999999996,-30.0
4,4,58,6,24740.0,-30.0
4,4,61,6,14930.0,-30.0
4,4,64,6,31430.0,-30.0
4,4,22,6,21290.0,-30.0
4,4,25,6,7199.9999999999945,-9.999999999999998
4,4,28,6,28220.0,-30.0
4,4,13,6,3000.0,0.0
4,4,16,6,3000.0,0.0
4,4,19,6,23360.0,-30.0
4,3,87,6,57745.00267031257,-30.0
4,3,88,6,5999.9997,0.0
4,3,89,6,57512.504740125216,-30.0
4,3,90,6,13193.332513999996,-19.999998000000005
4,3,91,6,59162.501596687434,-30.0
4,3,92,6,26059.998623,-30.0
4,3,93,6,31906.663975999996,-23.333331000000005
4,3,94,6,13256.666299999993,-9.999999999999998
4,2,83,6,38895.91507767845,-17.142854999999997
4,2,84,6,56452.8536960356,-30.0
4,2,85,6,73795.70735121414,-30.0
4,2,86,6,17431.668334833168,-16.666668833333105
4,1,1,6,97678.24968668936,-30.0
