iter,est,noUso,usina,Indep,Coef
1,1,1,6,47268.65945955177,-25.530000776999902
2,1,1,6,47607.20960927058,-23.680000147999994
3,1,1,6,47668.38301755603,-23.67999992599995
4,1,1,6,47678.24968668936,-23.67999992599995
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,83,6,35568.56745796426,-17.142856714285497
2,2,83,6,35568.567815535614,-17.142854999999997
3,2,83,6,35568.56792982131,-17.142854999999997
4,2,83,6,35568.56792982131,-17.142854999999997
5,2,83,6,0.0,0.0
6,2,83,6,0.0,0.0
7,2,83,6,0.0,0.0
8,2,83,6,0.0,0.0
9,2,83,6,0.0,0.0
10,2,83,6,0.0,0.0
1,2,84,6,38454.28158603579,-27.142852714285794
2,2,84,6,38518.56768757849,-25.714280142857397
3,2,84,6,38518.56798174988,-25.714280142857397
4,2,84,6,38518.56798174988,-25.714280142857397
5,2,84,6,0.0,0.0
6,2,84,6,0.0,0.0
7,2,84,6,0.0,0.0
8,2,84,6,0.0,0.0
9,2,84,6,0.0,0.0
10,2,84,6,0.0,0.0
1,2,85,6,44975.707351214136,-29.999995714285497
2,2,85,6,44975.70713795711,-29.999993999999997
3,2,85,6,44975.707031500024,-29.999993999999997
4,2,85,6,44975.70703150002,-29.999993999999997
5,2,85,6,0.0,0.0
6,2,85,6,0.0,0.0
7,2,85,6,0.0,0.0
8,2,85,6,0.0,0.0
9,2,85,6,0.0,0.0
10,2,85,6,0.0,0.0
1,2,86,6,25886.671288333226,-25.000003999999805
2,2,86,6,22261.670391133186,-16.666669833333298
3,2,86,6,22537.22519877747,-16.666668833333105
4,2,86,6,22581.669654333025,-16.666668833333105
5,2,86,6,0.0,0.0
6,2,86,6,0.0,0.0
7,2,86,6,0.0,0.0
8,2,86,6,0.0,0.0
9,2,86,6,0.0,0.0
10,2,86,6,0.0,0.0
1,3,87,6,32112.503713,-30.000003
2,3,87,6,27585.003713,-22.500003
3,3,87,6,29427.503713,-25.000003
4,3,87,6,32112.503713,-30.000003
5,3,87,6,0.0,0.0
6,3,87,6,0.0,0.0
7,3,87,6,0.0,0.0
8,3,87,6,0.0,0.0
9,3,87,6,0.0,0.0
10,3,87,6,0.0,0.0
1,3,88,6,2999.9997000000003,0.0
2,3,88,6,2999.9997000000003,0.0
3,3,88,6,2999.9997000000003,0.0
4,3,88,6,2999.9997000000003,0.0
5,3,88,6,0.0,0.0
6,3,88,6,0.0,0.0
7,3,88,6,0.0,0.0
8,3,88,6,0.0,0.0
9,3,88,6,0.0,0.0
10,3,88,6,0.0,0.0
1,3,89,6,31587.504154,-30.000003
2,3,89,6,24567.504154,-17.500002999999996
3,3,89,6,29637.504154,-25.000003
4,3,89,6,31587.504154,-30.000003
5,3,89,6,0.0,0.0
6,3,89,6,0.0,0.0
7,3,89,6,0.0,0.0
8,3,89,6,0.0,0.0
9,3,89,6,0.0,0.0
10,3,89,6,0.0,0.0
1,3,90,6,17003.331633,-23.333331
2,3,90,6,15873.331746,-19.999998
3,3,90,6,15873.331746,-19.999998
4,3,90,6,15873.331746,-19.999998
5,3,90,6,0.0,0.0
6,3,90,6,0.0,0.0
7,3,90,6,0.0,0.0
8,3,90,6,0.0,0.0
9,3,90,6,0.0,0.0
10,3,90,6,0.0,0.0
1,3,91,6,31505.003842000002,-30.000003
2,3,91,6,24975.003842,-20.000002999999996
3,3,91,6,28570.003842,-25.000002999999996
4,3,91,6,31505.003842,-30.000003
5,3,91,6,0.0,0.0
6,3,91,6,0.0,0.0
7,3,91,6,0.0,0.0
8,3,91,6,0.0,0.0
9,3,91,6,0.0,0.0
10,3,91,6,0.0,0.0
1,3,92,6,23699.997629999998,-29.999997
2,3,92,6,15336.665132999997,-13.333332
3,3,92,6,21493.331184,-23.333331
4,3,92,6,23699.997629999998,-29.999997
5,3,92,6,0.0,0.0
6,3,92,6,0.0,0.0
7,3,92,6,0.0,0.0
8,3,92,6,0.0,0.0
9,3,92,6,0.0,0.0
10,3,92,6,0.0,0.0
1,3,93,6,20369.997962999998,-29.999997
2,3,93,6,13883.331944999996,-13.333332
3,3,93,6,18903.331443,-23.333331
4,3,93,6,18903.331442999995,-23.333331
5,3,93,6,0.0,0.0
6,3,93,6,0.0,0.0
7,3,93,6,0.0,0.0
8,3,93,6,0.0,0.0
9,3,93,6,0.0,0.0
10,3,93,6,0.0,0.0
1,3,94,6,14173.331916,-19.999998
2,3,94,6,5706.666096,-3.333332999999999
3,3,94,6,11693.332163999996,-13.333332
4,3,94,6,9786.665688,-9.999999
5,3,94,6,0.0,0.0
6,3,94,6,0.0,0.0
7,3,94,6,0.0,0.0
8,3,94,6,0.0,0.0
9,3,94,6,0.0,0.0
10,3,94,6,0.0,0.0
