etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,1,2,83,0.259,1,ANGRA1,1,402.4,10.0,4024.0
FW,1,2,83,0.259,1,ANGRA2,2,-0.0,20.0,-0.0
FW,1,2,83,0.259,1,ANGRA2,3,-0.0,30.0,-0.0
FW,1,2,83,0.259,1,ANGRA2,4,-0.0,40.0,-0.0
FW,1,2,84,0.259,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,84,0.259,1,ANGRA2,2,143.7,20.0,2874.0
FW,1,2,84,0.259,1,ANGRA2,3,143.7,30.0,4311.0
FW,1,2,84,0.259,1,ANGRA2,4,143.7,40.0,5748.0
FW,1,2,85,0.25899999999999995,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,85,0.25899999999999995,1,ANGRA2,2,264.7,20.0,5294.0
FW,1,2,85,0.25899999999999995,1,ANGRA2,3,264.7,30.0,7941.0
FW,1,2,85,0.25899999999999995,1,ANGRA2,4,264.7,40.0,10588.0
FW,1,2,86,0.222,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,86,0.222,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,86,0.222,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,86,0.222,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,87,0.5714284999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,87,0.5714284999999999,1,ANGRA2,2,229.3,20.0,4586.0
FW,1,3,87,0.5714284999999999,1,ANGRA2,3,229.3,30.0,6879.0
FW,1,3,87,0.5714284999999999,1,ANGRA2,4,229.3,40.0,9172.0
FW,1,3,88,0.4285713,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,88,0.4285713,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,88,0.4285713,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,88,0.4285713,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,89,0.5714284999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,89,0.5714284999999999,1,ANGRA2,2,232.5,20.0,4650.0
FW,1,3,89,0.5714284999999999,1,ANGRA2,3,232.5,30.0,6975.0
FW,1,3,89,0.5714284999999999,1,ANGRA2,4,232.5,40.0,9300.0
FW,1,3,90,0.4285713,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,90,0.4285713,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,90,0.4285713,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,90,0.4285713,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,91,0.5714284999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,91,0.5714284999999999,1,ANGRA2,2,251.7,20.0,5034.0
FW,1,3,91,0.5714284999999999,1,ANGRA2,3,251.7,30.0,7551.0
FW,1,3,91,0.5714284999999999,1,ANGRA2,4,251.7,40.0,10068.0
FW,1,3,92,0.4285713,1,ANGRA1,1,412.0,10.0,4120.0
FW,1,3,92,0.4285713,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,92,0.4285713,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,92,0.4285713,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,93,0.5000001000000001,1,ANGRA1,1,434.0,10.0,4340.0
FW,1,3,93,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,93,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,93,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,94,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,94,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,94,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,94,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,46,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,46,0.25,1,ANGRA2,2,312.0,20.0,6240.0
FW,1,4,46,0.25,1,ANGRA2,3,312.0,30.0,9360.0
FW,1,4,46,0.25,1,ANGRA2,4,312.0,40.0,12480.0
FW,1,4,52,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,52,0.25,1,ANGRA2,2,179.0,20.0,3580.0
FW,1,4,52,0.25,1,ANGRA2,3,179.0,30.0,5370.0
FW,1,4,52,0.25,1,ANGRA2,4,179.0,40.0,7160.0
FW,1,4,55,0.5000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,55,0.5000001,1,ANGRA2,2,357.0,20.0,7140.0
FW,1,4,55,0.5000001,1,ANGRA2,3,357.0,30.0,10710.0
FW,1,4,55,0.5000001,1,ANGRA2,4,357.0,40.0,14280.0
FW,1,4,4,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,4,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,4,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,4,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,7,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,7,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,7,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,7,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,10,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,10,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,10,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,10,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,40,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,40,0.25,1,ANGRA2,2,239.7,20.0,4794.0
FW,1,4,40,0.25,1,ANGRA2,3,239.7,30.0,7191.0
FW,1,4,40,0.25,1,ANGRA2,4,239.7,40.0,9588.0
FW,1,4,43,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,43,0.25,1,ANGRA2,2,130.0,20.0,2600.0
FW,1,4,43,0.25,1,ANGRA2,3,130.0,30.0,3900.0
FW,1,4,43,0.25,1,ANGRA2,4,130.0,40.0,5200.0
FW,1,4,82,0.5000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,82,0.5000001,1,ANGRA2,2,406.0,20.0,8120.0
FW,1,4,82,0.5000001,1,ANGRA2,3,406.0,30.0,12180.0
FW,1,4,82,0.5000001,1,ANGRA2,4,406.0,40.0,16240.0
FW,1,4,31,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,31,0.3333333,1,ANGRA2,2,91.7,20.0,1834.0
FW,1,4,31,0.3333333,1,ANGRA2,3,91.7,30.0,2751.0
FW,1,4,31,0.3333333,1,ANGRA2,4,91.7,40.0,3668.0
FW,1,4,34,0.3333333,1,ANGRA1,1,455.0,10.0,4550.0
FW,1,4,34,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,34,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,34,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,37,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,37,0.3333333,1,ANGRA2,2,170.3,20.0,3406.0
FW,1,4,37,0.3333333,1,ANGRA2,3,170.3,30.0,5109.0
FW,1,4,37,0.3333333,1,ANGRA2,4,170.3,40.0,6812.0
FW,1,4,70,0.25,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,70,0.25,1,ANGRA2,2,195.7,20.0,3914.0
