etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,1,2,83,0.296,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,83,0.296,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,83,0.296,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,83,0.296,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,2,264.7,20.0,5294.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,3,264.7,30.0,7941.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,4,264.7,40.0,10588.0
FW,1,2,85,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,2,86,0.037,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,86,0.037,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,86,0.037,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,86,0.037,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,87,0.75,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,87,0.75,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,87,0.75,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,87,0.75,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,88,0.25,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,88,0.25,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,88,0.25,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,88,0.25,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,89,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,89,0.6666666,1,ANGRA2,2,282.5,20.0,5650.0
FW,1,3,89,0.6666666,1,ANGRA2,3,282.5,30.0,8475.0
FW,1,3,89,0.6666666,1,ANGRA2,4,282.5,40.0,11300.0
FW,1,3,90,0.3333333,1,ANGRA1,1,412.0,10.0,4120.0
FW,1,3,90,0.3333333,1,ANGRA2,2,-0.0,20.0,-0.0
FW,1,3,90,0.3333333,1,ANGRA2,3,-0.0,30.0,-0.0
FW,1,3,90,0.3333333,1,ANGRA2,4,-0.0,40.0,-0.0
FW,1,3,91,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,91,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,91,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,91,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,92,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,92,0.6666666,1,ANGRA2,2,193.2,20.0,3864.0
FW,1,3,92,0.6666666,1,ANGRA2,3,193.2,30.0,5796.0
FW,1,3,92,0.6666666,1,ANGRA2,4,193.2,40.0,7728.0
FW,1,3,3,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,3,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,3,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,3,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,93,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,2,176.3,20.0,3526.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,3,176.3,30.0,5289.0
FW,1,4,93,0.5000001000000001,1,ANGRA2,4,176.3,40.0,7052.0
FW,1,4,94,0.3333334,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,94,0.3333334,1,ANGRA2,2,7.5,20.0,150.0
FW,1,4,94,0.3333334,1,ANGRA2,3,7.5,30.0,225.0
FW,1,4,94,0.3333334,1,ANGRA2,4,7.5,40.0,300.0
FW,1,4,95,0.1666667,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,95,0.1666667,1,ANGRA2,2,86.0,20.0,1720.0
FW,1,4,95,0.1666667,1,ANGRA2,3,86.0,30.0,2580.0
FW,1,4,95,0.1666667,1,ANGRA2,4,86.0,40.0,3440.0
FW,1,4,7,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,7,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,7,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,7,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,10,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,10,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,10,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,10,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,96,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,96,0.5000001000000001,1,ANGRA2,2,376.4,20.0,7528.0
FW,1,4,96,0.5000001000000001,1,ANGRA2,3,376.4,30.0,11292.0
FW,1,4,96,0.5000001000000001,1,ANGRA2,4,376.4,40.0,15056.0
FW,1,4,97,0.3333334,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,97,0.3333334,1,ANGRA2,2,217.7,20.0,4354.0
FW,1,4,97,0.3333334,1,ANGRA2,3,217.7,30.0,6531.0
FW,1,4,97,0.3333334,1,ANGRA2,4,217.7,40.0,8708.0
FW,1,4,98,0.1666667,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,98,0.1666667,1,ANGRA2,2,307.7,20.0,6154.0
FW,1,4,98,0.1666667,1,ANGRA2,3,307.7,30.0,9231.0
FW,1,4,98,0.1666667,1,ANGRA2,4,307.7,40.0,12308.0
FW,1,4,58,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,58,0.3333333,1,ANGRA2,2,219.3,20.0,4386.0
FW,1,4,58,0.3333333,1,ANGRA2,3,219.3,30.0,6579.0
FW,1,4,58,0.3333333,1,ANGRA2,4,219.3,40.0,8772.0
FW,1,4,61,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,61,0.3333333,1,ANGRA2,2,110.3,20.0,2206.0
FW,1,4,61,0.3333333,1,ANGRA2,3,110.3,30.0,3309.0
FW,1,4,61,0.3333333,1,ANGRA2,4,110.3,40.0,4412.0
FW,1,4,64,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,64,0.3333333,1,ANGRA2,2,293.7,20.0,5874.0
FW,1,4,64,0.3333333,1,ANGRA2,3,293.7,30.0,8811.0
FW,1,4,64,0.3333333,1,ANGRA2,4,293.7,40.0,11748.0
FW,1,4,31,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,31,0.3333333,1,ANGRA2,2,91.7,20.0,1834.0
FW,1,4,31,0.3333333,1,ANGRA2,3,91.7,30.0,2751.0
FW,1,4,31,0.3333333,1,ANGRA2,4,91.7,40.0,3668.0
FW,1,4,34,0.3333333,1,ANGRA1,1,455.0,10.0,4550.0
FW,1,4,34,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,34,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,34,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,37,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,37,0.3333333,1,ANGRA2,2,170.3,20.0,3406.0
FW,1,4,37,0.3333333,1,ANGRA2,3,170.3,30.0,5109.0
