NO,PROBABILIDADE
1,1.0
31,0.3333333
34,0.3333333
37,0.3333333
40,0.3333333
43,0.3333333
46,0.3333333
49,0.3333333
52,0.3333333
55,0.3333333
58,0.3333333
61,0.3333333
64,0.3333333
67,0.3333333
70,0.3333333
73,0.3333333
76,0.3333333
79,0.3333333
82,0.3333333
83,0.222
84,0.222
85,0.222
86,0.33299999999999996
87,0.5000001000000001
88,0.5000001000000001
89,0.5000001000000001
90,0.5000001000000001
91,0.5000001000000001
92,0.5000001000000001
93,0.5555555
94,0.4444444
95,0.4
96,0.2
97,0.4
98,0.25
99,0.5
100,0.25
