iter,est,noUso,usina,Indep,Coef
1,1,1,6,48971.718368152004,-25.52999922300002
2,1,1,6,49310.26808625643,-23.679999592999998
3,1,1,6,49371.4413703995,-23.679999371000022
4,1,1,6,49381.30803657283,-23.679999371000022
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,26,6,19257.775381555606,-16.6666643333334
2,2,26,6,16841.10884175561,-11.1111098888889
3,2,26,6,17024.81199174085,-11.111109222222302
4,2,26,6,17054.441619889,-11.1111092222223
5,2,26,6,0.0,0.0
6,2,26,6,0.0,0.0
7,2,26,6,0.0,0.0
8,2,26,6,0.0,0.0
9,2,26,6,0.0,0.0
10,2,26,6,0.0,0.0
1,2,53,6,38351.1071858889,-27.777774222222305
2,2,53,6,38401.10688915559,-26.666663333333403
3,2,53,6,38401.10671755561,-26.666663333333403
4,2,53,6,38401.10671755561,-26.666663333333403
5,2,53,6,0.0,0.0
6,2,53,6,0.0,0.0
7,2,53,6,0.0,0.0
8,2,53,6,0.0,0.0
9,2,53,6,0.0,0.0
10,2,53,6,0.0,0.0
1,2,68,6,31419.999999999993,-30.0
2,2,68,6,25747.5,-17.5
3,2,68,6,30204.999999999996,-24.999999999999993
4,2,68,6,31419.99999999999,-30.0
5,2,68,6,0.0,0.0
6,2,68,6,0.0,0.0
7,2,68,6,0.0,0.0
8,2,68,6,0.0,0.0
9,2,68,6,0.0,0.0
10,2,68,6,0.0,0.0
1,2,71,6,63310.00000000001,-30.0
2,2,71,6,63310.000000000015,-30.0
3,2,71,6,63310.000000000015,-30.0
4,2,71,6,63310.000000000015,-30.0
5,2,71,6,0.0,0.0
6,2,71,6,0.0,0.0
7,2,71,6,0.0,0.0
8,2,71,6,0.0,0.0
9,2,71,6,0.0,0.0
10,2,71,6,0.0,0.0
1,2,77,6,62530.0,-30.0
2,2,77,6,62530.00000000001,-30.0
3,2,77,6,62530.00000000001,-30.0
4,2,77,6,62530.00000000001,-30.0
5,2,77,6,0.0,0.0
6,2,77,6,0.0,0.0
7,2,77,6,0.0,0.0
8,2,77,6,0.0,0.0
9,2,77,6,0.0,0.0
10,2,77,6,0.0,0.0
1,2,80,6,77500.0,-30.0
2,2,80,6,77500.0,-30.0
3,2,80,6,77500.0,-30.0
4,2,80,6,77500.0,-30.0
5,2,80,6,0.0,0.0
6,2,80,6,0.0,0.0
7,2,80,6,0.0,0.0
8,2,80,6,0.0,0.0
9,2,80,6,0.0,0.0
10,2,80,6,0.0,0.0
1,3,9,6,2999.9997000000003,0.0
2,3,9,6,2999.9997000000003,0.0
3,3,9,6,2999.9997000000003,0.0
4,3,9,6,2999.9997000000003,0.0
5,3,9,6,0.0,0.0
6,3,9,6,0.0,0.0
7,3,9,6,0.0,0.0
8,3,9,6,0.0,0.0
9,3,9,6,0.0,0.0
10,3,9,6,0.0,0.0
1,3,18,6,14173.331916,-19.999998
