etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
BK,1,4,4,0.3333333,1,6,6,1700.0,1090.0,1378.0,1700.0,0.0,768.0
BK,1,4,7,0.3333333,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
BK,1,4,10,0.3333333,1,6,6,1700.0,1090.0,1129.0,1700.0,0.0,519.0
BK,1,4,13,0.3333333,1,6,6,1490.0,362.0,1128.0,1490.0,0.0,0.0
BK,1,4,16,0.3333333,1,6,6,1700.0,362.0,1447.0,1700.0,0.0,109.0
BK,1,4,19,0.3333333,1,6,6,1250.0,362.0,888.0,1250.0,0.0,0.0
BK,1,4,22,0.3333333,1,6,6,957.0,0.0,957.0,957.0,0.0,0.0
BK,1,4,25,0.3333333,1,6,6,1280.0,0.0,1280.0,1280.0,0.0,0.0
BK,1,4,28,0.3333333,1,6,6,726.0,0.0,726.0,726.0,0.0,0.0
BK,1,4,31,0.3333333,1,6,6,1225.0,184.0,1041.0,1225.0,0.0,0.0
BK,1,4,34,0.3333333,1,6,6,1545.0,184.0,1361.0,1545.0,0.0,0.0
BK,1,4,37,0.3333333,1,6,6,989.0,184.0,805.0,989.0,0.0,0.0
BK,1,4,40,0.3333333,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,43,0.3333333,1,6,6,1110.0,0.0,1110.0,1110.0,0.0,0.0
BK,1,4,46,0.3333333,1,6,6,564.0,0.0,564.0,564.0,0.0,0.0
BK,1,4,52,0.3333333,1,6,6,963.0,0.0,963.0,963.0,0.0,0.0
BK,1,4,55,0.6666667,1,6,6,429.0,0.0,429.0,429.0,0.0,0.0
BK,1,4,58,0.5,1,6,6,842.0,0.0,842.0,842.0,0.0,0.0
BK,1,4,61,0.5,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
BK,1,4,64,1.0,1,6,6,619.0,0.0,619.0,619.0,0.0,0.0
BK,1,4,70,1.0,1,6,6,913.0,0.0,913.0,913.0,0.0,0.0
BK,1,4,73,1.0,1,6,6,386.0,0.0,386.0,386.0,0.0,0.0
BK,1,4,79,1.0,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,82,1.0,1,6,6,282.0,0.0,282.0,282.0,0.0,0.0
BK,1,3,9,0.3333333,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
BK,1,3,18,0.3333333,1,6,6,1500.0,409.0,1653.0,1500.0,1.1368683772161603e-13,561.9999999999999
BK,1,3,27,0.3333333,1,6,6,887.0000000000001,409.0,1157.0,887.0000000000001,0.0,678.9999999999999
BK,1,3,36,0.3333333,1,6,6,1500.0,0.0,1884.0,1500.0,0.0,384.0
BK,1,3,45,0.3333333,1,6,6,288.66666666666663,0.0,1137.0,288.66666666666663,0.0,848.3333333333335
BK,1,3,54,0.3333333,1,6,6,0.0,0.0,704.0,0.0,0.0,704.0
BK,1,3,60,0.5,1,6,6,926.8333333333335,0.0,1588.0,926.8333333333335,0.0,661.1666666666665
BK,1,3,63,0.25,1,6,6,540.3333333333335,0.0,1588.0,540.3333333333335,0.0,1047.6666666666665
