etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
BK,1,4,4,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,10.0
BK,1,4,10,0.5,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,10.0
BK,1,4,13,0.5,1,2000.0,872.0,1128.0,0.0,0.0,1128.0,0.0,0.0,16160.0,30.0
BK,1,4,28,0.5,1,2000.0,1274.0,726.0,0.0,0.0,726.0,0.0,0.0,28220.0,30.0
BK,1,4,7,0.5,1,2000.0,309.0,1691.0,0.0,0.0,1691.0,0.0,0.0,3090.0,10.0
BK,1,4,19,0.5,1,2000.0,1112.0,888.0,0.0,0.0,888.0,0.0,0.0,23360.0,30.0
BK,1,4,25,0.3333333,1,2000.0,720.0,1280.0,0.0,0.0,1280.0,0.0,0.0,11599.999999999998,30.0
BK,1,4,55,0.6666667,1,2000.0,1571.0,429.0,0.0,0.0,429.0,0.0,0.0,37130.0,30.0
BK,1,4,16,0.5,1,2000.0,369.0,1631.0,0.0,0.0,1447.0,184.0,0.0,3690.0,10.0
BK,1,4,37,0.5,1,2000.0,1011.0,989.0,0.0,0.0,805.0,184.0,0.0,20330.0,30.0
BK,1,4,40,0.5,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
BK,1,4,70,0.5,1,2000.0,1087.0000000000002,913.0,0.0,0.0,913.0,0.0,0.0,22610.000000000004,30.0
BK,1,4,22,0.5,1,2000.0,1043.0,957.0,0.0,0.0,957.0,0.0,0.0,21290.0,30.0
BK,1,4,46,0.5,1,2000.0,1436.0,564.0,0.0,0.0,564.0,0.0,0.0,33080.0,30.0
BK,1,4,43,0.3333333,1,2000.0,890.0,1110.0,0.0,0.0,1110.0,0.0,0.0,16700.0,30.0
BK,1,4,73,0.6666667,1,2000.0,1614.0,386.0,0.0,0.0,386.0,0.0,0.0,38420.00000000001,30.0
BK,1,4,31,0.5,1,2000.0,959.0,1041.0,0.0,0.0,1041.0,0.0,0.0,18770.0,30.0
BK,1,4,61,0.5,1,2000.0,831.0,1169.0,0.0,0.0,1169.0,0.0,0.0,14929.999999999998,30.0
BK,1,4,52,0.5,1,2000.0,1037.0,963.0,0.0,0.0,963.0,0.0,0.0,21110.0,30.0
BK,1,4,79,0.5,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
BK,1,4,34,0.5,1,2000.0,639.0,1361.0,0.0,0.0,1361.0,0.0,0.0,9169.999999999998,30.0
