etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,4,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,4,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,4,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,4,2,26,0.148,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,26,0.148,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,26,0.148,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,26,0.148,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,53,0.185,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,53,0.185,1,ANGRA2,2,95.3,20.0,1906.0
FW,4,2,53,0.185,1,ANGRA2,3,95.3,30.0,2859.0
FW,4,2,53,0.185,1,ANGRA2,4,95.3,40.0,3812.0
FW,4,2,68,0.148,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,68,0.148,1,ANGRA2,2,264.7,20.0,5294.0
FW,4,2,68,0.148,1,ANGRA2,3,264.7,30.0,7941.0
FW,4,2,68,0.148,1,ANGRA2,4,264.7,40.0,10588.0
FW,4,2,71,0.185,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,71,0.185,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,71,0.185,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,71,0.185,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,77,0.148,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,77,0.148,1,ANGRA2,2,345.7,20.0,6914.0
FW,4,2,77,0.148,1,ANGRA2,3,345.7,30.0,10371.0
FW,4,2,77,0.148,1,ANGRA2,4,345.7,40.0,13828.0
FW,4,2,80,0.185,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,80,0.185,1,ANGRA2,2,281.7,20.0,5634.0
FW,4,2,80,0.185,1,ANGRA2,3,281.7,30.0,8451.0
FW,4,2,80,0.185,1,ANGRA2,4,281.7,40.0,11268.0
FW,4,3,9,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,9,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,9,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,9,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,27,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,27,0.5,1,ANGRA2,2,35.3,20.0,706.0
FW,4,3,27,0.5,1,ANGRA2,3,35.3,30.0,1059.0
FW,4,3,27,0.5,1,ANGRA2,4,35.3,40.0,1412.0
FW,4,3,18,0.4,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,18,0.4,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,18,0.4,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,18,0.4,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,54,0.6,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,54,0.6,1,ANGRA2,2,338.7,20.0,6774.0
FW,4,3,54,0.6,1,ANGRA2,3,338.7,30.0,10161.0
FW,4,3,54,0.6,1,ANGRA2,4,338.7,40.0,13548.0
FW,4,3,36,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,36,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,36,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,36,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,69,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,69,0.5,1,ANGRA2,2,416.7,20.0,8334.0
FW,4,3,69,0.5,1,ANGRA2,3,416.7,30.0,12501.0
FW,4,3,69,0.5,1,ANGRA2,4,416.7,40.0,16668.0
FW,4,3,45,0.4,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,45,0.4,1,ANGRA2,2,66.7,20.0,1334.0
FW,4,3,45,0.4,1,ANGRA2,3,66.7,30.0,2001.0
FW,4,3,45,0.4,1,ANGRA2,4,66.7,40.0,2668.0
FW,4,3,72,0.6,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,72,0.6,1,ANGRA2,2,115.7,20.0,2314.0
FW,4,3,72,0.6,1,ANGRA2,3,115.7,30.0,3471.0
FW,4,3,72,0.6,1,ANGRA2,4,115.7,40.0,4628.0
FW,4,3,60,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,60,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,60,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,60,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,78,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,78,0.5,1,ANGRA2,2,442.0,20.0,8840.0
FW,4,3,78,0.5,1,ANGRA2,3,442.0,30.0,13260.0
FW,4,3,78,0.5,1,ANGRA2,4,442.0,40.0,17680.0
FW,4,3,63,0.4,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,63,0.4,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,3,63,0.4,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,3,63,0.4,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,3,81,0.6,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,81,0.6,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,3,81,0.6,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,3,81,0.6,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,4,4,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,4,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,4,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,4,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,10,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,10,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,10,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,10,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,13,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,13,0.5,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,13,0.5,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,13,0.5,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,28,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,28,0.5,1,ANGRA2,2,134.0,20.0,2680.0
FW,4,4,28,0.5,1,ANGRA2,3,134.0,30.0,4020.0
FW,4,4,28,0.5,1,ANGRA2,4,134.0,40.0,5360.0
FW,4,4,7,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,7,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,7,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,7,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,19,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,19,0.5,1,ANGRA2,2,153.0,20.0,3060.0
FW,4,4,19,0.5,1,ANGRA2,3,153.0,30.0,4590.0
FW,4,4,19,0.5,1,ANGRA2,4,153.0,40.0,6120.0
FW,4,4,25,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,25,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,25,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,25,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,55,0.6666667,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,55,0.6666667,1,ANGRA2,2,283.7,20.0,5674.0
FW,4,4,55,0.6666667,1,ANGRA2,3,283.7,30.0,8511.0
FW,4,4,55,0.6666667,1,ANGRA2,4,283.7,40.0,11348.0
FW,4,4,16,0.5,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,4,16,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,16,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,16,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,37,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,37,0.5,1,ANGRA2,2,103.7,20.0,2074.0
FW,4,4,37,0.5,1,ANGRA2,3,103.7,30.0,3111.0
FW,4,4,37,0.5,1,ANGRA2,4,103.7,40.0,4148.0
FW,4,4,40,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,40,0.5,1,ANGRA2,2,44.0,20.0,880.0
FW,4,4,40,0.5,1,ANGRA2,3,44.0,30.0,1320.0
FW,4,4,40,0.5,1,ANGRA2,4,44.0,40.0,1760.0
FW,4,4,70,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,70,0.5,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,70,0.5,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,70,0.5,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,22,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,22,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,22,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,22,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,46,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,46,0.5,1,ANGRA2,2,131.0,20.0,2620.0
FW,4,4,46,0.5,1,ANGRA2,3,131.0,30.0,3930.0
FW,4,4,46,0.5,1,ANGRA2,4,131.0,40.0,5240.0
FW,4,4,43,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,43,0.3333333,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,43,0.3333333,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,43,0.3333333,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,73,0.6666667,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,73,0.6666667,1,ANGRA2,2,241.3,20.0,4826.0
FW,4,4,73,0.6666667,1,ANGRA2,3,241.3,30.0,7239.0
FW,4,4,73,0.6666667,1,ANGRA2,4,241.3,40.0,9652.0
FW,4,4,31,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,31,0.5,1,ANGRA2,2,42.7,20.0,854.0
FW,4,4,31,0.5,1,ANGRA2,3,42.7,30.0,1281.0
FW,4,4,31,0.5,1,ANGRA2,4,42.7,40.0,1708.0
FW,4,4,61,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,61,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,61,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,61,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,52,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,52,0.5,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,4,52,0.5,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,4,52,0.5,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,4,79,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,79,0.5,1,ANGRA2,2,60.7,20.0,1214.0
FW,4,4,79,0.5,1,ANGRA2,3,60.7,30.0,1821.0
FW,4,4,79,0.5,1,ANGRA2,4,60.7,40.0,2428.0
FW,4,4,34,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,34,0.5,1,ANGRA2,2,0.0,20.0,0.0
FW,4,4,34,0.5,1,ANGRA2,3,0.0,30.0,0.0
FW,4,4,34,0.5,1,ANGRA2,4,0.0,40.0,0.0
FW,4,4,64,0.5,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,64,0.5,1,ANGRA2,2,247.3,20.0,4946.0
FW,4,4,64,0.5,1,ANGRA2,3,247.3,30.0,7419.0
FW,4,4,64,0.5,1,ANGRA2,4,247.3,40.0,9892.0
FW,4,4,58,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,58,0.3333333,1,ANGRA2,2,46.3,20.0,926.0
FW,4,4,58,0.3333333,1,ANGRA2,3,46.3,30.0,1389.0
FW,4,4,58,0.3333333,1,ANGRA2,4,46.3,40.0,1852.0
FW,4,4,82,0.6666667,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,4,82,0.6666667,1,ANGRA2,2,233.0,20.0,4660.0
FW,4,4,82,0.6666667,1,ANGRA2,3,233.0,30.0,6990.0
FW,4,4,82,0.6666667,1,ANGRA2,4,233.0,40.0,9320.0
