etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,83,0.33299999999999996,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,84,0.222,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,85,0.33299999999999996,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,86,0.037,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,87,0.037,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,88,0.037,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,3,89,0.3333333,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,90,0.6666666,1,6,6,652.5000000000001,0.0,652.5000000000001,652.5000000000001,0.0,0.0
FW,1,3,91,0.5000001000000001,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
FW,1,3,92,0.5000001000000001,1,6,6,1566.0,409.0,1157.0,1566.0,0.0,0.0
FW,1,3,93,0.3333333,1,6,6,1700.0,0.0,1884.0000000000005,1700.0,0.0,184.00000000000045
FW,1,3,94,0.6666666,1,6,6,920.5000000000002,0.0,920.5000000000002,920.5000000000002,0.0,0.0
FW,1,3,3,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,3,6,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,3,9,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,4,95,0.6666666,1,6,6,730.5,0.0,730.5,730.5,0.0,0.0
FW,1,4,96,0.3333333,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
FW,1,4,97,0.6666668,1,6,6,422.25,0.0,422.25,422.25,0.0,0.0
FW,1,4,98,0.3333334,1,6,6,847.0,0.0,847.0,847.0,0.0,0.0
FW,1,4,99,0.6666666,1,6,6,1370.0,362.0,1008.0,1370.0,0.0,0.0
