NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
88,3,1,3,1.0
3,4,1,4,1.0
90,7,2,4,0.5
90,10,3,4,0.5
83,39,13,3,1.0
39,40,13,4,1.0
84,75,25,3,1.0
75,76,25,4,1.0
1,83,1,2,0.037
1,84,2,2,0.037
1,85,3,2,0.296
1,86,4,2,0.296
1,87,5,2,0.296
1,88,6,2,0.037
85,89,1,3,0.75
85,90,2,3,0.25
86,91,1,3,0.625
86,92,2,3,0.375
87,93,1,3,0.375
87,94,2,3,0.625
89,95,1,4,0.5000001000000001
89,96,2,4,0.5000001000000001
91,97,1,4,0.6000000000000001
91,98,2,4,0.4
92,99,1,4,0.6666666
92,100,2,4,0.3333333
93,101,1,4,0.6666666
93,102,2,4,0.3333333
94,103,1,4,0.4
94,104,2,4,0.6000000000000001
