etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
BK,1,4,40,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,40,1.0,1,ANGRA2,2,239.7,20.0,4794.0
BK,1,4,40,1.0,1,ANGRA2,3,239.7,30.0,7191.0
BK,1,4,40,1.0,1,ANGRA2,4,239.7,40.0,9588.0
BK,1,4,76,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,76,1.0,1,ANGRA2,2,352.0,20.0,7040.0
BK,1,4,76,1.0,1,ANGRA2,3,352.0,30.0,10560.0
BK,1,4,76,1.0,1,ANGRA2,4,352.0,40.0,14080.0
BK,1,4,95,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,95,0.5000001000000001,1,ANGRA2,2,176.3,20.0,3526.0
BK,1,4,95,0.5000001000000001,1,ANGRA2,3,176.3,30.0,5289.0
BK,1,4,95,0.5000001000000001,1,ANGRA2,4,176.3,40.0,7052.0
BK,1,4,96,0.5000001000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,96,0.5000001000000001,1,ANGRA2,2,33.7,20.0,674.0
BK,1,4,96,0.5000001000000001,1,ANGRA2,3,33.7,30.0,1011.0000000000001
BK,1,4,96,0.5000001000000001,1,ANGRA2,4,33.7,40.0,1348.0
BK,1,4,7,0.5,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,7,0.5,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,7,0.5,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,7,0.5,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,10,0.5,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,10,0.5,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,10,0.5,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,10,0.5,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,97,0.6000000000000001,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,97,0.6000000000000001,1,ANGRA2,2,319.8,20.0,6396.0
BK,1,4,97,0.6000000000000001,1,ANGRA2,3,319.8,30.0,9594.0
BK,1,4,97,0.6000000000000001,1,ANGRA2,4,319.8,40.0,12792.0
BK,1,4,98,0.4,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,98,0.4,1,ANGRA2,2,154.5,20.0,3090.0
BK,1,4,98,0.4,1,ANGRA2,3,154.5,30.0,4635.0
BK,1,4,98,0.4,1,ANGRA2,4,154.5,40.0,6180.0
BK,1,4,99,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,99,0.6666666,1,ANGRA2,2,131.0,20.0,2620.0
BK,1,4,99,0.6666666,1,ANGRA2,3,131.0,30.0,3930.0
BK,1,4,99,0.6666666,1,ANGRA2,4,131.0,40.0,5240.0
BK,1,4,100,0.3333333,1,ANGRA1,1,455.0,10.0,4550.0
BK,1,4,100,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,100,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,100,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,101,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,101,0.6666666,1,ANGRA2,2,256.5,20.0,5130.0
BK,1,4,101,0.6666666,1,ANGRA2,3,256.5,30.0,7695.0
BK,1,4,101,0.6666666,1,ANGRA2,4,256.5,40.0,10260.0
BK,1,4,102,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,102,0.3333333,1,ANGRA2,2,110.3,20.0,2206.0
BK,1,4,102,0.3333333,1,ANGRA2,3,110.3,30.0,3309.0
BK,1,4,102,0.3333333,1,ANGRA2,4,110.3,40.0,4412.0
BK,1,4,103,0.4,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,103,0.4,1,ANGRA2,2,217.7,20.0,4354.0
BK,1,4,103,0.4,1,ANGRA2,3,217.7,30.0,6531.0
