NOME_UHE,NO,VAZAO
6,1,0.0
6,4,1378.0
6,7,1691.0
6,31,1041.0
6,34,1361.0
6,37,805.0
6,40,781.0
6,43,1110.0
6,46,564.0
6,49,629.0
6,52,963.0
6,55,429.0
6,58,842.0
6,61,1169.0
6,64,619.0
6,67,577.0
6,70,913.0
6,73,386.0
6,76,444.0
6,79,781.0
6,82,282.0
6,83,1214.0
6,84,706.0
6,85,1214.0
6,86,833.0
6,87,1407.5
6,88,2109.0
6,89,704.0
6,90,920.5
6,91,468.0
6,92,652.5
6,93,1884.0
6,94,1510.5
6,95,1588.0
6,96,1362.5
6,97,837.0
6,98,2381.0
6,99,1281.0
6,100,1895.6666666666665
6,101,922.5
6,102,1003.0
6,103,1447.0
6,104,1128.5
