iter,est,noUso,usina,Indep,Coef
1,1,1,6,47216.809126763015,-26.639998667999997
2,1,1,6,47233.45912676301,-26.639998667999997
3,1,1,6,47233.45912676301,-26.639998667999997
4,1,1,6,47233.45912676301,-26.639998667999997
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,83,6,56245.0,-30.0
2,2,83,6,56245.0,-30.0
3,2,83,6,56245.0,-30.0
4,2,83,6,56245.0,-30.0
5,2,83,6,0.0,0.0
6,2,83,6,0.0,0.0
7,2,83,6,0.0,0.0
8,2,83,6,0.0,0.0
9,2,83,6,0.0,0.0
10,2,83,6,0.0,0.0
1,2,84,6,68995.0,-30.0
2,2,84,6,68995.0,-30.0
3,2,84,6,68995.0,-30.0
4,2,84,6,68995.0,-30.0
5,2,84,6,0.0,0.0
6,2,84,6,0.0,0.0
7,2,84,6,0.0,0.0
8,2,84,6,0.0,0.0
9,2,84,6,0.0,0.0
10,2,84,6,0.0,0.0
1,2,85,6,20397.5,-25.0
2,2,85,6,20510.0,-22.5
3,2,85,6,20510.0,-22.5
4,2,85,6,20510.0,-22.5
5,2,85,6,0.0,0.0
6,2,85,6,0.0,0.0
7,2,85,6,0.0,0.0
8,2,85,6,0.0,0.0
9,2,85,6,0.0,0.0
10,2,85,6,0.0,0.0
1,2,86,6,27692.499999999996,-30.0
2,2,86,6,18622.999999999993,-12.5
3,2,86,6,25370.000000000007,-22.5
4,2,86,6,26477.5,-25.0
5,2,86,6,0.0,0.0
6,2,86,6,0.0,0.0
7,2,86,6,0.0,0.0
8,2,86,6,0.0,0.0
9,2,86,6,0.0,0.0
10,2,86,6,0.0,0.0
1,2,87,6,29270.0,-15.0
2,2,87,6,29270.0,-15.0
3,2,87,6,29270.0,-15.0
4,2,87,6,29270.0,-15.0
5,2,87,6,0.0,0.0
6,2,87,6,0.0,0.0
7,2,87,6,0.0,0.0
8,2,87,6,0.0,0.0
9,2,87,6,0.0,0.0
10,2,87,6,0.0,0.0
1,2,88,6,21249.993496428608,-17.142851999999998
2,2,88,6,21249.993496428608,-17.142851999999998
3,2,88,6,21249.993496428608,-17.142851999999998
4,2,88,6,21249.993496428608,-17.142851999999998
5,2,88,6,0.0,0.0
6,2,88,6,0.0,0.0
7,2,88,6,0.0,0.0
8,2,88,6,0.0,0.0
9,2,88,6,0.0,0.0
10,2,88,6,0.0,0.0
1,3,89,6,29120.0,-30.0
2,3,89,6,20065.000000000004,-15.0
3,3,89,6,23750.0,-20.0
4,3,89,6,29120.0,-30.0
5,3,89,6,0.0,0.0
6,3,89,6,0.0,0.0
7,3,89,6,0.0,0.0
8,3,89,6,0.0,0.0
9,3,89,6,0.0,0.0
10,3,89,6,0.0,0.0
1,3,90,6,32105.000000000004,-30.0
2,3,90,6,14034.999999999996,-9.999999999999998
3,3,90,6,23394.999999999996,-20.0
4,3,90,6,32105.0,-30.0
5,3,90,6,0.0,0.0
6,3,90,6,0.0,0.0
7,3,90,6,0.0,0.0
8,3,90,6,0.0,0.0
9,3,90,6,0.0,0.0
10,3,90,6,0.0,0.0
1,3,91,6,34055.0,-30.0
2,3,91,6,22270.0,-15.0
3,3,91,6,26865.0,-20.0
4,3,91,6,34055.0,-30.0
5,3,91,6,0.0,0.0
6,3,91,6,0.0,0.0
7,3,91,6,0.0,0.0
8,3,91,6,0.0,0.0
9,3,91,6,0.0,0.0
10,3,91,6,0.0,0.0
1,3,92,6,37550.0,-30.0
2,3,92,6,15849.999999999996,-9.999999999999998
3,3,92,6,26989.999999999996,-20.0
4,3,92,6,37550.0,-30.0
5,3,92,6,0.0,0.0
6,3,92,6,0.0,0.0
7,3,92,6,0.0,0.0
8,3,92,6,0.0,0.0
9,3,92,6,0.0,0.0
10,3,92,6,0.0,0.0
1,3,93,6,16120.0,-20.0
2,3,93,6,14425.0,-15.0
3,3,93,6,14425.0,-15.0
4,3,93,6,14425.0,-15.0
5,3,93,6,0.0,0.0
6,3,93,6,0.0,0.0
7,3,93,6,0.0,0.0
8,3,93,6,0.0,0.0
9,3,93,6,0.0,0.0
10,3,93,6,0.0,0.0
1,3,94,6,22670.0,-30.0
2,3,94,6,7595.0,-4.999999999999999
3,3,94,6,18080.0,-20.0
4,3,94,6,22670.0,-30.0
5,3,94,6,0.0,0.0
6,3,94,6,0.0,0.0
7,3,94,6,0.0,0.0
8,3,94,6,0.0,0.0
9,3,94,6,0.0,0.0
10,3,94,6,0.0,0.0
1,3,95,6,23179.999999999996,-30.0
2,3,95,6,17215.0,-15.0
3,3,95,6,17215.0,-15.0
4,3,95,6,19870.0,-20.0
5,3,95,6,0.0,0.0
6,3,95,6,0.0,0.0
7,3,95,6,0.0,0.0
8,3,95,6,0.0,0.0
9,3,95,6,0.0,0.0
10,3,95,6,0.0,0.0
1,3,96,6,20720.0,-30.0
2,3,96,6,7289.999999999996,-4.999999999999999
3,3,96,6,16820.0,-20.0
4,3,96,6,20720.0,-30.0
5,3,96,6,0.0,0.0
6,3,96,6,0.0,0.0
7,3,96,6,0.0,0.0
8,3,96,6,0.0,0.0
9,3,96,6,0.0,0.0
10,3,96,6,0.0,0.0
1,3,97,6,27650.0,-30.0
2,3,97,6,17845.0,-15.0
3,3,97,6,21780.0,-20.0
4,3,97,6,27650.0,-30.0
5,3,97,6,0.0,0.0
6,3,97,6,0.0,0.0
7,3,97,6,0.0,0.0
8,3,97,6,0.0,0.0
9,3,97,6,0.0,0.0
10,3,97,6,0.0,0.0
1,3,98,6,3000.0,0.0
2,3,98,6,3000.0,0.0
3,3,98,6,3000.0,0.0
4,3,98,6,3000.0,0.0
5,3,98,6,0.0,0.0
6,3,98,6,0.0,0.0
7,3,98,6,0.0,0.0
8,3,98,6,0.0,0.0
9,3,98,6,0.0,0.0
10,3,98,6,0.0,0.0
1,3,99,6,21117.5,-30.0
2,3,99,6,6887.5,-4.999999999999999
3,3,99,6,16147.499999999996,-20.0
4,3,99,6,21117.5,-30.0
5,3,99,6,0.0,0.0
6,3,99,6,0.0,0.0
7,3,99,6,0.0,0.0
8,3,99,6,0.0,0.0
9,3,99,6,0.0,0.0
10,3,99,6,0.0,0.0
1,3,100,6,2999.9997000000003,0.0
2,3,100,6,2999.9997000000003,0.0
3,3,100,6,2999.9997000000003,0.0
4,3,100,6,2999.9997000000003,0.0
5,3,100,6,0.0,0.0
6,3,100,6,0.0,0.0
7,3,100,6,0.0,0.0
8,3,100,6,0.0,0.0
9,3,100,6,0.0,0.0
10,3,100,6,0.0,0.0
