etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,83,0.148,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,84,0.148,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,85,0.148,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,86,0.148,1,6,6,833.0,0.0,833.0,833.0,0.0,0.0
FW,1,2,87,0.148,1,6,6,1407.5,0.0,1407.5,1407.5,0.0,0.0
FW,1,2,88,0.259,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,3,89,0.5,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
FW,1,3,90,0.5,1,6,6,920.5,0.0,920.5,920.5,0.0,0.0
FW,1,3,91,0.5,1,6,6,468.0,0.0,468.0,468.0,0.0,0.0
FW,1,3,92,0.5,1,6,6,652.5,0.0,652.5,652.5,0.0,0.0
FW,1,3,93,0.5,1,6,6,1700.0,0.0,1884.0,1700.0,0.0,184.0
FW,1,3,94,0.5,1,6,6,1510.5,0.0,1510.5,1510.5,0.0,0.0
FW,1,3,95,0.5,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,96,0.5,1,6,6,1362.5,0.0,1362.5,1362.5,0.0,0.0
FW,1,3,97,0.5,1,6,6,837.0,0.0,837.0,837.0,0.0,0.0
FW,1,3,98,0.5,1,6,6,1700.0,0.0,2381.0,1700.0,0.0,681.0
FW,1,3,99,0.5714284,1,6,6,1690.0000000000002,409.0,1281.0,1690.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,100,0.4285713,1,6,6,1700.0,409.0,1895.6666666666665,1700.0,0.0,604.6666666666665
FW,1,4,52,0.5,1,6,6,963.0,0.0,963.0,963.0,0.0,0.0
FW,1,4,55,0.5,1,6,6,429.0,0.0,429.0,429.0,0.0,0.0
FW,1,4,46,0.5,1,6,6,564.0,0.0,564.0,564.0,0.0,0.0
FW,1,4,49,0.5,1,6,6,629.0,0.0,629.0,629.0,0.0,0.0
FW,1,4,79,0.5,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,1,4,82,0.5,1,6,6,282.0,0.0,282.0,282.0,0.0,0.0
FW,1,4,73,0.5,1,6,6,386.0,0.0,386.0,386.0,0.0,0.0
FW,1,4,76,0.5,1,6,6,444.0,0.0,444.0,444.0,0.0,0.0
FW,1,4,34,0.5,1,6,6,1545.0,184.0,1361.0,1545.0,0.0,0.0
FW,1,4,37,0.5,1,6,6,989.0,184.0,805.0,989.0,0.0,0.0
FW,1,4,31,0.5,1,6,6,1041.0,0.0,1041.0,1041.0,0.0,0.0
FW,1,4,40,0.5,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,1,4,61,0.5,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
FW,1,4,64,0.5,1,6,6,619.0,0.0,619.0,619.0,0.0,0.0
FW,1,4,43,0.5,1,6,6,1110.0,0.0,1110.0,1110.0,0.0,0.0
FW,1,4,58,0.5,1,6,6,842.0,0.0,842.0,842.0,0.0,0.0
FW,1,4,67,0.5,1,6,6,577.0,0.0,577.0,577.0,0.0,0.0
FW,1,4,70,0.5,1,6,6,913.0,0.0,913.0,913.0,0.0,0.0
FW,1,4,4,0.5,1,6,6,1700.0,681.0,1378.0,1700.0,0.0,359.0
FW,1,4,7,0.5,1,6,6,1700.0,681.0,1691.0,1700.0,0.0,672.0
FW,1,4,101,0.5,1,6,6,922.5,0.0,922.5,922.5,0.0,0.0
FW,1,4,102,0.5,1,6,6,1003.0,0.0,1003.0,1003.0,0.0,0.0
FW,1,4,103,0.3333333,1,6,6,1700.0,604.6666666666665,1447.0,1700.0,0.0,351.6666666666665
FW,1,4,104,0.6666666,1,6,6,1700.0,604.6666666666665,1128.5,1700.0,0.0,33.166666666666515
