etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,1,2,2,0.333,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,2,15,0.333,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,28,0.333,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,3,3,0.333,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
FW,1,3,7,0.333,1,2000.0,300.0,1700.0,0.0,0.0,1653.0,409.0,362.0,3000.0,10.0
FW,1,3,11,0.333,1,2000.0,434.0,1566.0,0.0,0.0,1157.0,409.0,0.0,4340.0,10.0
FW,1,3,16,0.333,1,2000.0,300.0,1700.0,0.0,0.0,1884.0,0.0,184.0,3000.0,10.0
FW,1,3,20,0.333,1,2000.0,863.0,1137.0,0.0,0.0,1137.0,0.0,0.0,15890.0,30.0
FW,1,3,24,0.333,1,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,30.0
FW,1,3,29,0.333,1,2000.0,411.9999999999998,1588.0000000000002,0.0,0.0,1588.0,0.0,0.0,4119.9999999999945,10.0
FW,1,3,33,0.333,1,2000.0,1163.0,837.0,0.0,0.0,837.0,0.0,0.0,24890.0,30.0
FW,1,3,37,0.333,1,2000.0,1532.0,468.0,0.0,0.0,468.0,0.0,0.0,35960.0,30.0
FW,1,4,4,0.333,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,1090.0,768.0,3000.0,10.0
FW,1,4,5,0.333,1,2000.0,300.0,1700.0,0.0,0.0,1691.0,1090.0,1081.0,3000.0,10.0
FW,1,4,6,0.333,1,2000.0,300.0,1700.0,0.0,0.0,1129.0,1090.0,519.0,3000.0,10.0
FW,1,4,8,0.333,1,2000.0,510.0,1490.0,0.0,0.0,1128.0,362.0,0.0,5299.999999999998,30.0
FW,1,4,9,0.333,1,2000.0,300.0,1700.0,0.0,0.0,1447.0,362.0,109.0,3000.0,10.0
FW,1,4,10,0.333,1,2000.0,750.0,1250.0,0.0,0.0,888.0,362.0,0.0,12499.999999999998,30.0
FW,1,4,12,0.333,1,2000.0,1043.0,957.0,0.0,0.0,957.0,0.0,0.0,21290.0,30.0
FW,1,4,13,0.333,1,2000.0,720.0,1280.0,0.0,0.0,1280.0,0.0,0.0,11599.999999999998,30.0
FW,1,4,14,0.333,1,2000.0,1274.0,726.0,0.0,0.0,726.0,0.0,0.0,28220.0,30.0
FW,1,4,17,0.333,1,2000.0,775.0,1225.0,0.0,0.0,1041.0,184.0,0.0,13250.000000000002,30.0
FW,1,4,18,0.333,1,2000.0,455.0,1545.0,0.0,0.0,1361.0,184.0,0.0,4550.0,10.0
FW,1,4,19,0.333,1,2000.0,1011.0,989.0,0.0,0.0,805.0,184.0,0.0,20330.0,30.0
FW,1,4,21,0.333,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
FW,1,4,22,0.333,1,2000.0,890.0,1110.0,0.0,0.0,1110.0,0.0,0.0,16700.0,30.0
FW,1,4,23,0.333,1,2000.0,1436.0,564.0,0.0,0.0,564.0,0.0,0.0,33080.0,30.0
FW,1,4,25,0.333,1,2000.0,1371.0,629.0,0.0,0.0,629.0,0.0,0.0,31130.000000000007,30.0
