iter,est,no,usina,Indep,Coef
1,4,4,6,3000.0,0.0
1,4,5,6,3000.0,0.0
1,4,6,6,3000.0,0.0
1,4,8,6,16159.999999999998,-30.0
1,4,9,6,3000.0,0.0
1,4,10,6,23360.0,-30.0
1,4,12,6,21290.0,-30.0
1,4,13,6,11599.999999999998,-30.0
1,4,14,6,28220.0,-30.0
1,4,17,6,18770.0,-30.0
1,4,18,6,6390.0,-9.999999999999998
1,4,19,6,25850.0,-30.0
1,4,21,6,26570.000000000004,-30.0
1,4,22,6,16700.0,-30.0
1,4,23,6,33080.0,-30.0
1,4,25,6,31130.000000000007,-30.0
1,4,26,6,21110.0,-30.0
1,4,27,6,37130.0,-30.0
1,4,30,6,24739.999999999996,-30.0
1,4,31,6,14929.999999999998,-30.0
1,4,32,6,31429.999999999993,-30.0
1,4,34,6,32689.999999999993,-30.0
1,4,35,6,22610.000000000004,-30.0
1,4,36,6,38420.00000000001,-30.0
1,4,38,6,36680.0,-30.0
1,4,39,6,26570.000000000004,-30.0
1,4,40,6,41540.0,-30.0
1,3,3,6,5997.0,0.0
1,3,7,6,16102.219999999998,-19.98
1,3,11,6,35629.340000000004,-29.97
1,3,16,6,13035.290000000003,-23.310000000000002
1,3,20,6,41314.55,-30.0
1,3,24,6,58640.21000000001,-30.0
1,3,29,6,26038.940000000002,-29.97
1,3,33,6,56098.76,-30.0
1,3,37,6,70855.07,-30.0
1,2,2,6,14093.900330000002,-16.63335
1,2,15,6,51205.68665,-30.0
1,2,28,6,79766.59241000001,-30.0
1,1,1,6,98307.03773687,-30.0
2,4,4,6,3000.0,0.0
2,4,5,6,3000.0,0.0
2,4,6,6,3000.0,0.0
2,4,8,6,3000.0,0.0
2,4,9,6,3000.0,0.0
2,4,10,6,11120.0,-9.999999999999998
2,4,12,6,21290.0,-30.0
2,4,13,6,7199.9999999999945,-9.999999999999998
2,4,14,6,28220.0,-30.0
2,4,17,6,18770.0,-30.0
2,4,18,6,3000.0,0.0
2,4,19,6,25850.0,-30.0
2,4,21,6,26570.000000000004,-30.0
2,4,22,6,16700.0,-30.0
2,4,23,6,33080.0,-30.0
2,4,25,6,31130.000000000007,-30.0
2,4,26,6,21110.0,-30.0
2,4,27,6,37130.0,-30.0
2,4,30,6,24739.999999999996,-30.0
2,4,31,6,14930.0,-30.0
2,4,32,6,31429.999999999996,-30.0
2,4,34,6,32689.999999999993,-30.0
2,4,35,6,22610.000000000004,-30.0
2,4,36,6,38420.00000000001,-30.0
2,4,38,6,36680.0,-30.0
2,4,39,6,26570.000000000004,-30.0
2,4,40,6,41540.0,-30.0
2,3,3,6,5997.0,0.0
2,3,7,6,8857.47,-3.3299999999999965
2,3,11,6,31879.76,-23.310000000000002
2,3,16,6,13185.140000000007,-19.98
2,3,20,6,41314.55,-30.0
2,3,24,6,58640.21000000001,-30.0
2,3,29,6,26038.940000000002,-29.969999999999995
2,3,33,6,56098.76,-30.0
2,3,37,6,70855.07,-30.0
2,2,2,6,15004.943002286573,-10.0
2,2,15,6,51255.586700000014,-30.0
2,2,28,6,79766.59241000001,-30.0
2,1,1,6,98627.03166339145,-30.0
3,4,4,6,3000.0,0.0
3,4,5,6,3000.0,0.0
3,4,6,6,3000.0,0.0
3,4,8,6,8719.999999999993,-9.999999999999998
3,4,9,6,3000.0,0.0
3,4,10,6,23360.0,-30.0
3,4,12,6,21290.0,-30.0
3,4,13,6,11599.999999999996,-30.0
3,4,14,6,28220.0,-30.0
3,4,17,6,18770.0,-30.0
3,4,18,6,3000.0,0.0
3,4,19,6,25850.0,-30.0
3,4,21,6,26570.000000000004,-30.0
3,4,22,6,16700.0,-30.0
3,4,23,6,33080.0,-30.0
3,4,25,6,31130.000000000007,-30.0
3,4,26,6,21110.0,-30.0
3,4,27,6,37130.0,-30.0
3,4,30,6,24739.999999999996,-30.0
3,4,31,6,14930.0,-30.0
3,4,32,6,31429.999999999996,-30.0
3,4,34,6,32689.999999999993,-30.0
3,4,35,6,22610.000000000004,-30.0
3,4,36,6,38420.00000000001,-30.0
3,4,38,6,36680.0,-30.0
