etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,2,0.333,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,15,0.333,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,28,0.333,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,3,3,0.333,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,3,7,0.333,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
FW,1,3,11,0.333,1,6,6,1566.0,409.0,1157.0,1566.0,0.0,0.0
FW,1,3,16,0.333,1,6,6,1700.0,0.0,1884.0,1700.0,0.0,184.0
FW,1,3,20,0.333,1,6,6,1137.0,0.0,1137.0,1137.0,0.0,0.0
FW,1,3,24,0.333,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
FW,1,3,29,0.333,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,33,0.333,1,6,6,837.0,0.0,837.0,837.0,0.0,0.0
FW,1,3,37,0.333,1,6,6,468.0,0.0,468.0,468.0,0.0,0.0
FW,1,4,4,0.333,1,6,6,1700.0,1090.0,1378.0,1700.0,0.0,768.0
FW,1,4,5,0.333,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
FW,1,4,6,0.333,1,6,6,1700.0,1090.0,1129.0,1700.0,0.0,519.0
FW,1,4,8,0.333,1,6,6,1490.0,362.0,1128.0,1490.0,0.0,0.0
FW,1,4,9,0.333,1,6,6,1700.0,362.0,1447.0,1700.0,0.0,109.0
FW,1,4,10,0.333,1,6,6,1250.0,362.0,888.0,1250.0,0.0,0.0
FW,1,4,12,0.333,1,6,6,957.0,0.0,957.0,957.0,0.0,0.0
FW,1,4,13,0.333,1,6,6,1280.0,0.0,1280.0,1280.0,0.0,0.0
FW,1,4,14,0.333,1,6,6,726.0,0.0,726.0,726.0,0.0,0.0
FW,1,4,17,0.333,1,6,6,1225.0,184.0,1041.0,1225.0,0.0,0.0
FW,1,4,18,0.333,1,6,6,1545.0,184.0,1361.0,1545.0,0.0,0.0
FW,1,4,19,0.333,1,6,6,989.0,184.0,805.0,989.0,0.0,0.0
FW,1,4,21,0.333,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,1,4,22,0.333,1,6,6,1110.0,0.0,1110.0,1110.0,0.0,0.0
FW,1,4,23,0.333,1,6,6,564.0,0.0,564.0,564.0,0.0,0.0
FW,1,4,25,0.333,1,6,6,629.0,0.0,629.0,629.0,0.0,0.0
FW,1,4,26,0.333,1,6,6,963.0,0.0,963.0,963.0,0.0,0.0
FW,1,4,27,0.333,1,6,6,429.0,0.0,429.0,429.0,0.0,0.0
FW,1,4,30,0.333,1,6,6,842.0,0.0,842.0,842.0,0.0,0.0
FW,1,4,31,0.333,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
FW,1,4,32,0.333,1,6,6,619.0,0.0,619.0,619.0,0.0,0.0
FW,1,4,34,0.333,1,6,6,577.0,0.0,577.0,577.0,0.0,0.0
FW,1,4,35,0.333,1,6,6,913.0,0.0,913.0,913.0,0.0,0.0
FW,1,4,36,0.333,1,6,6,386.0,0.0,386.0,386.0,0.0,0.0
FW,1,4,38,0.333,1,6,6,444.0,0.0,444.0,444.0,0.0,0.0
FW,1,4,39,0.333,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,1,4,40,0.333,1,6,6,282.0,0.0,282.0,282.0,0.0,0.0
FW,2,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,2,2,2,0.333,1,6,6,1500.0,0.0,2109.0,1500.0,0.0,609.0
FW,2,2,15,0.333,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,2,2,28,0.333,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,2,3,3,0.333,1,6,6,1700.0,609.0,2381.0,1700.0,0.0,1290.0
FW,2,3,7,0.333,1,6,6,1553.3333333333335,609.0,1653.0,1553.3333333333335,-1.1368683772161603e-13,708.6666666666666
FW,2,3,11,0.333,1,6,6,1500.0,609.0,1157.0,1500.0,0.0,266.0
FW,2,3,16,0.333,1,6,6,1500.0,0.0,1884.0,1500.0,5.684341886080802e-14,383.99999999999994
FW,2,3,20,0.333,1,6,6,1137.0,0.0,1137.0,1137.0,0.0,0.0
FW,2,3,24,0.333,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
