etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,5,1,1,1.0,1,6,6,1000.0000000000001,1000.0,0.0,1000.0000000000001,0.0,-1.1368683772161603e-13
FW,5,2,2,0.333,1,6,6,1500.0,-1.1368683772161603e-13,2109.0,1500.0,-1.1368683772161603e-13,609.0000000000001
FW,5,2,15,0.333,1,6,6,1214.0,-1.1368683772161603e-13,1214.0,1214.0,0.0,0.0
FW,5,2,28,0.333,1,6,6,705.9999999999999,-1.1368683772161603e-13,706.0,705.9999999999999,0.0,0.0
FW,5,3,3,0.333,1,6,6,1700.0,609.0000000000001,2381.0,1700.0,0.0,1290.0
FW,5,3,7,0.333,1,6,6,1690.000000000001,609.0000000000001,1653.0,1690.000000000001,-2.2737367544323206e-13,571.9999999999993
FW,5,3,11,0.333,1,6,6,1500.0,609.0000000000001,1157.0,1500.0,0.0,266.0000000000001
FW,5,3,16,0.333,1,6,6,1500.0,0.0,1884.0,1500.0,1.7053025658242404e-13,383.99999999999983
FW,5,3,20,0.333,1,6,6,1137.0,0.0,1137.0,1137.0,0.0,0.0
FW,5,3,24,0.333,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
FW,5,3,29,0.333,1,6,6,1500.0000000000002,0.0,1588.0,1500.0000000000002,0.0,87.99999999999979
FW,5,3,33,0.333,1,6,6,837.0,0.0,837.0,837.0,0.0,0.0
FW,5,3,37,0.333,1,6,6,468.0,0.0,468.0,468.0,0.0,0.0
FW,5,4,4,0.333,1,6,6,1700.0,1290.0,1378.0,1700.0,0.0,968.0
FW,5,4,5,0.333,1,6,6,1700.0,1290.0,1691.0,1700.0,0.0,1281.0
FW,5,4,6,0.333,1,6,6,1700.0,1290.0,1129.0,1700.0,0.0,719.0
FW,5,4,8,0.333,1,6,6,1699.9999999999993,571.9999999999993,1128.0,1699.9999999999993,0.0,0.0
FW,5,4,9,0.333,1,6,6,1700.0,571.9999999999993,1447.0,1700.0,0.0,318.9999999999993
FW,5,4,10,0.333,1,6,6,1459.9999999999993,571.9999999999993,888.0,1459.9999999999993,0.0,0.0
FW,5,4,12,0.333,1,6,6,1223.0,266.0000000000001,957.0,1223.0,0.0,0.0
FW,5,4,13,0.333,1,6,6,1546.0000000000002,266.0000000000001,1280.0,1546.0000000000002,-2.2737367544323206e-13,0.0
FW,5,4,14,0.333,1,6,6,992.0000000000001,266.0000000000001,726.0,992.0000000000001,0.0,0.0
FW,5,4,17,0.333,1,6,6,1424.9999999999998,383.99999999999983,1041.0,1424.9999999999998,0.0,0.0
FW,5,4,18,0.333,1,6,6,1700.0,383.99999999999983,1361.0,1700.0,0.0,44.99999999999977
FW,5,4,19,0.333,1,6,6,1188.9999999999998,383.99999999999983,805.0,1188.9999999999998,0.0,0.0
FW,5,4,21,0.333,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,5,4,22,0.333,1,6,6,1110.0,0.0,1110.0,1110.0,0.0,0.0
FW,5,4,23,0.333,1,6,6,564.0,0.0,564.0,564.0,0.0,0.0
FW,5,4,25,0.333,1,6,6,629.0,0.0,629.0,629.0,0.0,0.0
FW,5,4,26,0.333,1,6,6,963.0,0.0,963.0,963.0,0.0,0.0
FW,5,4,27,0.333,1,6,6,429.0,0.0,429.0,429.0,0.0,0.0
FW,5,4,30,0.333,1,6,6,929.9999999999998,87.99999999999979,842.0,929.9999999999998,0.0,0.0
FW,5,4,31,0.333,1,6,6,1256.9999999999998,87.99999999999979,1169.0,1256.9999999999998,0.0,0.0
FW,5,4,32,0.333,1,6,6,706.9999999999998,87.99999999999979,619.0,706.9999999999998,0.0,0.0
FW,5,4,34,0.333,1,6,6,577.0,0.0,577.0,577.0,0.0,0.0
FW,5,4,35,0.333,1,6,6,913.0,0.0,913.0,913.0,0.0,0.0
FW,5,4,36,0.333,1,6,6,386.0,0.0,386.0,386.0,0.0,0.0
FW,5,4,38,0.333,1,6,6,444.0,0.0,444.0,444.0,0.0,0.0
FW,5,4,39,0.333,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,5,4,40,0.333,1,6,6,282.0,0.0,282.0,282.0,0.0,0.0
