NOME_UHE,NO,VAZAO
6,1,0.0
6,2,1214.0
6,3,468.0
6,4,1280.0
6,5,1214.0
6,6,704.0
6,7,1129.0
6,8,2109.0
6,9,1137.0
6,10,1169.0
6,11,2109.0
6,12,1653.0
6,13,1378.0
6,14,1214.0
6,15,1157.0
6,16,577.0
6,17,1214.0
6,18,837.0
6,19,1280.0
6,20,2109.0
6,21,1137.0
6,22,1378.0
6,23,1214.0
6,24,1137.0
6,25,781.0
6,26,706.0
6,27,704.0
6,28,629.0
6,29,2109.0
6,30,2381.0
6,31,726.0
6,32,706.0
6,33,1653.0
6,34,1378.0
6,35,1214.0
6,36,468.0
6,37,781.0
6,38,1214.0
6,39,704.0
6,40,781.0
6,41,706.0
6,42,704.0
6,43,1361.0
6,44,706.0
6,45,704.0
6,46,781.0
6,47,706.0
6,48,2381.0
6,49,1169.0
6,50,706.0
6,51,837.0
6,52,629.0
6,53,706.0
6,54,1653.0
6,55,444.0
6,56,706.0
6,57,1653.0
6,58,913.0
6,59,706.0
6,60,1137.0
6,61,781.0
6,62,1214.0
6,63,704.0
6,64,1447.0
6,65,2109.0
6,66,1137.0
6,67,1447.0
6,68,1214.0
6,69,1137.0
6,70,564.0
6,71,706.0
6,72,837.0
6,73,282.0
