etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,1,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,1,2,2,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,5,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,8,0.04167,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,2,11,0.04167,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,2,14,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,17,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,20,0.04167,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,2,23,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,26,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,29,0.04167,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,2,32,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,35,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,38,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,41,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,44,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,47,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,50,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,53,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,56,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,59,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,2,62,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,65,0.04167,1,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,10.0
FW,1,2,68,0.04167,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,1,2,71,0.04167,1,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,30.0
FW,1,3,3,1.0,1,2000.0,1532.0,468.0,0.0,0.0,468.0,0.0,0.0,35960.0,30.0
FW,1,3,6,1.0,1,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,30.0
FW,1,3,9,1.0,1,2000.0,453.9999999999998,1546.0000000000002,0.0,0.0,1137.0,409.0,0.0,4539.9999999999945,10.0
FW,1,3,12,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1653.0,409.0,362.0,3000.0,10.0
FW,1,3,15,1.0,1,2000.0,843.0,1157.0,0.0,0.0,1157.0,0.0,0.0,15289.999999999998,30.0
FW,1,3,18,1.0,1,2000.0,1163.0,837.0,0.0,0.0,837.0,0.0,0.0,24890.0,30.0
FW,1,3,21,1.0,1,2000.0,453.9999999999998,1546.0000000000002,0.0,0.0,1137.0,409.0,0.0,4539.9999999999945,10.0
FW,1,3,24,1.0,1,2000.0,863.0,1137.0,0.0,0.0,1137.0,0.0,0.0,15890.0,30.0
FW,1,3,27,1.0,1,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,30.0
FW,1,3,30,1.0,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,409.0,1090.0,3000.0,10.0
FW,1,3,33,1.0,1,2000.0,347.0,1653.0,0.0,0.0,1653.0,0.0,0.0,3470.0,10.0
FW,1,3,36,1.0,1,2000.0,1532.0,468.0,0.0,0.0,468.0,0.0,0.0,35960.0,30.0
FW,1,3,39,1.0,1,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,30.0
FW,1,3,42,1.0,1,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,30.0
FW,1,3,45,1.0,1,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,30.0
FW,1,3,48,1.0,1,2000.0,300.0,1700.0,0.0,0.0,2381.0,0.0,681.0,3000.0,10.0
FW,1,3,51,1.0,1,2000.0,1163.0,837.0,0.0,0.0,837.0,0.0,0.0,24890.0,30.0
FW,1,3,54,1.0,1,2000.0,347.0,1653.0,0.0,0.0,1653.0,0.0,0.0,3470.0,10.0
FW,1,3,57,1.0,1,2000.0,347.0,1653.0,0.0,0.0,1653.0,0.0,0.0,3470.0,10.0
FW,1,3,60,1.0,1,2000.0,863.0,1137.0,0.0,0.0,1137.0,0.0,0.0,15890.0,30.0
FW,1,3,63,1.0,1,2000.0,1296.0,704.0,0.0,0.0,704.0,0.0,0.0,28880.000000000004,30.0
FW,1,3,66,1.0,1,2000.0,453.9999999999998,1546.0000000000002,0.0,0.0,1137.0,409.0,0.0,4539.9999999999945,10.0
FW,1,3,69,1.0,1,2000.0,863.0,1137.0,0.0,0.0,1137.0,0.0,0.0,15890.0,30.0
FW,1,3,72,1.0,1,2000.0,1163.0,837.0,0.0,0.0,837.0,0.0,0.0,24890.0,30.0
FW,1,4,4,1.0,1,2000.0,720.0,1280.0,0.0,0.0,1280.0,0.0,0.0,11599.999999999998,30.0
FW,1,4,7,1.0,1,2000.0,871.0,1129.0,0.0,0.0,1129.0,0.0,0.0,16130.000000000002,30.0
FW,1,4,10,1.0,1,2000.0,831.0,1169.0,0.0,0.0,1169.0,0.0,0.0,14929.999999999998,30.0
FW,1,4,13,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1378.0,362.0,40.0,3000.0,10.0
FW,1,4,16,1.0,1,2000.0,1423.0,577.0,0.0,0.0,577.0,0.0,0.0,32689.999999999993,30.0
FW,1,4,19,1.0,1,2000.0,720.0,1280.0,0.0,0.0,1280.0,0.0,0.0,11599.999999999998,30.0
FW,1,4,22,1.0,1,2000.0,622.0,1378.0,0.0,0.0,1378.0,0.0,0.0,8660.000000000002,30.0
FW,1,4,25,1.0,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
FW,1,4,28,1.0,1,2000.0,1371.0,629.0,0.0,0.0,629.0,0.0,0.0,31130.000000000007,30.0
FW,1,4,31,1.0,1,2000.0,300.0,1700.0,0.0,0.0,726.0,1090.0,116.0,3000.0,10.0
FW,1,4,34,1.0,1,2000.0,622.0,1378.0,0.0,0.0,1378.0,0.0,0.0,8660.000000000002,30.0
FW,1,4,37,1.0,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
FW,1,4,40,1.0,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
FW,1,4,43,1.0,1,2000.0,639.0,1361.0,0.0,0.0,1361.0,0.0,0.0,9169.999999999998,30.0
FW,1,4,46,1.0,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
FW,1,4,49,1.0,1,2000.0,300.0,1700.0,0.0,0.0,1169.0,681.0,150.0,3000.0,10.0
FW,1,4,52,1.0,1,2000.0,1371.0,629.0,0.0,0.0,629.0,0.0,0.0,31130.000000000007,30.0
FW,1,4,55,1.0,1,2000.0,1556.0,444.0,0.0,0.0,444.0,0.0,0.0,36680.0,30.0
FW,1,4,58,1.0,1,2000.0,1087.0000000000002,913.0,0.0,0.0,913.0,0.0,0.0,22610.000000000004,30.0
FW,1,4,61,1.0,1,2000.0,1219.0000000000002,781.0,0.0,0.0,781.0,0.0,0.0,26570.000000000004,30.0
FW,1,4,64,1.0,1,2000.0,553.0,1447.0,0.0,0.0,1447.0,0.0,0.0,6590.000000000002,30.0
FW,1,4,67,1.0,1,2000.0,553.0,1447.0,0.0,0.0,1447.0,0.0,0.0,6590.000000000002,30.0
