etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
BK,1,4,4,1.0,1,6,6,1280.0,0.0,1280.0,1280.0,0.0,0.0
BK,1,4,7,1.0,1,6,6,1129.0,0.0,1129.0,1129.0,0.0,0.0
BK,1,4,10,1.0,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
BK,1,4,13,1.0,1,6,6,1700.0,362.0,1378.0,1700.0,0.0,40.0
BK,1,4,16,1.0,1,6,6,577.0,0.0,577.0,577.0,0.0,0.0
BK,1,4,19,1.0,1,6,6,1280.0,0.0,1280.0,1280.0,0.0,0.0
BK,1,4,22,1.0,1,6,6,1378.0,0.0,1378.0,1378.0,0.0,0.0
BK,1,4,25,1.0,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,28,1.0,1,6,6,629.0,0.0,629.0,629.0,0.0,0.0
BK,1,4,31,1.0,1,6,6,1700.0,1090.0,726.0,1700.0,0.0,116.0
BK,1,4,34,1.0,1,6,6,1378.0,0.0,1378.0,1378.0,0.0,0.0
BK,1,4,37,1.0,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,40,1.0,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,43,1.0,1,6,6,1361.0,0.0,1361.0,1361.0,0.0,0.0
BK,1,4,46,1.0,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,49,1.0,1,6,6,1700.0,681.0,1169.0,1700.0,0.0,150.0
BK,1,4,52,1.0,1,6,6,629.0,0.0,629.0,629.0,0.0,0.0
BK,1,4,55,1.0,1,6,6,444.0,0.0,444.0,444.0,0.0,0.0
BK,1,4,58,1.0,1,6,6,913.0,0.0,913.0,913.0,0.0,0.0
BK,1,4,61,1.0,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
BK,1,4,64,1.0,1,6,6,1447.0,0.0,1447.0,1447.0,0.0,0.0
BK,1,4,67,1.0,1,6,6,1447.0,0.0,1447.0,1447.0,0.0,0.0
BK,1,4,70,1.0,1,6,6,564.0,0.0,564.0,564.0,0.0,0.0
BK,1,4,73,1.0,1,6,6,282.0,0.0,282.0,282.0,0.0,0.0
BK,1,3,3,1.0,1,6,6,81.33333333333337,0.0,468.0,81.33333333333337,0.0,386.66666666666663
BK,1,3,6,1.0,1,6,6,166.33333333333326,0.0,704.0,166.33333333333326,0.0,537.6666666666667
BK,1,3,9,1.0,1,6,6,1048.3333333333335,409.0,1137.0,1048.3333333333335,0.0,497.66666666666663
BK,1,3,12,1.0,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
BK,1,3,15,1.0,1,6,6,67.33333333333348,0.0,1157.0,67.33333333333348,0.0,1089.6666666666665
BK,1,3,18,1.0,1,6,6,450.33333333333337,0.0,837.0,450.33333333333337,0.0,386.66666666666663
BK,1,3,21,1.0,1,6,6,1257.3333333333333,409.0,1137.0,1257.3333333333333,0.0,288.66666666666674
BK,1,3,24,1.0,1,6,6,251.33333333333326,0.0,1137.0,251.33333333333326,0.0,885.6666666666667
BK,1,3,27,1.0,1,6,6,0.0,0.0,704.0,0.0,0.0,704.0
BK,1,3,30,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
BK,1,3,33,1.0,1,6,6,1364.3333333333333,0.0,1653.0,1364.3333333333333,0.0,288.66666666666674
BK,1,3,36,1.0,1,6,6,0.0,0.0,468.0,0.0,0.0,468.0
BK,1,3,39,1.0,1,6,6,0.0,0.0,704.0,0.0,0.0,704.0
BK,1,3,42,1.0,1,6,6,398.33333333333337,0.0,704.0,398.33333333333337,0.0,305.66666666666663
BK,1,3,45,1.0,1,6,6,0.0,0.0,704.0,0.0,0.0,704.0
BK,1,3,48,1.0,1,6,6,1700.0,0.0,2381.0,1700.0,0.0,681.0
BK,1,3,51,1.0,1,6,6,0.0,0.0,837.0,0.0,0.0,837.0
BK,1,3,54,1.0,1,6,6,430.33333333333326,0.0,1653.0,430.33333333333326,0.0,1222.6666666666667
BK,1,3,57,1.0,1,6,6,899.3333333333333,0.0,1653.0,899.3333333333333,0.0,753.6666666666667
BK,1,3,60,1.0,1,6,6,251.33333333333326,0.0,1137.0,251.33333333333326,0.0,885.6666666666667
BK,1,3,63,1.0,1,6,6,484.33333333333326,0.0,704.0,484.33333333333326,0.0,219.6666666666667
BK,1,3,66,1.0,1,6,6,1326.3333333333333,409.0,1137.0,1326.3333333333333,0.0,219.6666666666667
BK,1,3,69,1.0,1,6,6,34.33333333333326,0.0,1137.0,34.33333333333326,0.0,1102.6666666666667
BK,1,3,72,1.0,1,6,6,0.0,0.0,837.0,0.0,0.0,837.0
BK,1,2,2,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
BK,1,2,5,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
BK,1,2,8,0.04167,1,6,6,1081.666666666667,0.0,2109.0,1081.666666666667,0.0,1027.333333333333
BK,1,2,11,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
BK,1,2,14,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
BK,1,2,17,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
BK,1,2,20,0.04167,1,6,6,1290.6666666666665,0.0,2109.0,1290.6666666666665,0.0,818.3333333333334
BK,1,2,23,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
BK,1,2,26,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
BK,1,2,29,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
BK,1,2,32,0.04167,1,6,6,403.66666666666663,0.0,706.0,403.66666666666663,0.0,302.33333333333337
BK,1,2,35,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
BK,1,2,38,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
BK,1,2,41,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
BK,1,2,44,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
BK,1,2,47,0.04167,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
BK,1,2,50,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
BK,1,2,53,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
BK,1,2,56,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
BK,1,2,59,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
BK,1,2,62,0.04167,1,6,6,31.666666666666742,0.0,1214.0,31.666666666666742,0.0,1182.3333333333333
BK,1,2,65,0.04167,1,6,6,1359.6666666666665,0.0,2109.0,1359.6666666666665,0.0,749.3333333333334
BK,1,2,68,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
BK,1,2,71,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
BK,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
BK,2,4,4,1.0,1,6,6,1666.6666666666667,386.66666666666663,1280.0,1666.6666666666667,-2.2737367544323206e-13,0.0
BK,2,4,7,1.0,1,6,6,1666.6666666666667,537.6666666666667,1129.0,1666.6666666666667,0.0,0.0
BK,2,4,10,1.0,1,6,6,1666.6666666666667,497.66666666666663,1169.0,1666.6666666666667,-2.2737367544323206e-13,0.0
BK,2,4,13,1.0,1,6,6,1700.0,362.0,1378.0,1700.0,0.0,40.0
BK,2,4,16,1.0,1,6,6,1666.6666666666667,1089.6666666666665,577.0,1666.6666666666667,-2.2737367544323206e-13,0.0
BK,2,4,19,1.0,1,6,6,1666.6666666666667,386.66666666666663,1280.0,1666.6666666666667,-2.2737367544323206e-13,0.0
BK,2,4,22,1.0,1,6,6,1666.6666666666667,288.66666666666674,1378.0,1666.6666666666667,0.0,0.0
BK,2,4,25,1.0,1,6,6,1666.6666666666667,885.6666666666667,781.0,1666.6666666666667,0.0,0.0
BK,2,4,28,1.0,1,6,6,1666.666666666667,1037.666666666667,629.0,1666.666666666667,0.0,0.0
BK,2,4,31,1.0,1,6,6,1700.0,1090.0,726.0,1700.0,0.0,116.0
BK,2,4,34,1.0,1,6,6,1666.6666666666667,288.66666666666674,1378.0,1666.6666666666667,0.0,0.0
BK,2,4,37,1.0,1,6,6,1666.6666666666667,885.6666666666667,781.0,1666.6666666666667,0.0,0.0
BK,2,4,40,1.0,1,6,6,1666.6666666666667,885.6666666666667,781.0,1666.6666666666667,0.0,0.0
