etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,4,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,4,2,2,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,4,2,5,0.04167,1,6,6,1222.9999999999995,0.0,2109.0,1222.9999999999995,0.0,886.0000000000003
FW,4,2,8,0.04167,1,6,6,362.9999999999998,0.0,706.0,362.9999999999998,0.0,343.0000000000003
FW,4,2,11,0.04167,1,6,6,83.99999999999999,0.0,1214.0,83.99999999999999,0.0,1130.0
FW,4,2,14,0.04167,1,6,6,0.0,0.0,1214.0,0.0,0.0,1214.0
FW,4,2,17,0.04167,1,6,6,654.9999999999998,0.0,2109.0,654.9999999999998,0.0,1454.0000000000005
FW,4,2,20,0.04167,1,6,6,31.999999999999538,0.0,706.0,31.999999999999538,0.0,674.0000000000005
FW,4,2,23,0.04167,1,6,6,315.9999999999993,0.0,706.0,315.9999999999993,0.0,390.0000000000007
FW,4,2,26,0.04167,1,6,6,1159.0000000000002,0.0,2109.0,1159.0000000000002,0.0,949.9999999999998
FW,4,2,29,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,4,2,32,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,4,2,35,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,4,2,38,0.04167,1,6,6,0.0,0.0,706.0,0.0,0.0,706.0
FW,4,2,41,0.04167,1,6,6,1208.9999999999995,0.0,2109.0,1208.9999999999995,0.0,900.0000000000003
FW,4,2,44,0.04167,1,6,6,399.9999999999999,0.0,706.0,399.9999999999999,0.0,306.0000000000001
FW,4,2,47,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,4,2,50,0.04167,1,6,6,178.99999999999943,0.0,1214.0,178.99999999999943,0.0,1035.0000000000005
FW,4,2,53,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,4,2,56,0.04167,1,6,6,497.9999999999996,0.0,1214.0,497.9999999999996,0.0,716.0000000000003
FW,4,2,59,0.04167,1,6,6,842.9999999999995,0.0,2109.0,842.9999999999995,0.0,1266.0000000000005
FW,4,2,62,0.04167,1,6,6,417.9999999999996,0.0,1214.0,417.9999999999996,0.0,796.0000000000005
FW,4,2,65,0.04167,1,6,6,708.9999999999997,0.0,1214.0,708.9999999999997,0.0,505.00000000000034
FW,4,2,68,0.04167,1,6,6,582.9999999999997,0.0,1214.0,582.9999999999997,0.0,631.0000000000003
FW,4,2,71,0.04167,1,6,6,258.9999999999998,0.0,1214.0,258.9999999999998,0.0,955.0000000000002
FW,4,3,3,1.0,1,6,6,1491.0,706.0,1157.0,1491.0,0.0,372.0000000000002
FW,4,3,6,1.0,1,6,6,1500.0000000000005,886.0000000000003,1157.0,1500.0000000000005,0.0,543.0000000000002
