etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
BK,1,4,4,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,4,1.0,1,ANGRA2,2,153.0,20.0,3060.0
BK,1,4,4,1.0,1,ANGRA2,3,153.0,30.0,4590.0
BK,1,4,4,1.0,1,ANGRA2,4,153.0,40.0,6120.0
BK,1,4,7,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,7,1.0,1,ANGRA2,2,219.3,20.0,4386.0
BK,1,4,7,1.0,1,ANGRA2,3,219.3,30.0,6579.0
BK,1,4,7,1.0,1,ANGRA2,4,219.3,40.0,8772.0
BK,1,4,10,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,10,1.0,1,ANGRA2,2,158.0,20.0,3160.0
BK,1,4,10,1.0,1,ANGRA2,3,158.0,30.0,4740.0
BK,1,4,10,1.0,1,ANGRA2,4,158.0,40.0,6320.0
BK,1,4,13,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,13,1.0,1,ANGRA2,2,312.0,20.0,6240.0
BK,1,4,13,1.0,1,ANGRA2,3,312.0,30.0,9360.0
BK,1,4,13,1.0,1,ANGRA2,4,312.0,40.0,12480.0
BK,1,4,16,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,16,1.0,1,ANGRA2,2,312.0,20.0,6240.0
BK,1,4,16,1.0,1,ANGRA2,3,312.0,30.0,9360.0
BK,1,4,16,1.0,1,ANGRA2,4,312.0,40.0,12480.0
BK,1,4,19,1.0,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,19,1.0,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,19,1.0,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,19,1.0,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,22,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,22,1.0,1,ANGRA2,2,105.0,20.0,2100.0
BK,1,4,22,1.0,1,ANGRA2,3,105.0,30.0,3150.0
BK,1,4,22,1.0,1,ANGRA2,4,105.0,40.0,4200.0
BK,1,4,25,1.0,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,25,1.0,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,25,1.0,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,25,1.0,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,28,1.0,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,28,1.0,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,28,1.0,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,28,1.0,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,31,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,31,1.0,1,ANGRA2,2,371.3,20.0,7426.0
BK,1,4,31,1.0,1,ANGRA2,3,371.3,30.0,11139.0
BK,1,4,31,1.0,1,ANGRA2,4,371.3,40.0,14852.0
BK,1,4,34,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,34,1.0,1,ANGRA2,2,82.0,20.0,1640.0
BK,1,4,34,1.0,1,ANGRA2,3,82.0,30.0,2460.0
BK,1,4,34,1.0,1,ANGRA2,4,82.0,40.0,3280.0
BK,1,4,37,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,37,1.0,1,ANGRA2,2,46.3,20.0,926.0
BK,1,4,37,1.0,1,ANGRA2,3,46.3,30.0,1389.0
BK,1,4,37,1.0,1,ANGRA2,4,46.3,40.0,1852.0
BK,1,4,40,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,40,1.0,1,ANGRA2,2,371.3,20.0,7426.0
BK,1,4,40,1.0,1,ANGRA2,3,371.3,30.0,11139.0
BK,1,4,40,1.0,1,ANGRA2,4,371.3,40.0,14852.0
BK,1,4,43,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,43,1.0,1,ANGRA2,2,239.7,20.0,4794.0
BK,1,4,43,1.0,1,ANGRA2,3,239.7,30.0,7191.0
BK,1,4,43,1.0,1,ANGRA2,4,239.7,40.0,9588.0
BK,1,4,46,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,46,1.0,1,ANGRA2,2,204.0,20.0,4080.0
BK,1,4,46,1.0,1,ANGRA2,3,204.0,30.0,6120.0
BK,1,4,46,1.0,1,ANGRA2,4,204.0,40.0,8160.0
BK,1,4,49,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,49,1.0,1,ANGRA2,2,357.0,20.0,7140.0
BK,1,4,49,1.0,1,ANGRA2,3,357.0,30.0,10710.0
BK,1,4,49,1.0,1,ANGRA2,4,357.0,40.0,14280.0
BK,1,4,52,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,52,1.0,1,ANGRA2,2,130.0,20.0,2600.0
BK,1,4,52,1.0,1,ANGRA2,3,130.0,30.0,3900.0
BK,1,4,52,1.0,1,ANGRA2,4,130.0,40.0,5200.0
BK,1,4,55,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,55,1.0,1,ANGRA2,2,195.7,20.0,3914.0
BK,1,4,55,1.0,1,ANGRA2,3,195.7,30.0,5871.0
BK,1,4,55,1.0,1,ANGRA2,4,195.7,40.0,7828.0
BK,1,4,58,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,58,1.0,1,ANGRA2,2,290.3,20.0,5806.0
BK,1,4,58,1.0,1,ANGRA2,3,290.3,30.0,8709.0
BK,1,4,58,1.0,1,ANGRA2,4,290.3,40.0,11612.0
BK,1,4,61,1.0,1,ANGRA1,1,300.0,10.0,3000.0
BK,1,4,61,1.0,1,ANGRA2,2,0.0,20.0,0.0
BK,1,4,61,1.0,1,ANGRA2,3,0.0,30.0,0.0
BK,1,4,61,1.0,1,ANGRA2,4,0.0,40.0,0.0
BK,1,4,64,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,64,1.0,1,ANGRA2,2,239.7,20.0,4794.0
BK,1,4,64,1.0,1,ANGRA2,3,239.7,30.0,7191.0
BK,1,4,64,1.0,1,ANGRA2,4,239.7,40.0,9588.0
BK,1,4,67,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,67,1.0,1,ANGRA2,2,124.0,20.0,2480.0
BK,1,4,67,1.0,1,ANGRA2,3,124.0,30.0,3720.0
BK,1,4,67,1.0,1,ANGRA2,4,124.0,40.0,4960.0
BK,1,4,70,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,70,1.0,1,ANGRA2,2,406.0,20.0,8120.0
BK,1,4,70,1.0,1,ANGRA2,3,406.0,30.0,12180.0
BK,1,4,70,1.0,1,ANGRA2,4,406.0,40.0,16240.0
BK,1,4,73,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,4,73,1.0,1,ANGRA2,2,119.7,20.0,2394.0
BK,1,4,73,1.0,1,ANGRA2,3,119.7,30.0,3591.0
BK,1,4,73,1.0,1,ANGRA2,4,119.7,40.0,4788.0
BK,1,3,3,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,3,1.0,1,ANGRA2,2,429.6,20.0,8592.0
BK,1,3,3,1.0,1,ANGRA2,3,429.6,30.0,12888.0
BK,1,3,3,1.0,1,ANGRA2,4,429.6,40.0,17184.0
BK,1,3,6,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,6,1.0,1,ANGRA2,2,403.9,20.0,8078.0
BK,1,3,6,1.0,1,ANGRA2,3,403.9,30.0,12117.0
BK,1,3,6,1.0,1,ANGRA2,4,403.9,40.0,16156.0
BK,1,3,9,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,9,1.0,1,ANGRA2,2,146.9,20.0,2938.0
BK,1,3,9,1.0,1,ANGRA2,3,146.9,30.0,4407.0
BK,1,3,9,1.0,1,ANGRA2,4,146.9,40.0,5876.0
BK,1,3,12,1.0,1,ANGRA1,1,500.0,10.0,5000.0
BK,1,3,12,1.0,1,ANGRA2,2,500.0,20.0,10000.0
BK,1,3,12,1.0,1,ANGRA2,3,500.0,30.0,15000.0
BK,1,3,12,1.0,1,ANGRA2,4,500.0,40.0,20000.0
