etapa,iter,est,node,prob,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CustoFuturo
FW,3,1,1,1.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,43620.9894
FW,3,2,2,0.04167,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,10270.0
FW,3,2,5,0.04167,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,8.337034766251842e-14,13579.999999999998,8999.999999999993
FW,3,2,8,0.04167,2000.0,1588.0000000000002,411.9999999999997,0.0,0.0,1214.0,0.0,802.0000000000003,37640.00000000001,9999.999999999989
FW,3,2,11,0.04167,2000.0,1120.9999999999998,878.9999999999999,0.0,0.0,1214.0,0.0,335.0000000000001,23630.000000000004,9999.999999999993
FW,3,2,14,0.04167,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,25840.000000000007
FW,3,2,17,0.04167,2000.0,1294.0,706.0,0.0,0.0,706.0,0.0,0.0,28819.999999999996,7309.999999999998
FW,3,2,20,0.04167,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,608.9999999999998,5000.0,8560.000000000005
FW,3,2,23,0.04167,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,25000.0
FW,3,2,26,0.04167,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,23889.999999999993
FW,3,2,29,0.04167,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,22330.0
FW,3,2,32,0.04167,2000.0,300.0,1700.0,0.0,0.0,2109.0,0.0,409.0,3000.0,6000.0
FW,3,2,35,0.04167,2000.0,1115.0,884.9999999999998,0.0,0.0,2109.0,0.0,1224.0000000000005,23450.000000000004,9999.999999999989
FW,3,2,38,0.04167,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,15820.0
FW,3,2,41,0.04167,2000.0,1558.0,441.9999999999999,0.0,0.0,2109.0,0.0,1667.0000000000002,36740.00000000001,10000.0
FW,3,2,44,0.04167,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,29710.0
FW,3,2,47,0.04167,2000.0,846.0000000000005,1153.9999999999995,0.0,0.0,2109.0,0.0,955.0000000000003,15380.000000000015,9999.999999999989
FW,3,2,50,0.04167,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,10900.0
FW,3,2,53,0.04167,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,9.852859269206723e-14,13579.999999999998,9690.0
