iter,est,no,usina,Indep,Coef
1,4,4,6,3000.0,0.0
1,4,7,6,3000.0,0.0
1,4,10,6,3000.0,0.0
1,4,13,6,16159.999999999998,-30.0
1,4,16,6,3000.0,0.0
1,4,19,6,23360.0,-30.0
1,4,22,6,21290.0,-30.0
1,4,25,6,11599.999999999998,-30.0
1,4,28,6,28220.0,-30.0
1,4,31,6,18770.0,-30.0
1,4,34,6,6390.0,-9.999999999999998
1,4,37,6,25850.0,-30.0
1,4,40,6,26570.000000000004,-30.0
1,4,43,6,16700.0,-30.0
1,4,46,6,33080.0,-30.0
1,4,52,6,21110.0,-30.0
1,4,55,6,37130.0,-30.0
1,4,58,6,24739.999999999996,-30.0
1,4,61,6,14929.999999999998,-30.0
1,4,64,6,31429.999999999993,-30.0
1,4,70,6,22610.000000000004,-30.0
1,4,73,6,38420.00000000001,-30.0
1,4,79,6,26570.000000000004,-30.0
1,4,82,6,41540.0,-30.0
1,3,3,6,6000.0,0.0
1,3,6,6,6000.0,0.0
1,3,9,6,6000.0,0.0
1,3,12,6,8856.666666666664,-10.0
1,3,15,6,6000.0,0.0
1,3,18,6,23769.999999999996,-30.0
1,3,21,6,36580.0,-30.0
1,3,24,6,26889.999999999996,-30.0
1,3,27,6,43510.0,-30.0
1,3,30,6,12249.999999999995,-30.0
1,3,33,6,7550.0,-10.0
1,3,36,6,19330.0,-30.0
1,3,39,6,42460.0,-30.0
1,3,42,6,32589.999999999996,-30.0
1,3,45,6,48970.0,-30.0
1,3,51,6,49990.0,-30.0
1,3,54,6,66010.0,-30.0
1,3,57,6,27099.999999999993,-30.0
1,3,60,6,17289.999999999993,-30.0
1,3,63,6,33789.99999999999,-30.0
1,3,69,6,47500.0,-30.0
1,3,72,6,63310.00000000001,-30.0
1,3,78,6,62530.0,-30.0
1,3,81,6,77500.0,-30.0
1,2,2,6,9000.0,0.0
1,2,5,6,9000.0,0.0
1,2,8,6,9000.0,0.0
1,2,11,6,7766.666666666665,-10.0
1,2,14,6,9000.0,0.0
1,2,17,6,10499.999999999998,-30.0
1,2,20,6,23309.999999999993,-30.0
1,2,23,6,13619.999999999989,-30.0
1,2,26,6,30239.999999999996,-30.0
1,2,29,6,25829.999999999993,-30.0
1,2,32,6,21130.0,-30.0
1,2,35,6,32910.0,-30.0
1,2,38,6,56040.0,-30.0
1,2,41,6,46170.0,-30.0
1,2,44,6,62550.0,-30.0
1,2,50,6,63570.0,-30.0
1,2,53,6,79590.0,-30.0
1,2,56,6,55919.99999999999,-30.0
1,2,59,6,46109.999999999985,-30.0
1,2,62,6,62609.99999999999,-30.0
1,2,68,6,76320.0,-30.0
