etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,2,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,5,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,8,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,11,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,14,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,17,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,20,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,23,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,26,0.04167,1,6,6,1700.0,0.0,2109.0,1700.0,0.0,409.0
FW,1,2,29,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,32,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,35,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,38,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,41,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,44,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,47,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,50,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,53,0.04167,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,56,0.04167,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,59,0.04167,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,62,0.04167,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,65,0.04167,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,68,0.04167,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,71,0.04167,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,3,3,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,3,6,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,3,9,1.0,1,6,6,1700.0,409.0,2381.0,1700.0,0.0,1090.0
FW,1,3,12,1.0,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
FW,1,3,15,1.0,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
FW,1,3,18,1.0,1,6,6,1700.0,409.0,1653.0,1700.0,0.0,362.0
FW,1,3,21,1.0,1,6,6,1566.0,409.0,1157.0,1566.0,0.0,0.0
FW,1,3,24,1.0,1,6,6,1566.0,409.0,1157.0,1566.0,0.0,0.0
FW,1,3,27,1.0,1,6,6,1566.0,409.0,1157.0,1566.0,0.0,0.0
FW,1,3,30,1.0,1,6,6,1700.0,0.0,1884.0,1700.0,0.0,184.0
FW,1,3,33,1.0,1,6,6,1700.0,0.0,1884.0,1700.0,0.0,184.0
FW,1,3,36,1.0,1,6,6,1700.0,0.0,1884.0,1700.0,0.0,184.0
FW,1,3,39,1.0,1,6,6,1137.0,0.0,1137.0,1137.0,0.0,0.0
FW,1,3,42,1.0,1,6,6,1137.0,0.0,1137.0,1137.0,0.0,0.0
FW,1,3,45,1.0,1,6,6,1137.0,0.0,1137.0,1137.0,0.0,0.0
FW,1,3,48,1.0,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
FW,1,3,51,1.0,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
FW,1,3,54,1.0,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
FW,1,3,57,1.0,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,60,1.0,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,63,1.0,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,66,1.0,1,6,6,837.0,0.0,837.0,837.0,0.0,0.0
FW,1,3,69,1.0,1,6,6,837.0,0.0,837.0,837.0,0.0,0.0
FW,1,3,72,1.0,1,6,6,837.0,0.0,837.0,837.0,0.0,0.0
FW,1,4,4,1.0,1,6,6,1700.0,1090.0,1378.0,1700.0,0.0,768.0
FW,1,4,7,1.0,1,6,6,1700.0,1090.0,1691.0,1700.0,0.0,1081.0
