etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,4,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,4,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,4,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,4,2,2,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,2,2,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,2,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,2,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,5,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,2,5,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,5,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,5,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,8,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,2,8,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,8,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,8,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,11,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,11,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,11,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,11,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,14,0.04167,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,2,14,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,14,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,14,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,17,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,17,0.04167,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,2,17,0.04167,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,2,17,0.04167,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,2,20,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,20,0.04167,1,ANGRA2,2,92.3,20.0,1846.0
FW,4,2,20,0.04167,1,ANGRA2,3,92.3,30.0,2769.0
FW,4,2,20,0.04167,1,ANGRA2,4,92.3,40.0,3692.0
FW,4,2,23,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,23,0.04167,1,ANGRA2,2,0.0,20.0,0.0
FW,4,2,23,0.04167,1,ANGRA2,3,0.0,30.0,0.0
FW,4,2,23,0.04167,1,ANGRA2,4,0.0,40.0,0.0
FW,4,2,26,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,26,0.04167,1,ANGRA2,2,169.3,20.0,3386.0
FW,4,2,26,0.04167,1,ANGRA2,3,169.3,30.0,5079.0
FW,4,2,26,0.04167,1,ANGRA2,4,169.3,40.0,6772.0
FW,4,2,29,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,29,0.04167,1,ANGRA2,2,120.3,20.0,2406.0
FW,4,2,29,0.04167,1,ANGRA2,3,120.3,30.0,3609.0
FW,4,2,29,0.04167,1,ANGRA2,4,120.3,40.0,4812.0
FW,4,2,32,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,32,0.04167,1,ANGRA2,2,95.3,20.0,1906.0
FW,4,2,32,0.04167,1,ANGRA2,3,95.3,30.0,2859.0
FW,4,2,32,0.04167,1,ANGRA2,4,95.3,40.0,3812.0
FW,4,2,35,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,35,0.04167,1,ANGRA2,2,199.0,20.0,3980.0
FW,4,2,35,0.04167,1,ANGRA2,3,199.0,30.0,5970.0
FW,4,2,35,0.04167,1,ANGRA2,4,199.0,40.0,7960.0
FW,4,2,38,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,38,0.04167,1,ANGRA2,2,456.0,20.0,9120.0
FW,4,2,38,0.04167,1,ANGRA2,3,456.0,30.0,13680.0
FW,4,2,38,0.04167,1,ANGRA2,4,456.0,40.0,18240.0
FW,4,2,41,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,41,0.04167,1,ANGRA2,2,346.3,20.0,6926.0
FW,4,2,41,0.04167,1,ANGRA2,3,346.3,30.0,10389.0
FW,4,2,41,0.04167,1,ANGRA2,4,346.3,40.0,13852.0
FW,4,2,44,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,44,0.04167,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,44,0.04167,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,44,0.04167,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,47,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,47,0.04167,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,47,0.04167,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,47,0.04167,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,50,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,50,0.04167,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,50,0.04167,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,50,0.04167,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,53,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,53,0.04167,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,53,0.04167,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,53,0.04167,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,56,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,56,0.04167,1,ANGRA2,2,454.7,20.0,9094.0
FW,4,2,56,0.04167,1,ANGRA2,3,454.7,30.0,13641.0
FW,4,2,56,0.04167,1,ANGRA2,4,454.7,40.0,18188.0
FW,4,2,59,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,59,0.04167,1,ANGRA2,2,345.7,20.0,6914.0
FW,4,2,59,0.04167,1,ANGRA2,3,345.7,30.0,10371.0
FW,4,2,59,0.04167,1,ANGRA2,4,345.7,40.0,13828.0
FW,4,2,62,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,62,0.04167,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,62,0.04167,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,62,0.04167,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,65,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,65,0.04167,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,65,0.04167,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,65,0.04167,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,68,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,68,0.04167,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,68,0.04167,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,68,0.04167,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,2,71,0.04167,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,2,71,0.04167,1,ANGRA2,2,500.0,20.0,10000.0
FW,4,2,71,0.04167,1,ANGRA2,3,500.0,30.0,15000.0
FW,4,2,71,0.04167,1,ANGRA2,4,500.0,40.0,20000.0
FW,4,3,3,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,3,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,3,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,3,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,6,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,6,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,6,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,6,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,9,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,9,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,9,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,9,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,12,1.0,1,ANGRA1,1,310.0,10.0,3100.0
FW,4,3,12,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,12,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,12,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,15,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,4,3,15,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,15,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,15,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,18,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,18,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,18,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,18,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,21,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,21,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,3,21,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,3,21,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,3,24,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,24,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,3,24,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,3,24,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,3,27,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,27,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,3,27,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,4,3,27,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,4,3,30,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,30,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,30,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,30,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,33,1.0,1,ANGRA1,1,455.0,10.0,4550.0
FW,4,3,33,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,33,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,33,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,36,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,36,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,36,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,36,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,39,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,39,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,39,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,39,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,42,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,42,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,42,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,42,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,45,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,45,1.0,1,ANGRA2,2,28.3,20.0,566.0
FW,4,3,45,1.0,1,ANGRA2,3,28.3,30.0,849.0
FW,4,3,45,1.0,1,ANGRA2,4,28.3,40.0,1132.0
FW,4,3,48,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,48,1.0,1,ANGRA2,2,151.0,20.0,3020.0
FW,4,3,48,1.0,1,ANGRA2,3,151.0,30.0,4530.0
FW,4,3,48,1.0,1,ANGRA2,4,151.0,40.0,6040.0
FW,4,3,51,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,51,1.0,1,ANGRA2,2,39.7,20.0,794.0
FW,4,3,51,1.0,1,ANGRA2,3,39.7,30.0,1191.0
FW,4,3,51,1.0,1,ANGRA2,4,39.7,40.0,1588.0
FW,4,3,54,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,54,1.0,1,ANGRA2,2,217.7,20.0,4354.0
FW,4,3,54,1.0,1,ANGRA2,3,217.7,30.0,6531.0
FW,4,3,54,1.0,1,ANGRA2,4,217.7,40.0,8708.0
FW,4,3,57,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,57,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,57,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,57,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,60,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,60,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,4,3,60,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,4,3,60,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,4,3,63,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,63,1.0,1,ANGRA2,2,29.0,20.0,580.0
FW,4,3,63,1.0,1,ANGRA2,3,29.0,30.0,870.0
FW,4,3,63,1.0,1,ANGRA2,4,29.0,40.0,1160.0
FW,4,3,66,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,4,3,66,1.0,1,ANGRA2,2,293.3,20.0,5866.0
FW,4,3,66,1.0,1,ANGRA2,3,293.3,30.0,8799.0
