etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,1,2,2,0.125,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,5,0.125,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,8,0.125,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,11,0.125,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,14,0.125,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,17,0.125,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,2,20,0.125,1,6,6,706.0,0.0,706.0,706.0,0.0,0.0
FW,1,2,23,0.125,1,6,6,1214.0,0.0,1214.0,1214.0,0.0,0.0
FW,1,3,3,1.0,1,6,6,1588.0000000000002,0.0,1588.0,1588.0000000000002,-2.2737367544323206e-13,0.0
FW,1,3,6,1.0,1,6,6,704.0,0.0,704.0,704.0,0.0,0.0
FW,1,3,9,1.0,1,6,6,837.0,0.0,837.0,837.0,0.0,0.0
FW,1,3,12,1.0,1,6,6,1700.0,0.0,1884.0,1700.0,0.0,184.0
FW,1,3,15,1.0,1,6,6,837.0,0.0,837.0,837.0,0.0,0.0
FW,1,3,18,1.0,1,6,6,1653.0,0.0,1653.0,1653.0,0.0,0.0
FW,1,3,21,1.0,1,6,6,468.0,0.0,468.0,468.0,0.0,0.0
FW,1,3,24,1.0,1,6,6,1137.0,0.0,1137.0,1137.0,0.0,0.0
FW,1,4,4,1.0,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,1,4,7,1.0,1,6,6,1169.0,0.0,1169.0,1169.0,0.0,0.0
FW,1,4,10,1.0,1,6,6,1691.0,0.0,1691.0,1691.0,0.0,0.0
FW,1,4,13,1.0,1,6,6,1353.0,184.0,1169.0,1353.0,0.0,0.0
FW,1,4,16,1.0,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,1,4,19,1.0,1,6,6,577.0,0.0,577.0,577.0,0.0,0.0
FW,1,4,22,1.0,1,6,6,429.0,0.0,429.0,429.0,0.0,0.0
FW,1,4,25,1.0,1,6,6,1129.0,0.0,1129.0,1129.0,0.0,0.0
FW,2,1,1,1.0,1,6,6,0.0,1000.0,0.0,0.0,0.0,1000.0
FW,2,2,2,0.125,1,6,6,1249.6666666666665,1000.0,1214.0,1249.6666666666665,0.0,964.3333333333334
FW,2,2,5,0.125,1,6,6,245.66666666666674,1000.0,706.0,245.66666666666674,0.0,1460.3333333333333
FW,2,2,8,0.125,1,6,6,1281.3333333333335,1000.0,1214.0,1281.3333333333335,0.0,932.6666666666666
FW,2,2,11,0.125,1,6,6,1425.6666666666665,1000.0,706.0,1425.6666666666665,0.0,280.33333333333337
FW,2,2,14,0.125,1,6,6,498.66666666666674,1000.0,1214.0,498.66666666666674,0.0,1715.3333333333333
FW,2,2,17,0.125,1,6,6,1110.6666666666667,1000.0,1214.0,1110.6666666666667,0.0,1103.3333333333333
FW,2,2,20,0.125,1,6,6,0.0,1000.0,706.0,0.0,0.0,1706.0
FW,2,2,23,0.125,1,6,6,1146.6666666666665,1000.0,1214.0,1146.6666666666665,0.0,1067.3333333333335
FW,2,3,3,1.0,1,6,6,1666.6666666666667,964.3333333333334,1588.0,1666.6666666666667,0.0,885.6666666666667
FW,2,3,6,1.0,1,6,6,1666.6666666666667,1460.3333333333333,704.0,1666.6666666666667,0.0,497.66666666666663
FW,2,3,9,1.0,1,6,6,1500.0,932.6666666666666,837.0,1500.0,0.0,269.66666666666646
FW,2,3,12,1.0,1,6,6,1666.6666666666667,280.33333333333337,1884.0,1666.6666666666667,0.0,497.6666666666667
FW,2,3,15,1.0,1,6,6,1666.6666666666663,1715.3333333333333,837.0,1666.6666666666663,0.0,885.6666666666667
FW,2,3,18,1.0,1,6,6,1666.6666666666667,1103.3333333333333,1653.0,1666.6666666666667,0.0,1089.6666666666665
FW,2,3,21,1.0,1,6,6,936.3333333333333,1706.0,468.0,936.3333333333333,0.0,1237.6666666666667
FW,2,3,24,1.0,1,6,6,1666.6666666666667,1067.3333333333335,1137.0,1666.6666666666667,0.0,537.6666666666667
