etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
BK,1,4,4,1.0,1,2000.0,1718.0,282.0,0.0,0.0,282.0,0.0,0.0,41540.0,30.0
BK,1,4,7,1.0,1,2000.0,831.0,1169.0,0.0,0.0,1169.0,0.0,0.0,14929.999999999998,30.0
BK,1,4,10,1.0,1,2000.0,1423.0,577.0,0.0,0.0,577.0,0.0,0.0,32689.999999999993,30.0
BK,1,4,13,1.0,1,2000.0,1043.0,957.0,0.0,0.0,957.0,0.0,0.0,21290.0,30.0
BK,1,4,16,1.0,1,2000.0,1112.0,888.0,0.0,0.0,888.0,0.0,0.0,23360.0,30.0
BK,1,4,19,1.0,1,2000.0,898.0,1102.0,0.0,0.0,805.0,297.0,0.0,16940.0,30.0
BK,1,4,22,1.0,1,2000.0,871.0,1129.0,0.0,0.0,1129.0,0.0,0.0,16130.000000000002,30.0
BK,1,4,25,1.0,1,2000.0,959.0,1041.0,0.0,0.0,1041.0,0.0,0.0,18770.0,30.0
BK,1,3,3,1.0,1,2000.0,2000.0,0.0,0.0,0.0,1137.0,0.0,1137.0,50000.0,30.0
BK,1,3,6,1.0,1,2000.0,1384.6666666666665,615.3333333333335,0.0,0.0,704.0,409.0,497.66666666666663,31539.999999999993,30.0
BK,1,3,9,1.0,1,2000.0,2000.0,0.0,0.0,0.0,468.0,0.0,468.0,50000.0,30.0
BK,1,3,12,1.0,1,2000.0,1832.6666666666663,167.33333333333337,0.0,0.0,468.0,409.0,709.6666666666666,44980.0,30.0
BK,1,3,15,1.0,1,2000.0,2000.0,0.0,0.0,0.0,704.0,0.0,704.0,50000.0,30.0
BK,1,3,18,1.0,1,2000.0,864.6666666666665,1135.3333333333335,0.0,0.0,1588.0,409.0,861.6666666666666,15939.999999999995,30.0
BK,1,3,21,1.0,1,2000.0,991.6666666666667,1008.3333333333333,0.0,0.0,1137.0,409.0,537.6666666666667,19750.0,30.0
BK,1,3,24,1.0,1,2000.0,972.6666666666665,1027.3333333333335,0.0,0.0,1653.0,0.0,625.6666666666666,19179.999999999993,30.0
BK,1,2,2,0.125,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,1,2,5,0.125,1,2000.0,1351.333333333333,648.666666666667,0.0,0.0,2109.0,0.0,1460.333333333333,30539.999999999996,30.0
BK,1,2,8,0.125,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
BK,1,2,11,0.125,1,2000.0,1799.3333333333333,200.66666666666674,0.0,0.0,2109.0,0.0,1908.3333333333333,43980.0,30.0
BK,1,2,14,0.125,1,2000.0,2000.0,0.0,0.0,0.0,1214.0,0.0,1214.0,50000.0,30.0
BK,1,2,17,0.125,1,2000.0,831.333333333333,1168.666666666667,0.0,0.0,2109.0,0.0,940.3333333333331,14939.99999999999,30.0
BK,1,2,20,0.125,1,2000.0,958.3333333333333,1041.6666666666667,0.0,0.0,2109.0,0.0,1067.3333333333333,18750.0,30.0
BK,1,2,23,0.125,1,2000.0,1933.3333333333328,66.66666666666697,0.0,0.0,706.0,0.0,639.3333333333331,47999.999999999985,30.0
BK,1,1,1,1.0,1,2000.0,2000.0,0.0,0.0,0.0,0.0,1000.0,1000.0,50000.0,30.0
BK,2,4,4,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,282.0,1384.6666666666667,0.0,3333.3333333333326,10.0
BK,2,4,7,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,1169.0,497.66666666666663,0.0,3333.333333333329,10.0
BK,2,4,10,1.0,1,2000.0,333.33333333333326,1666.6666666666667,0.0,0.0,577.0,1089.6666666666665,0.0,3333.333333333329,10.0
