iter,est,no,usina,Indep,Coef
1,4,4,6,41540.0,-30.0
1,4,7,6,14929.999999999998,-30.0
1,4,10,6,32689.999999999993,-30.0
1,4,13,6,21290.0,-30.0
1,4,16,6,23360.0,-30.0
1,4,19,6,25850.0,-30.0
1,4,22,6,16130.000000000002,-30.0
1,4,25,6,18770.0,-30.0
1,3,3,6,57430.0,-30.0
1,3,6,6,43809.99999999999,-30.0
1,3,9,6,68650.0,-30.0
1,3,12,6,57250.0,-30.0
1,3,15,6,52240.0,-30.0
1,3,18,6,28209.999999999993,-30.0
1,3,21,6,32020.0,-30.0
1,3,24,6,19179.999999999993,-30.0
1,2,2,6,86250.0,-30.0
1,2,5,6,30539.999999999996,-30.0
1,2,8,6,97470.0,-30.0
1,2,11,6,43980.0,-30.0
1,2,14,6,65820.0,-30.0
1,2,17,6,14939.99999999999,-30.0
1,2,20,6,18750.0,-30.0
1,2,23,6,47999.999999999985,-30.0
1,1,1,6,100718.75,-30.0
2,4,4,6,17179.999999999996,-9.999999999999998
2,4,7,6,8309.999999999995,-9.999999999999998
2,4,10,6,14229.99999999999,-9.999999999999998
2,4,13,6,10429.999999999995,-9.999999999999998
2,4,16,6,11119.999999999995,-9.999999999999998
2,4,19,6,3000.0,0.0
2,4,22,6,3000.0,0.0
2,4,25,6,9589.999999999995,-9.999999999999998
2,3,3,6,25809.999999999993,-9.999999999999996
2,3,6,6,21269.999999999985,-9.999999999999996
2,3,9,6,68650.0,-30.0
2,3,12,6,25749.999999999985,-9.999999999999996
2,3,15,6,24079.999999999985,-9.999999999999996
2,3,18,6,6000.0,0.0
2,3,21,6,6000.0,0.0
2,3,24,6,13059.999999999989,-9.999999999999996
2,2,2,6,86250.0,-30.0
2,2,5,6,20179.99999999999,-9.999999999999996
2,2,8,6,97470.0,-30.0
2,2,11,6,24659.999999999985,-9.999999999999996
2,2,14,6,65820.0,-30.000000000000004
2,2,17,6,9000.0,0.0
2,2,20,6,9000.0,0.0
2,2,23,6,47999.999999999985,-30.0
2,1,1,6,100718.75,-30.0
3,4,4,6,41540.0,-30.0
3,4,7,6,14930.000000000004,-30.0
3,4,10,6,32690.0,-30.0
3,4,13,6,21290.0,-30.0
3,4,16,6,23360.0,-30.0
3,4,19,6,11950.0,-9.999999999999998
3,4,22,6,8709.999999999993,-9.999999999999998
3,4,25,6,18770.0,-30.0
3,3,3,6,57430.0,-30.0
3,3,6,6,43809.99999999999,-30.0
3,3,9,6,68650.0,-30.0
3,3,12,6,57249.99999999999,-30.0
3,3,15,6,52239.99999999999,-30.0
3,3,18,6,16070.000000000002,-10.0
3,3,21,6,17339.999999999985,-9.999999999999996
3,3,24,6,19179.999999999993,-30.0
3,2,2,6,86250.0,-30.0
3,2,5,6,30539.999999999993,-30.0
3,2,8,6,97470.0,-30.0
3,2,11,6,43980.00000000001,-30.000000000000004
3,2,14,6,65820.0,-30.0
3,2,17,6,14980.000000000004,-10.0
3,2,20,6,16249.999999999993,-9.999999999999996
3,2,23,6,48000.0,-30.000000000000004
3,1,1,6,100718.75,-30.0
4,4,4,6,41540.0,-30.0
4,4,7,6,14930.000000000004,-30.0
4,4,10,6,32690.0,-30.0
4,4,13,6,21290.0,-30.0
4,4,16,6,23360.0,-30.0
4,4,19,6,11950.0,-9.999999999999998
4,4,22,6,16129.999999999998,-30.0
4,4,25,6,18770.0,-30.0
4,3,3,6,57430.0,-30.0
4,3,6,6,43809.99999999999,-30.0
4,3,9,6,68650.0,-30.0
4,3,12,6,57249.99999999999,-30.0
4,3,15,6,52240.0,-30.0
4,3,18,6,16070.0,-9.999999999999998
4,3,21,6,32020.000000000004,-30.0
4,3,24,6,19179.999999999996,-30.0
4,2,2,6,86250.0,-30.0
4,2,5,6,30539.999999999985,-30.0
4,2,8,6,97470.0,-30.0
4,2,11,6,43980.0,-30.000000000000004
4,2,14,6,65820.0,-30.0
4,2,17,6,14980.0,-10.0
4,2,20,6,18749.999999999996,-30.0
4,2,23,6,48000.0,-30.000000000000004
4,1,1,6,100723.75,-30.0
