iter,est,noUso,usina,Indep,Coef
1,1,1,6,50718.75,-30.0
2,1,1,6,45047.5,-17.5
3,1,1,6,50411.25,-25.0
4,1,1,6,50723.75,-27.5
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,2,6,57430.0,-30.0
2,2,2,6,25809.999999999993,-9.999999999999996
3,2,2,6,57430.0,-30.0
4,2,2,6,57430.0,-30.0
5,2,2,6,0.0,0.0
6,2,2,6,0.0,0.0
7,2,2,6,0.0,0.0
8,2,2,6,0.0,0.0
9,2,2,6,0.0,0.0
10,2,2,6,0.0,0.0
1,2,5,6,43809.99999999999,-30.0
2,2,5,6,21269.999999999985,-9.999999999999996
3,2,5,6,43809.99999999999,-30.0
4,2,5,6,43809.99999999999,-30.0
5,2,5,6,0.0,0.0
6,2,5,6,0.0,0.0
7,2,5,6,0.0,0.0
8,2,5,6,0.0,0.0
9,2,5,6,0.0,0.0
10,2,5,6,0.0,0.0
1,2,8,6,68650.0,-30.0
2,2,8,6,68650.0,-30.0
3,2,8,6,68650.0,-30.0
4,2,8,6,68650.0,-30.0
5,2,8,6,0.0,0.0
6,2,8,6,0.0,0.0
7,2,8,6,0.0,0.0
8,2,8,6,0.0,0.0
9,2,8,6,0.0,0.0
10,2,8,6,0.0,0.0
1,2,11,6,57250.0,-30.0
2,2,11,6,25749.999999999985,-9.999999999999996
3,2,11,6,57249.99999999999,-30.0
4,2,11,6,57249.99999999999,-30.0
5,2,11,6,0.0,0.0
6,2,11,6,0.0,0.0
7,2,11,6,0.0,0.0
8,2,11,6,0.0,0.0
9,2,11,6,0.0,0.0
10,2,11,6,0.0,0.0
1,2,14,6,52240.0,-30.0
2,2,14,6,24079.999999999985,-9.999999999999996
3,2,14,6,52239.99999999999,-30.0
4,2,14,6,52240.0,-30.0
5,2,14,6,0.0,0.0
6,2,14,6,0.0,0.0
7,2,14,6,0.0,0.0
8,2,14,6,0.0,0.0
9,2,14,6,0.0,0.0
10,2,14,6,0.0,0.0
1,2,17,6,28209.999999999993,-30.0
2,2,17,6,6000.0,0.0
3,2,17,6,16070.000000000002,-10.0
4,2,17,6,16070.0,-9.999999999999998
5,2,17,6,0.0,0.0
6,2,17,6,0.0,0.0
7,2,17,6,0.0,0.0
8,2,17,6,0.0,0.0
9,2,17,6,0.0,0.0
10,2,17,6,0.0,0.0
1,2,20,6,32020.0,-30.0
2,2,20,6,6000.0,0.0
3,2,20,6,17339.999999999985,-9.999999999999996
4,2,20,6,32020.000000000004,-30.0
5,2,20,6,0.0,0.0
6,2,20,6,0.0,0.0
7,2,20,6,0.0,0.0
8,2,20,6,0.0,0.0
9,2,20,6,0.0,0.0
10,2,20,6,0.0,0.0
1,2,23,6,19179.999999999993,-30.0
2,2,23,6,13059.999999999989,-9.999999999999996
3,2,23,6,19179.999999999993,-30.0
4,2,23,6,19179.999999999996,-30.0
5,2,23,6,0.0,0.0
6,2,23,6,0.0,0.0
7,2,23,6,0.0,0.0
8,2,23,6,0.0,0.0
9,2,23,6,0.0,0.0
10,2,23,6,0.0,0.0
1,3,3,6,41540.0,-30.0
2,3,3,6,17179.999999999996,-9.999999999999998
3,3,3,6,41540.0,-30.0
4,3,3,6,41540.0,-30.0
5,3,3,6,0.0,0.0
6,3,3,6,0.0,0.0
7,3,3,6,0.0,0.0
8,3,3,6,0.0,0.0
9,3,3,6,0.0,0.0
10,3,3,6,0.0,0.0
1,3,6,6,14929.999999999998,-30.0
2,3,6,6,8309.999999999995,-9.999999999999998
3,3,6,6,14930.000000000004,-30.0
4,3,6,6,14930.000000000004,-30.0
5,3,6,6,0.0,0.0
6,3,6,6,0.0,0.0
7,3,6,6,0.0,0.0
8,3,6,6,0.0,0.0
9,3,6,6,0.0,0.0
10,3,6,6,0.0,0.0
1,3,9,6,32689.999999999993,-30.0
2,3,9,6,14229.99999999999,-9.999999999999998
3,3,9,6,32690.0,-30.0
4,3,9,6,32690.0,-30.0
5,3,9,6,0.0,0.0
6,3,9,6,0.0,0.0
7,3,9,6,0.0,0.0
8,3,9,6,0.0,0.0
9,3,9,6,0.0,0.0
10,3,9,6,0.0,0.0
1,3,12,6,21290.0,-30.0
2,3,12,6,10429.999999999995,-9.999999999999998
3,3,12,6,21290.0,-30.0
4,3,12,6,21290.0,-30.0
5,3,12,6,0.0,0.0
6,3,12,6,0.0,0.0
7,3,12,6,0.0,0.0
8,3,12,6,0.0,0.0
9,3,12,6,0.0,0.0
10,3,12,6,0.0,0.0
1,3,15,6,23360.0,-30.0
2,3,15,6,11119.999999999995,-9.999999999999998
3,3,15,6,23360.0,-30.0
4,3,15,6,23360.0,-30.0
5,3,15,6,0.0,0.0
6,3,15,6,0.0,0.0
7,3,15,6,0.0,0.0
8,3,15,6,0.0,0.0
9,3,15,6,0.0,0.0
10,3,15,6,0.0,0.0
1,3,18,6,25850.0,-30.0
2,3,18,6,3000.0,0.0
3,3,18,6,11950.0,-9.999999999999998
4,3,18,6,11950.0,-9.999999999999998
5,3,18,6,0.0,0.0
6,3,18,6,0.0,0.0
7,3,18,6,0.0,0.0
8,3,18,6,0.0,0.0
9,3,18,6,0.0,0.0
10,3,18,6,0.0,0.0
1,3,21,6,16130.000000000002,-30.0
2,3,21,6,3000.0,0.0
3,3,21,6,8709.999999999993,-9.999999999999998
4,3,21,6,16129.999999999998,-30.0
5,3,21,6,0.0,0.0
6,3,21,6,0.0,0.0
7,3,21,6,0.0,0.0
8,3,21,6,0.0,0.0
9,3,21,6,0.0,0.0
10,3,21,6,0.0,0.0
1,3,24,6,18770.0,-30.0
2,3,24,6,9589.999999999995,-9.999999999999998
3,3,24,6,18770.0,-30.0
4,3,24,6,18770.0,-30.0
5,3,24,6,0.0,0.0
6,3,24,6,0.0,0.0
7,3,24,6,0.0,0.0
8,3,24,6,0.0,0.0
9,3,24,6,0.0,0.0
10,3,24,6,0.0,0.0
