etapa,iter,est,node,prob,Submercado,Demanda,GT,GH,Deficit,Excesso,AFL,Vini,VolArm,CustoPresente,CMO
FW,4,1,1,1.0,1,2000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,20000.0,30.0
FW,4,2,2,0.125,1,2000.0,2000.0,0.0,0.0,0.0,706.0,0.0,706.0,50000.0,30.0
FW,4,2,5,0.125,1,2000.0,1979.0,20.999999999999996,0.0,0.0,2109.0,0.0,2088.0,49370.0,30.0
FW,4,2,8,0.125,1,2000.0,1672.0000000000002,327.9999999999998,0.0,0.0,1214.0,0.0,886.0000000000002,40160.00000000001,30.0
FW,4,2,11,0.125,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,2109.0,0.0,609.0,4999.9999999999945,10.0
FW,4,2,14,0.125,1,2000.0,786.0,1214.0,0.0,0.0,1214.0,0.0,0.0,13579.999999999998,30.0
FW,4,2,17,0.125,1,2000.0,500.0,1500.0,0.0,0.0,2109.0,0.0,609.0,5000.0,10.0
FW,4,2,20,0.125,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,2109.0,0.0,608.9999999999998,4999.9999999999945,10.0
FW,4,2,23,0.125,1,2000.0,512.0,1488.0,0.0,0.0,2109.0,0.0,621.0000000000002,5360.0,30.0
FW,4,3,3,1.0,1,2000.0,1309.0,690.9999999999999,0.0,0.0,704.0,706.0,719.0000000000002,29270.000000000007,30.0
FW,4,3,6,1.0,1,2000.0,500.0,1500.0,0.0,0.0,468.0,2088.0,1056.0,5000.0,30.0
FW,4,3,9,1.0,1,2000.0,500.0,1500.0,0.0,0.0,1157.0,886.0000000000002,543.0000000000002,5000.0,30.0
FW,4,3,12,1.0,1,2000.0,500.0,1500.0,0.0,0.0,1588.0,609.0,697.0,5000.0,10.0
FW,4,3,15,1.0,1,2000.0,431.0000000000002,1568.9999999999998,0.0,0.0,2381.0,0.0,812.0000000000001,4310.000000000002,10.0
FW,4,3,18,1.0,1,2000.0,500.0,1500.0,0.0,0.0,1588.0,609.0,697.0,5000.0,10.0
FW,4,3,21,1.0,1,2000.0,327.99999999999955,1672.0000000000005,0.0,0.0,1653.0,608.9999999999998,589.9999999999997,3279.9999999999955,10.0
FW,4,3,24,1.0,1,2000.0,500.0,1500.0,0.0,0.0,1653.0,621.0000000000002,774.0000000000002,5000.0,30.0
FW,4,4,4,1.0,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,781.0,719.0000000000002,0.0,4999.9999999999945,30.0
FW,4,4,7,1.0,1,2000.0,500.0,1500.0,0.0,0.0,444.0,1056.0,0.0,5000.0,30.0
FW,4,4,10,1.0,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,957.0,543.0000000000002,0.0,4999.9999999999945,30.0
FW,4,4,13,1.0,1,2000.0,414.9999999999998,1585.0000000000002,0.0,0.0,888.0,697.0,0.0,4149.9999999999945,10.0
FW,4,4,16,1.0,1,2000.0,300.0,1700.0,0.0,0.0,888.0,812.0000000000001,0.0,3000.0,10.0
FW,4,4,19,1.0,1,2000.0,345.9999999999998,1654.0000000000002,0.0,0.0,957.0,697.0,0.0,3459.999999999994,10.0
FW,4,4,22,1.0,1,2000.0,300.00000000000045,1699.9999999999995,0.0,0.0,1110.0,589.9999999999997,0.0,3000.0000000000045,10.0
FW,4,4,25,1.0,1,2000.0,499.9999999999998,1500.0000000000002,0.0,0.0,726.0,774.0000000000002,0.0,4999.9999999999945,30.0
