etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,3,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,3,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,3,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,3,2,8,0.11099999999999999,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,2,8,0.11099999999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,3,2,8,0.11099999999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,3,2,8,0.11099999999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,3,2,17,0.11099999999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,17,0.11099999999999999,1,ANGRA2,2,0.0,20.0,0.0
FW,3,2,17,0.11099999999999999,1,ANGRA2,3,0.0,30.0,0.0
FW,3,2,17,0.11099999999999999,1,ANGRA2,4,0.0,40.0,0.0
FW,3,2,26,0.11099999999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,26,0.11099999999999999,1,ANGRA2,2,169.3,20.0,3386.0
FW,3,2,26,0.11099999999999999,1,ANGRA2,3,169.3,30.0,5079.0
FW,3,2,26,0.11099999999999999,1,ANGRA2,4,169.3,40.0,6772.0
FW,3,2,35,0.11099999999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,35,0.11099999999999999,1,ANGRA2,2,199.0,20.0,3980.0
FW,3,2,35,0.11099999999999999,1,ANGRA2,3,199.0,30.0,5970.0
FW,3,2,35,0.11099999999999999,1,ANGRA2,4,199.0,40.0,7960.0
FW,3,2,44,0.11099999999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,44,0.11099999999999999,1,ANGRA2,2,500.0,20.0,10000.0
FW,3,2,44,0.11099999999999999,1,ANGRA2,3,500.0,30.0,15000.0
FW,3,2,44,0.11099999999999999,1,ANGRA2,4,500.0,40.0,20000.0
FW,3,2,50,0.11099999999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,50,0.11099999999999999,1,ANGRA2,2,500.0,20.0,10000.0
FW,3,2,50,0.11099999999999999,1,ANGRA2,3,500.0,30.0,15000.0
FW,3,2,50,0.11099999999999999,1,ANGRA2,4,500.0,40.0,20000.0
FW,3,2,62,0.11099999999999999,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,62,0.11099999999999999,1,ANGRA2,2,500.0,20.0,10000.0
FW,3,2,62,0.11099999999999999,1,ANGRA2,3,500.0,30.0,15000.0
FW,3,2,62,0.11099999999999999,1,ANGRA2,4,500.0,40.0,20000.0
FW,3,2,71,0.222,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,71,0.222,1,ANGRA2,2,500.0,20.0,10000.0
FW,3,2,71,0.222,1,ANGRA2,3,500.0,30.0,15000.0
FW,3,2,71,0.222,1,ANGRA2,4,500.0,40.0,20000.0
FW,3,3,9,1.0,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,3,9,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,9,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,9,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,18,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,18,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,18,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,18,1.0,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,27,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,27,1.0,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,3,27,1.0,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,3,27,1.0,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,3,36,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,36,1.0,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,36,1.0,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,36,1.0,1,ANGRA2,4,0.0,40.0,0.0
