iter,est,no,usina,Indep,Coef
1,4,4,6,3000.0,0.0
1,4,7,6,3000.0,0.0
1,4,10,6,3000.0,0.0
1,4,13,6,16159.999999999998,-30.0
1,4,16,6,3000.0,0.0
1,4,19,6,23360.0,-30.0
1,4,22,6,21290.0,-30.0
1,4,25,6,11599.999999999998,-30.0
1,3,3,6,6000.0,0.0
1,3,6,6,6000.0,0.0
1,3,9,6,6000.0,0.0
1,3,12,6,8856.666666666664,-10.0
1,3,15,6,6000.0,0.0
1,3,18,6,23769.999999999996,-30.0
1,3,21,6,36580.0,-30.0
1,3,24,6,26889.999999999996,-30.0
1,2,2,6,9000.0,0.0
1,2,5,6,9000.0,0.0
1,2,8,6,9000.0,0.0
1,2,11,6,7766.666666666665,-10.0
1,2,14,6,9000.0,0.0
1,2,17,6,10499.999999999998,-30.0
1,2,20,6,23309.999999999993,-30.0
1,2,23,6,13619.999999999989,-30.0
1,1,1,6,61399.58333333333,-30.0
2,4,4,6,3000.0,0.0
2,4,7,6,3000.0,0.0
2,4,10,6,3000.0,0.0
2,4,13,6,8719.999999999995,-9.999999999999998
2,4,16,6,3000.0,0.0
2,4,19,6,11119.999999999995,-9.999999999999998
2,4,22,6,10429.999999999995,-9.999999999999998
2,4,25,6,7199.9999999999945,-9.999999999999998
2,3,3,6,6000.0,0.0
2,3,6,6,6000.0,0.0
2,3,9,6,6000.0,0.0
2,3,12,6,12189.999999999993,-9.999999999999996
2,3,15,6,6000.0,0.0
2,3,18,6,14589.999999999989,-9.999999999999996
2,3,21,6,18859.99999999999,-9.999999999999996
2,3,24,6,15629.999999999989,-9.999999999999996
2,2,2,6,9000.0,0.0
2,2,5,6,9000.0,0.0
2,2,8,6,9000.0,0.0
2,2,11,6,11099.999999999996,-9.999999999999996
2,2,14,6,9000.0,0.0
2,2,17,6,13499.999999999993,-9.999999999999996
2,2,20,6,23310.000000000004,-30.0
2,2,23,6,14539.99999999999,-9.999999999999996
2,1,1,6,62306.25,-30.0
3,4,4,6,3000.0,0.0
3,4,7,6,3000.0,0.0
3,4,10,6,3000.0,0.0
3,4,13,6,3000.0,0.0
3,4,16,6,3000.0,0.0
3,4,19,6,11120.0,-9.999999999999998
3,4,22,6,21290.0,-30.0
3,4,25,6,7199.9999999999945,-9.999999999999998
3,3,3,6,6000.0,0.0
3,3,6,6,6000.0,0.0
3,3,9,6,6000.0,0.0
3,3,12,6,12189.999999999995,-10.0
3,3,15,6,6000.0,0.0
3,3,18,6,14589.999999999993,-9.999999999999998
3,3,21,6,36579.999999999985,-30.0
3,3,24,6,15629.999999999989,-9.999999999999998
3,2,2,6,9000.0,0.0
3,2,5,6,9000.0,0.0
3,2,8,6,9000.0,0.0
3,2,11,6,11099.999999999996,-9.999999999999998
3,2,14,6,9000.0,0.0
3,2,17,6,13499.99999999999,-9.999999999999998
3,2,20,6,23310.000000000004,-30.0
3,2,23,6,14539.999999999989,-9.999999999999998
3,1,1,6,62306.25,-30.0
