"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_BKA_8_1_1";4;8;6;900,741;718,444;1,96;131,37;769,371;1032,111;348,281;240,241;274,277;477,295;41,923;13,844;0,241;0,09;-0,593;-1,066;190;0,249;0,865;0,128;0,275;0,206;0,491;0,516;0,336
"2";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_BKA_8_1_1";3;8;6;1312,111;1353,111;1,96;218,668;1093,444;1530,779;579,72;529,439;456,539;794,467;41,923;13,844;0,3;0,531;-0,906;-0,836;41;0,101;1;0,862;0,972;0,855;0,872;0,722;0,65
"3";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_BKA_8_1_1";2;8;6;1343;1343;1,96;218,77;1124,23;1561,77;579,99;579,99;456,752;794,837;41,923;13,844;0,323;0,323;-1,5;-1,5;0;0;1;1;0,842;0,974;0,996;0,995;0,723
"4";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_modelo_8cen";4;8;6;900,741;1237,25;1,96;131,37;769,371;1032,111;348,281;248,921;274,277;477,295;41,923;13,844;0,241;0,311;-0,593;-0,85;336,509;0,471;0,129;0,011;0,441;0,351;0,479;0,511;0,019
"5";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_modelo_8cen";3;8;6;1312,111;1802;1,96;218,668;1093,444;1530,779;579,72;487,901;456,539;794,467;41,923;13,844;0,3;0,038;-0,906;-1,489;489,889;0,434;0,194;0,042;0,78;0,547;0,517;0,586;0,034
"6";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_modelo_8cen";2;8;6;1343;2109;1,96;218,77;1124,23;1561,77;579,99;0;456,752;794,837;41,923;13,844;0,323;NA;-1,5;NA;766;0,657;0,01;1;0;0,001;0,523;0,46;0,002
"7";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_1";4;8;6;900,741;965,75;1,96;131,37;769,371;1032,111;348,281;377,947;274,277;477,295;41,923;13,844;0,241;0,409;-0,593;-0,617;95,13;0,231;0,898;0,69;0,582;0,644;0,666;0,769;0,709
"8";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_1";3;8;6;1312,111;1138,5;1,96;218,668;1093,444;1530,779;579,72;479,935;456,539;794,467;41,923;13,844;0,3;0,23;-0,906;-1,412;173,611;0,171;0,994;0,432;0,741;0,683;0,545;0,568;0,489
"9";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_1";2;8;6;1343;1023,5;1,96;218,77;1124,23;1561,77;579,99;245,934;456,752;794,837;41,923;13,844;0,323;-0,516;-1,5;-1,733;319,5;0,323;0,539;0,038;0,034;0,06;0,511;0,419;0,267
"10";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_2";4;8;6;900,741;856;1,96;131,37;769,371;1032,111;348,281;280,149;274,277;477,295;41,923;13,844;0,241;-0,867;-0,593;-0,341;99,222;0,175;0,991;0,728;0,675;0,417;0,695;0,561;0,953
"11";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_2";3;8;6;1312,111;982,375;1,96;218,668;1093,444;1530,779;579,72;439,955;456,539;794,467;41,923;13,844;0,3;0,317;-0,906;-1,365;329,736;0,296;0,654;0,124;0,553;0,519;0,506;0,563;0,128
"12";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_2";2;8;6;1343;1471;1,96;218,77;1124,23;1561,77;579,99;656,687;456,752;794,837;41,923;13,844;0,323;-0,142;-1,5;-1,861;170,333;0,157;0,998;0,649;0,486;0,239;0,704;0,474;0,723
"13";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_3";4;8;6;900,741;797,625;1,96;131,37;769,371;1032,111;348,281;450,491;274,277;477,295;41,923;13,844;0,241;0,399;-0,593;-1,622;191,014;0,356;0,416;0,587;0,243;0,335;0,638;0,402;0,443
"14";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_3";3;8;6;1312,111;1442,625;1,96;218,668;1093,444;1530,779;579,72;502,131;456,539;794,467;41,923;13,844;0,3;0,195;-0,906;-0,599;175,431;0,171;0,994;0,566;0,849;0,468;0,562;0,645;0,649
"15";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_3";2;8;6;1343;1374,25;1,96;218,77;1124,23;1561,77;579,99;454,79;456,752;794,837;41,923;13,844;0,323;0,63;-1,5;-0,705;180,417;0,198;0,968;0,882;0,62;0,25;0,888;0,536;0,722
"16";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_4";4;8;6;900,741;1065,75;1,96;131,37;769,371;1032,111;348,281;317,772;274,277;477,295;41,923;13,844;0,241;-0,387;-0,593;-1,331;183,083;0,319;0,558;0,256;0,98;0,785;0,525;0,69;0,246
"17";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_4";3;8;6;1312,111;1439,75;1,96;218,668;1093,444;1530,779;579,72;632,353;456,539;794,467;41,923;13,844;0,3;0,404;-0,906;-1,329;154,861;0,129;1;0,64;0,57;0,594;0,645;0,642;0,737
"18";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_4";2;8;6;1343;1247,25;1,96;218,77;1124,23;1561,77;579,99;543,99;456,752;794,837;41,923;13,844;0,323;0,624;-1,5;-1,058;95,75;0,073;1;0,691;0,949;0,725;0,731;0,733;0,723
"19";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_5";4;8;6;900,741;843,875;1,96;131,37;769,371;1032,111;348,281;186,433;274,277;477,295;41,923;13,844;0,241;-0,847;-0,593;0,221;151,134;0,286;0,692;0,568;0,119;0,061;0,622;0,493;0,723
"20";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_5";3;8;6;1312,111;1399;1,96;218,668;1093,444;1530,779;579,72;567,136;456,539;794,467;41,923;13,844;0,3;-0,112;-0,906;-0,669;145,75;0,184;0,985;0,727;0,84;0,677;0,744;0,93;0,737
"21";"3Aberturas_Equiprovavel/Pente_8cen";"Pente_Amostrado_5";2;8;6;1343;1709,875;1,96;218,77;1124,23;1561,77;579,99;535,73;456,752;794,837;41,923;13,844;0,323;-0,762;-1,5;-1,083;366,875;0,282;0,712;0,141;0,988;0,69;0,508;0,704;0,138
