iter,est,noUso,usina,Indep,Coef
1,1,1,6,48153.156666666655,-24.789999999999992
2,1,1,6,48421.529999999984,-23.30999999999999
3,1,1,6,48421.529999999984,-23.30999999999999
4,1,1,6,0.0,0.0
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,2,6,6000.0,0.0
2,2,2,6,6000.0,0.0
3,2,2,6,6000.0,0.0
4,2,2,6,0.0,0.0
5,2,2,6,0.0,0.0
6,2,2,6,0.0,0.0
7,2,2,6,0.0,0.0
8,2,2,6,0.0,0.0
9,2,2,6,0.0,0.0
10,2,2,6,0.0,0.0
1,2,5,6,6000.0,0.0
2,2,5,6,6000.0,0.0
3,2,5,6,6000.0,0.0
4,2,5,6,0.0,0.0
5,2,5,6,0.0,0.0
6,2,5,6,0.0,0.0
7,2,5,6,0.0,0.0
8,2,5,6,0.0,0.0
9,2,5,6,0.0,0.0
10,2,5,6,0.0,0.0
1,2,8,6,6000.0,0.0
2,2,8,6,6000.0,0.0
3,2,8,6,6000.0,0.0
4,2,8,6,0.0,0.0
5,2,8,6,0.0,0.0
6,2,8,6,0.0,0.0
7,2,8,6,0.0,0.0
8,2,8,6,0.0,0.0
9,2,8,6,0.0,0.0
10,2,8,6,0.0,0.0
1,2,11,6,8856.666666666664,-10.0
2,2,11,6,12189.999999999993,-9.999999999999996
3,2,11,6,12189.999999999995,-10.0
4,2,11,6,0.0,0.0
5,2,11,6,0.0,0.0
6,2,11,6,0.0,0.0
7,2,11,6,0.0,0.0
8,2,11,6,0.0,0.0
9,2,11,6,0.0,0.0
10,2,11,6,0.0,0.0
1,2,14,6,6000.0,0.0
2,2,14,6,6000.0,0.0
3,2,14,6,6000.0,0.0
4,2,14,6,0.0,0.0
5,2,14,6,0.0,0.0
6,2,14,6,0.0,0.0
7,2,14,6,0.0,0.0
8,2,14,6,0.0,0.0
9,2,14,6,0.0,0.0
10,2,14,6,0.0,0.0
1,2,17,6,23769.999999999996,-30.0
2,2,17,6,14589.999999999989,-9.999999999999996
3,2,17,6,14589.999999999993,-9.999999999999998
4,2,17,6,0.0,0.0
5,2,17,6,0.0,0.0
6,2,17,6,0.0,0.0
7,2,17,6,0.0,0.0
8,2,17,6,0.0,0.0
9,2,17,6,0.0,0.0
10,2,17,6,0.0,0.0
1,2,20,6,36580.0,-30.0
2,2,20,6,18859.99999999999,-9.999999999999996
3,2,20,6,36579.999999999985,-30.0
4,2,20,6,0.0,0.0
5,2,20,6,0.0,0.0
6,2,20,6,0.0,0.0
7,2,20,6,0.0,0.0
8,2,20,6,0.0,0.0
9,2,20,6,0.0,0.0
10,2,20,6,0.0,0.0
1,2,23,6,26889.999999999996,-30.0
2,2,23,6,15629.999999999989,-9.999999999999996
3,2,23,6,15629.999999999989,-9.999999999999998
4,2,23,6,0.0,0.0
5,2,23,6,0.0,0.0
6,2,23,6,0.0,0.0
7,2,23,6,0.0,0.0
8,2,23,6,0.0,0.0
9,2,23,6,0.0,0.0
10,2,23,6,0.0,0.0
