NOME_UHE,NO,VAZAO
6,1,0.0
156,1,0.0
275,1,0.0
6,2,1522.0
156,2,579.0
275,2,12195.0
6,3,1259.0
156,3,1230.0
275,3,14298.0
6,4,1296.0
156,4,843.0
275,4,17555.0
6,5,1522.0
156,5,579.0
275,5,12195.0
6,6,1259.0
156,6,1230.0
275,6,14298.0
6,7,876.0
156,7,887.0
275,7,20593.0
6,8,1522.0
156,8,579.0
275,8,12195.0
6,9,1259.0
156,9,1230.0
275,9,14298.0
6,10,621.0
156,10,354.0
275,10,11796.0
6,11,1522.0
156,11,579.0
275,11,12195.0
6,12,2364.0
156,12,1025.0
275,12,16418.0
6,13,1659.0
156,13,761.0
275,13,19063.0
6,14,1522.0
156,14,579.0
275,14,12195.0
6,15,2364.0
156,15,1025.0
275,15,16418.0
6,16,1257.0
156,16,805.0
275,16,22080.0
6,17,1522.0
156,17,579.0
275,17,12195.0
6,18,2364.0
156,18,1025.0
275,18,16418.0
6,19,977.0
156,19,291.0
275,19,13138.0
6,20,1522.0
156,20,579.0
275,20,12195.0
6,21,774.0
156,21,289.0
275,21,18239.0
6,22,1139.0
156,22,436.0
275,22,20348.0
6,23,1522.0
156,23,579.0
275,23,12195.0
6,24,774.0
156,24,289.0
275,24,18239.0
6,25,707.0
156,25,480.0
275,25,23348.0
6,26,1522.0
156,26,579.0
275,26,12195.0
6,27,774.0
156,27,289.0
275,27,18239.0
6,28,471.0
156,28,107.0
275,28,14306.0
6,29,1440.0
156,29,1574.0
275,29,24706.0
6,30,1212.0
156,30,1663.0
275,30,23482.0
6,31,1266.0
156,31,1154.0
275,31,23747.0
6,32,1440.0
156,32,1574.0
275,32,24706.0
6,33,1212.0
156,33,1663.0
275,33,23482.0
6,34,844.0
156,34,1195.0
275,34,26703.0
6,35,1440.0
156,35,1574.0
275,35,24706.0
6,36,1212.0
156,36,1663.0
275,36,23482.0
6,37,592.0
156,37,619.0
275,37,17471.0
6,38,1440.0
156,38,1574.0
275,38,24706.0
6,39,2322.0
156,39,1465.0
275,39,25741.0
6,40,1630.0
156,40,1078.0
275,40,25314.0
6,41,1440.0
156,41,1574.0
275,41,24706.0
6,42,2322.0
156,42,1465.0
275,42,25741.0
6,43,1227.0
156,43,1120.0
275,43,28252.0
6,44,1440.0
156,44,1574.0
275,44,24706.0
6,45,2322.0
156,45,1465.0
275,45,25741.0
6,46,949.0
156,46,551.0
275,46,18957.0
6,47,1440.0
156,47,1574.0
275,47,24706.0
6,48,735.0
156,48,598.0
275,48,27580.0
6,49,1112.0
156,49,736.0
275,49,26585.0
6,50,1440.0
156,50,1574.0
275,50,24706.0
6,51,735.0
156,51,598.0
275,51,27580.0
6,52,677.0
156,52,781.0
275,52,29509.0
6,53,1440.0
156,53,1574.0
275,53,24706.0
6,54,735.0
156,54,598.0
275,54,27580.0
6,55,446.0
156,55,273.0
275,55,20171.0
6,56,816.0
156,56,637.0
275,56,8932.0
6,57,850.0
156,57,1257.0
275,57,11901.0
6,58,1040.0
156,58,862.0
275,58,15899.0
6,59,816.0
156,59,637.0
275,59,8932.0
6,60,850.0
156,60,1257.0
275,60,11901.0
6,61,598.0
156,61,906.0
275,61,18958.0
6,62,816.0
156,62,637.0
275,62,8932.0
6,63,850.0
156,63,1257.0
275,63,11901.0
6,64,381.0
156,64,369.0
275,64,10369.0
6,65,816.0
156,65,637.0
275,65,8932.0
6,66,2004.0
156,66,1052.0
275,66,13942.0
6,67,1414.0
156,67,781.0
275,67,17370.0
6,68,816.0
156,68,637.0
275,68,8932.0
6,69,2004.0
156,69,1052.0
275,69,13942.0
6,70,1001.0
156,70,825.0
275,70,20411.0
6,71,816.0
156,71,637.0
275,71,8932.0
6,72,2004.0
156,72,1052.0
275,72,13942.0
6,73,736.0
156,73,306.0
275,73,11634.0
6,74,816.0
156,74,637.0
275,74,8932.0
6,75,456.0
156,75,305.0
275,75,15742.0
6,76,911.0
156,76,455.0
275,76,18654.0
6,77,816.0
156,77,637.0
275,77,8932.0
6,78,456.0
156,78,305.0
275,78,15742.0
6,79,456.0
156,79,499.0
275,79,21677.0
6,80,816.0
156,80,637.0
275,80,8932.0
6,81,456.0
156,81,305.0
275,81,15742.0
6,82,274.0
156,82,114.0
275,82,12770.0
