NOME_UHE,NO,VAZAO
6,1,0.0
17,1,0.0
217,1,0.0
156,1,0.0
275,1,0.0
6,2,1994.0
17,2,3267.0
217,2,172.0
156,2,2404.0
275,2,27182.0
6,3,3270.0
17,3,7272.0
217,3,330.0
156,3,2523.0
275,3,24412.0
6,4,1550.0
17,4,3958.0
217,4,196.0
156,4,1381.0
275,4,29868.0
6,5,2419.0
17,5,5036.0
217,5,98.0
156,5,1969.0
275,5,25661.0
6,6,1218.0
17,6,2731.0
217,6,640.0
156,6,974.0
275,6,15618.0
6,7,1090.0
17,7,2010.0
217,7,740.0
156,7,1147.0
275,7,44737.0
6,8,810.0
17,8,1882.0
217,8,350.0
156,8,858.0
275,8,43491.0
6,9,1804.0
17,9,3139.0
217,9,194.0
156,9,1494.0
275,9,39583.0
6,10,541.0
17,10,879.0
217,10,860.0
156,10,503.0
275,10,28666.0
6,11,1149.0
17,11,1728.0
217,11,72.0
156,11,1126.0
275,11,18884.0
6,12,830.0
17,12,1750.0
217,12,113.0
156,12,850.0
275,12,26177.0
6,13,1817.0
17,13,3020.0
217,13,59.0
156,13,1487.0
275,13,21813.0
6,14,558.0
17,14,795.0
217,14,457.0
156,14,496.0
275,14,12267.0
6,15,1053.0
17,15,2166.0
217,15,2105.0
156,15,566.0
275,15,9856.0
6,16,2959.0
17,16,6984.0
217,16,1215.0
156,16,1865.0
275,16,11827.0
6,17,1272.0
17,17,3658.0
217,17,1064.0
156,17,874.0
275,17,21796.0
6,18,2170.0
17,18,4765.0
217,18,802.0
156,18,1507.0
275,18,17157.0
6,19,956.0
17,19,2448.0
217,19,1592.0
156,19,517.0
275,19,8591.0
6,20,622.0
17,20,1461.0
217,20,1556.0
156,20,445.0
275,20,36254.0
6,21,477.0
17,21,1482.0
217,21,1194.0
156,21,316.0
275,21,38145.0
6,22,1656.0
17,22,2932.0
217,22,924.0
156,22,1078.0
275,22,34152.0
6,23,282.0
17,23,572.0
217,23,1719.0
156,23,121.0
275,23,23475.0
6,24,667.0
17,24,1181.0
217,24,678.0
156,24,431.0
275,24,7767.0
6,25,493.0
17,25,1350.0
217,25,858.0
156,25,310.0
275,25,18999.0
6,26,1658.0
17,26,2808.0
217,26,612.0
156,26,1074.0
275,26,14130.0
6,27,292.0
17,27,493.0
217,27,1390.0
156,27,119.0
275,27,6608.0
6,28,863.0
17,28,1959.0
217,28,164.0
156,28,445.0
275,28,10220.0
6,29,2920.0
17,29,6948.0
217,29,326.0
156,29,1821.0
275,29,12089.0
6,30,1223.0
17,30,3607.0
217,30,192.0
156,30,840.0
275,30,21966.0
6,31,2129.0
17,31,4722.0
217,31,96.0
156,31,1478.0
275,31,17340.0
6,32,911.0
17,32,2401.0
217,32,633.0
156,32,488.0
275,32,8723.0
6,33,533.0
17,33,1365.0
217,33,735.0
156,33,403.0
275,33,36341.0
6,34,413.0
17,34,1411.0
217,34,346.0
156,34,281.0
275,34,38196.0
6,35,1662.0
17,35,2931.0
217,35,191.0
156,35,1052.0
275,35,34204.0
6,36,240.0
17,36,526.0
217,36,856.0
156,36,106.0
275,36,23524.0
6,37,575.0
17,37,1083.0
217,37,71.0
156,37,389.0
275,37,7976.0
6,38,427.0
17,38,1278.0
217,38,111.0
156,38,275.0
275,38,19139.0
6,39,1659.0
17,39,2804.0
217,39,58.0
156,39,1048.0
275,39,14282.0
6,40,248.0
17,40,445.0
217,40,451.0
156,40,104.0
275,40,6697.0
