NO_PAI,NO,Abertura,PER,VAZAO,PROB
0,1,1,1,0.0,0.0
1,2,1,2,0.0,0.0
2,3,1,3,0.0,0.0
3,4,1,4,0.0,0.0
3,5,2,4,0.0,0.0
3,6,3,4,0.0,0.0
3,7,4,4,0.0,0.0
3,8,5,4,0.0,0.0
3,9,6,4,0.0,0.0
3,10,7,4,0.0,0.0
3,11,8,4,0.0,0.0
3,12,9,4,0.0,0.0
3,13,10,4,0.0,0.0
3,14,11,4,0.0,0.0
3,15,12,4,0.0,0.0
3,16,13,4,0.0,0.0
3,17,14,4,0.0,0.0
3,18,15,4,0.0,0.0
3,19,16,4,0.0,0.0
3,20,17,4,0.0,0.0
3,21,18,4,0.0,0.0
3,22,19,4,0.0,0.0
3,23,20,4,0.0,0.0
3,24,21,4,0.0,0.0
3,25,22,4,0.0,0.0
3,26,23,4,0.0,0.0
3,27,24,4,0.0,0.0
3,28,25,4,0.0,0.0
3,29,26,4,0.0,0.0
3,30,27,4,0.0,0.0
3,31,28,4,0.0,0.0
3,32,29,4,0.0,0.0
3,33,30,4,0.0,0.0
3,34,31,4,0.0,0.0
3,35,32,4,0.0,0.0
3,36,33,4,0.0,0.0
3,37,34,4,0.0,0.0
3,38,35,4,0.0,0.0
3,39,36,4,0.0,0.0
3,40,37,4,0.0,0.0
3,41,38,4,0.0,0.0
3,42,39,4,0.0,0.0
3,43,40,4,0.0,0.0
3,44,41,4,0.0,0.0
3,45,42,4,0.0,0.0
3,46,43,4,0.0,0.0
3,47,44,4,0.0,0.0
3,48,45,4,0.0,0.0
3,49,46,4,0.0,0.0
3,50,47,4,0.0,0.0
3,51,48,4,0.0,0.0
3,52,49,4,0.0,0.0
3,53,50,4,0.0,0.0
3,54,51,4,0.0,0.0
3,55,52,4,0.0,0.0
3,56,53,4,0.0,0.0
3,57,54,4,0.0,0.0
3,58,55,4,0.0,0.0
3,59,56,4,0.0,0.0
3,60,57,4,0.0,0.0
3,61,58,4,0.0,0.0
3,62,59,4,0.0,0.0
3,63,60,4,0.0,0.0
3,64,61,4,0.0,0.0
3,65,62,4,0.0,0.0
3,66,63,4,0.0,0.0
3,67,64,4,0.0,0.0
3,68,65,4,0.0,0.0
3,69,66,4,0.0,0.0
3,70,67,4,0.0,0.0
3,71,68,4,0.0,0.0
3,72,69,4,0.0,0.0
3,73,70,4,0.0,0.0
3,74,71,4,0.0,0.0
3,75,72,4,0.0,0.0
3,76,73,4,0.0,0.0
3,77,74,4,0.0,0.0
3,78,75,4,0.0,0.0
3,79,76,4,0.0,0.0
3,80,77,4,0.0,0.0
3,81,78,4,0.0,0.0
3,82,79,4,0.0,0.0
3,83,80,4,0.0,0.0
3,84,81,4,0.0,0.0
3,85,82,4,0.0,0.0
3,86,83,4,0.0,0.0
3,87,84,4,0.0,0.0
3,88,85,4,0.0,0.0
3,89,86,4,0.0,0.0
3,90,87,4,0.0,0.0
3,91,88,4,0.0,0.0
3,92,89,4,0.0,0.0
3,93,90,4,0.0,0.0
3,94,91,4,0.0,0.0
3,95,92,4,0.0,0.0
3,96,93,4,0.0,0.0
3,97,94,4,0.0,0.0
3,98,95,4,0.0,0.0
3,99,96,4,0.0,0.0
3,100,97,4,0.0,0.0
3,101,98,4,0.0,0.0
3,102,99,4,0.0,0.0
3,103,100,4,0.0,0.0
3,104,101,4,0.0,0.0
3,105,102,4,0.0,0.0
3,106,103,4,0.0,0.0
3,107,104,4,0.0,0.0
3,108,105,4,0.0,0.0
3,109,106,4,0.0,0.0
3,110,107,4,0.0,0.0
3,111,108,4,0.0,0.0
3,112,109,4,0.0,0.0
3,113,110,4,0.0,0.0
3,114,111,4,0.0,0.0
3,115,112,4,0.0,0.0
3,116,113,4,0.0,0.0
3,117,114,4,0.0,0.0
3,118,115,4,0.0,0.0
3,119,116,4,0.0,0.0
3,120,117,4,0.0,0.0
3,121,118,4,0.0,0.0
3,122,119,4,0.0,0.0
3,123,120,4,0.0,0.0
3,124,121,4,0.0,0.0
3,125,122,4,0.0,0.0
3,126,123,4,0.0,0.0
3,127,124,4,0.0,0.0
3,128,125,4,0.0,0.0
