CASO,TIPO,EST,TESTE,NPOSTOS,PERC.ENA
arvoreAssimetrica_5_25_125_Backward,mean,4,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,mean,4,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,mean,4,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,mean,4,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Backward,mean,4,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Backward,mean,4,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,mean,4,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,mean,4,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,mean,3,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,mean,3,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Backward,mean,3,FALHOU_AO_MENOS_UMTESTE,100.0,100.0
arvoreSimetrica_5_25_125_Backward,mean,3,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,mean,3,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,mean,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,mean,2,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,mean,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,mean,2,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Backward,mean,2,FALHOU_AO_MENOS_UMTESTE,100.0,100.0
arvoreSimetrica_5_25_125_Backward,mean,2,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,mean,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,mean,2,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,std,4,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,std,4,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,std,4,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,std,4,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Backward,std,4,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Backward,std,4,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,std,4,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,std,4,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,std,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,std,3,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,std,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,std,3,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Backward,std,3,FALHOU_AO_MENOS_UMTESTE,100.0,100.0
arvoreSimetrica_5_25_125_Backward,std,3,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,std,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,std,3,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,std,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Backward,std,2,FALHA_TODOS_TESTES,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,std,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreAssimetrica_5_25_125_Clustering,std,2,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Backward,std,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Backward,std,2,FALHA_TODOS_TESTES,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,std,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
arvoreSimetrica_5_25_125_Clustering,std,2,FALHA_TODOS_TESTES,0.0,0.0
